year,avait_VERB osé_VERB,avait_VERB causé_VERB
1800,5.69093799640541e-07,5.533729563467205e-07
1801,6.762558655282191e-07,4.2146930923081527e-07
1802,3.1329761895904085e-07,4.833734692510916e-07
1803,7.216254971353919e-07,4.193229301563406e-07
1804,7.16836780156882e-07,4.869546614827414e-07
1805,4.889749902758922e-07,5.00346459375578e-07
1806,5.532804721042339e-07,4.783570943800441e-07
1807,8.056882734308601e-07,6.889631549711339e-07
1808,5.483898917191254e-07,6.367667992890347e-07
1809,6.573778819074505e-07,7.522571650042664e-07
1810,6.248138220144028e-07,1.0413564268674236e-06
1811,6.16740862824372e-07,9.426608471585496e-07
1812,1.0775521559480694e-06,9.041835937750875e-07
1813,1.1617996733548352e-06,9.950066441888339e-07
1814,1.0761635849121376e-06,8.905096251510258e-07
1815,6.527280902446364e-07,8.577171115575766e-07
1816,6.419762712539523e-07,7.879853001213633e-07
1817,1.128733174482477e-06,7.675386086702929e-07
1818,1.0359502766732476e-06,1.1456251058916678e-06
1819,1.245231260327273e-06,9.68858330452349e-07
1820,1.2922597534270608e-06,1.0798497669384233e-06
1821,1.256353584722092e-06,1.1409741773604765e-06
1822,1.0386538633611053e-06,1.3233812978796777e-06
1823,1.1108139688076335e-06,1.263007334273425e-06
1824,1.251377398148179e-06,1.1427449635448284e-06
1825,1.0830694918695372e-06,1.2653421208597138e-06
1826,1.079858861885441e-06,1.2736345524899662e-06
1827,1.1014641358997324e-06,1.2277407677174779e-06
1828,8.034936058720632e-07,1.1300274991299375e-06
1829,1.5354557945101988e-06,1.4797301446378697e-06
1830,1.2138040119680227e-06,1.4705501598655246e-06
1831,1.0399334087196621e-06,1.2020819895042223e-06
1832,1.166283368547738e-06,1.4815316262684064e-06
1833,1.0344180054744356e-06,1.175738248093694e-06
1834,1.138812763201713e-06,1.0193307389272377e-06
1835,1.139757387136342e-06,1.2834560720875743e-06
1836,1.1862123301398242e-06,1.2386342405079631e-06
1837,1.1278741567366524e-06,1.340089738732786e-06
1838,1.058549514709739e-06,1.3728952126257354e-06
1839,9.86497184385371e-07,1.4073839338379912e-06
1840,1.2032342056045309e-06,1.497513835602149e-06
1841,1.1370791526132962e-06,9.810597703108215e-07
1842,1.4912473034200957e-06,1.393306661157112e-06
1843,1.1234944850002648e-06,1.246948954758409e-06
1844,1.4418450291486806e-06,1.3425020597424009e-06
1845,1.0775420378195122e-06,1.4497431948257145e-06
1846,1.162703938462073e-06,1.3559025546783232e-06
1847,1.454013045076863e-06,1.2630929404622293e-06
1848,7.93258834619337e-07,1.1931064136661007e-06
1849,9.074906301975716e-07,1.0608339380269172e-06
