year,soient_VERB en_PRON
1800,3.458580977167003e-08
1801,7.619784447854272e-08
1802,1.0741632650024258e-07
1803,8.776526527753958e-08
1804,6.179627121127851e-08
1805,1.0518647552970606e-07
1806,9.509508203109363e-08
1807,2.3629726797480544e-07
1808,1.0197333155659294e-07
1809,8.584315747128812e-08
1810,8.658468919620077e-08
1811,9.27618422075227e-08
1812,1.1468995619878797e-07
1813,4.3136123117903935e-08
1814,4.72001566720337e-08
1815,2.966945977789237e-08
1816,9.038655512938476e-08
1817,1.1987924608547473e-07
1818,3.457141417584353e-08
1819,6.314140499341647e-08
1820,1.4239777712532486e-07
1821,9.171183990019927e-08
1822,9.825103575167304e-08
1823,9.388552868472289e-08
1824,1.145271335545317e-07
1825,7.132409196586309e-08
1826,6.60598833412962e-08
1827,9.032927295038462e-08
1828,7.979902250099258e-08
1829,9.17329860961047e-08
1830,1.1584887715798686e-07
1831,4.365537620287796e-08
1832,8.659180217307494e-08
1833,6.71850450828515e-08
1834,8.681114027631054e-08
1835,7.487457054367042e-08
1836,1.1492482521191505e-07
1837,1.1758835682940116e-07
1838,1.1235647789931136e-07
1839,7.341049013120937e-08
1840,1.1975014757581448e-07
1841,6.2921378329861e-08
1842,1.2745703870109537e-07
1843,9.628265074113074e-08
1844,6.531388185848641e-08
1845,7.644912614068744e-08
1846,7.669396495657566e-08
1847,6.741529734455298e-08
1848,7.482056219032529e-08
1849,6.535943786190046e-08
1850,1.1269733324326126e-07
1851,1.025460747428042e-07
1852,1.1002822120076416e-07
1853,1.009256465067665e-07
1854,5.8191442442456776e-08
1855,7.16436545644683e-08
1856,6.367942662066639e-08
1857,5.906625899498863e-08
1858,9.738415052140681e-08
1859,7.179964578440945e-08
1860,9.01705232703165e-08
1861,1.0186481791407687e-07
1862,8.132375495240041e-08
1863,9.289994579164684e-08
1864,5.561884375282489e-08
1865,1.1014016099153423e-07
1866,5.887391552050758e-08
1867,7.95861101465789e-08
1868,7.656804790201477e-08
1869,3.613804100410789e-08
1870,8.601072920555453e-08
1871,7.647247457498452e-08
1872,7.680120717168393e-08
1873,1.0116347626265565e-07
1874,9.38013648976721e-08
1875,6.522540968445512e-08
1876,6.046014622285156e-08
1877,7.174386418284939e-08
1878,9.964496594516703e-08
1879,1.0019293394947226e-07
1880,7.444701788372754e-08
1881,7.111957667227387e-08
1882,4.924984975396285e-08
1883,8.341527113486791e-08
1884,7.856019657026536e-08
1885,7.734762530464678e-08
1886,5.679048031836942e-08
1887,8.030577003381723e-08
1888,7.798956058735484e-08
1889,8.207329482701198e-08
1890,6.357754911423541e-08
1891,6.82041534361133e-08
1892,6.268512287022077e-08
1893,6.774258315411785e-08
1894,5.734400687629204e-08
1895,8.125129369318529e-08
1896,1.014288981693312e-07
1897,6.059782009515402e-08
1898,9.39286937118311e-08
1899,7.517506617205072e-08
1900,7.578937477603631e-08
1901,5.085752285971523e-08
1902,1.0802624661465643e-07
1903,6.102249017203576e-08
1904,7.040758998044794e-08
1905,5.16075902012858e-08
1906,7.561951065326866e-08
1907,6.83998173656164e-08
1908,5.598983587873363e-08
1909,7.316308270333138e-08
1910,7.107720367827142e-08
1911,6.597263846330748e-08
1912,4.115442919783163e-08
1913,7.212066233108771e-08
1914,5.022557747480505e-08
1915,5.772573485884891e-08
1916,8.899844416987435e-08
1917,5.9218690839912824e-08
1918,6.087779436114715e-08
1919,2.9465115680693543e-08
1920,3.7861157320406846e-08
1921,6.058198170899587e-08
1922,4.500540784491136e-08
1923,4.883336268690641e-08
1924,6.316896117297688e-08
1925,5.719052387220813e-08
1926,8.805449080995231e-08
1927,4.9056590900597996e-08
1928,6.627103654732736e-08
1929,3.119313873867213e-08
1930,4.8316574741136264e-08
1931,6.044839295782367e-08
1932,5.808554437436442e-08
1933,6.882397451946076e-08
1934,7.548395508649719e-08
1935,4.4282651323612754e-08
1936,6.18360447290911e-08
1937,6.547381481425418e-08
1938,5.0564336273595245e-08
1939,8.717608857011783e-08
1940,8.875240098404902e-08
1941,9.149658142248995e-08
1942,3.6410541692788456e-08
1943,3.774205858952939e-08
1944,6.105053529381621e-08
1945,5.2284097051824574e-08
