year,devront_VERB ouvrir_VERB,devront_VERB couvrir_VERB
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,5.851017448321727e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,1.1387820464392462e-08,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,1.1921177378582115e-09
1819,0.0,0.0
1820,0.0,1.3053129244156025e-08
1821,0.0,6.903041693817613e-09
1822,0.0,0.0
1823,3.9530747564242574e-09,0.0
1824,1.6842225392110777e-09,8.421112696055388e-10
1825,1.4969252504215547e-08,0.0
1826,1.7615968683770689e-09,0.0
1827,9.217273055917019e-10,0.0
1828,0.0,1.1006761724274838e-08
1829,8.57317605795771e-10,0.0
1830,1.0436835840010872e-09,0.0
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,4.058990921151917e-09,2.705993873419743e-09
1833,9.266902800675325e-09,0.0
1834,9.334530925997342e-10,0.0
1835,7.563087933704082e-10,2.2689263801112247e-09
1836,1.3441500135158435e-09,1.344150035720304e-08
1837,1.3915781860163179e-09,2.0873671680021744e-09
1838,0.0,4.418513555037862e-09
1839,0.0,0.0
1840,3.1848443882154243e-09,7.64362617644565e-09
1841,0.0,1.926164561183441e-09
1842,6.708265054555795e-10,2.683306021822318e-09
1843,2.3627644285539873e-09,1.6539351221922516e-08
1844,2.7442805805577564e-09,2.7442805805577564e-09
1845,3.9061593959388574e-09,7.254296274794569e-09
1846,5.854501328173001e-10,2.9272506640865004e-09
1847,5.3932236454556914e-09,2.6966118227278457e-09
1848,0.0,1.6090443422100975e-09
1849,5.865590679832167e-09,5.865590679832167e-09
1850,4.073397619208663e-09,1.6972489191857676e-08
1851,0.0,0.0
