year,fut_VERB assez_ADV,fut_VERB cassée_ADJ
1800,2.8454687708290294e-06,1.2576657937302116e-08
1801,2.7907460662390804e-06,2.6193008650921e-08
1802,2.5958945570891956e-06,2.0140561218795483e-08
1803,3.087387085543014e-06,2.145373123596528e-08
1804,2.80555082099454e-06,2.4718509905596875e-08
1805,3.5479113194014644e-06,4.8328921309348516e-08
1806,3.8499101719935425e-06,8.645007376628655e-09
1807,2.7416176635597367e-06,2.8469550272802735e-08
1808,2.982153318953351e-06,3.852325747288887e-08
1809,3.0474320737994276e-06,1.3102376783535874e-07
1810,3.585074182410608e-06,3.510190182964834e-08
1811,3.472301386864274e-06,4.763445815569867e-08
1812,2.8912536436109804e-06,8.268345652595599e-08
1813,3.4853987926908303e-06,5.176335093892703e-08
1814,3.1183569717541104e-06,1.0384034254684593e-07
1815,2.6486734441277804e-06,5.3944472000466703e-08
1816,2.8552879030030454e-06,2.0858434979231788e-08
1817,3.443803961999947e-06,4.0478710161551135e-08
1818,3.5811217458103783e-06,6.795070817133819e-08
1819,3.712921625265153e-06,6.314140676977331e-08
1820,3.894579094776418e-06,2.610625848831205e-08
1821,3.7020026866230182e-06,2.3667571014129862e-08
1822,3.661354867290356e-06,5.213320264374488e-08
1823,4.066725523443893e-06,8.103803139647425e-08
1824,4.284662281861529e-06,7.410579172528742e-08
1825,4.105097559659043e-06,7.660735690251386e-08
1826,4.280680514057167e-06,7.134467239211517e-08
1827,3.559710876288591e-06,7.558163872545265e-08
1828,3.2359878332499648e-06,5.595103758082587e-08
1829,4.1614198380557355e-06,6.77280880267972e-08
1830,3.0663422876386903e-06,6.470838087579978e-08
1831,2.574108066255576e-06,6.860130952190957e-08
1832,2.911649517045589e-06,2.705993829010822e-08
1833,2.635275450302288e-06,2.20088942626262e-08
1834,2.8675679004663834e-06,4.0138484536100805e-08
1835,3.104647703366936e-06,4.235329242874286e-08
1836,3.051892690564273e-06,5.040562456315456e-08
1837,2.8054216727468884e-06,2.852735292435682e-08
1838,3.608663064369466e-06,6.122797202579022e-08
1839,3.052477950404864e-06,2.307186797168015e-08
1840,3.042163370992057e-06,3.05745047057826e-08
1841,2.676726580830291e-06,3.0818632978935057e-08
1842,2.7611220048129326e-06,2.1466448174578545e-08
1843,2.5033489237102913e-06,2.7762482091020502e-08
1844,2.885336698454921e-06,4.610391357573462e-08
1845,2.6165689632762223e-06,2.3436957263811564e-08
1846,2.5022138743224787e-06,2.1661655580373917e-08
1847,2.3190862066257978e-06,3.7752563741833e-08
1848,2.2317444745567627e-06,5.148941895072312e-08
1849,2.111612502631033e-06,5.53041381579078e-08
1850,2.298753997820313e-06,3.6660580349234806e-08
1851,2.4230541839642683e-06,3.418202609850596e-08
1852,2.2865035589347826e-06,2.799534470909748e-08
1853,2.741713842624449e-06,4.001194398028929e-08
1854,2.7802000204246724e-06,2.5978321716024766e-08
1855,2.634894372022245e-06,2.7065379271107304e-08
1856,2.905438577727182e-06,4.40061072026765e-08
1857,3.035810550500173e-06,2.1966791052818735e-08
1858,2.951865326394909e-06,3.327699715782728e-08
1859,2.470722620273591e-06,1.7313389832906978e-08
1860,2.882710532503552e-06,4.165237399433863e-08
1861,2.2603614979743725e-06,4.621644578151063e-08
1862,2.4126047719619237e-06,3.207770404856092e-08
1863,2.279545014971518e-06,3.0467187883687075e-08
1864,2.2118078959465493e-06,2.9727313943794798e-08
1865,2.3327120288740844e-06,3.2006543193574544e-08
1866,2.294136493219412e-06,2.968023871119385e-08
1867,2.190559143855353e-06,2.7661025470138156e-08
1868,2.2392448499886086e-06,3.062721987134864e-08
1869,2.150701902792207e-06,3.2231227464762924e-08
1870,2.329744120288524e-06,3.096386436141074e-08
1871,2.1507883047888754e-06,1.1683295220166201e-08
1872,1.877094064184348e-06,2.4189358072135292e-08
1873,2.054995320577291e-06,2.334541804316359e-08
1874,2.0785664673894644e-06,2.0911132381229436e-08
1875,2.1129599190317094e-06,1.0870901512305409e-08
1876,2.0495990611379966e-06,2.0556450763820067e-08
1877,2.0917048004776007e-06,1.5462040536817767e-08
1878,2.4524738364561927e-06,5.012443438090486e-08
1879,2.4473956727888435e-06,2.016077260691418e-08
1880,2.1358591766329482e-06,3.4656370218044685e-08
1881,1.9125589005852817e-06,4.113779539238749e-08
1882,2.168990022255457e-06,2.1297232422057277e-08
1883,1.8130183434550418e-06,2.274962085380139e-08
1884,2.0029549432365457e-06,1.3203393933736152e-08
1885,1.9066189906880027e-06,2.2559724754955823e-08
1886,2.0941490674886154e-06,2.9040586824180536e-08
1887,1.8855533880923758e-06,3.525619263200497e-08
1888,1.938326022354886e-06,1.775372027168487e-08
1889,1.9077340311923763e-06,3.00726554769426e-08
1890,1.7297026033702423e-06,1.9663159989136147e-08
1891,1.7713957731757546e-06,2.677172439291553e-08
1892,1.7175724451590213e-06,2.4447198043731078e-08
1893,1.8536833295001998e-06,3.87980243488073e-08
1894,1.923229774547508e-06,1.9534772022211655e-08
1895,1.9674851046147523e-06,1.745398137131815e-08
1896,2.014425035667955e-06,5.307326134129653e-09
1897,1.619243676032056e-06,3.26295968022805e-08
