year,auront_VERB omis_VERB,auront_VERB commis_VERB
1800,1.5720821977538435e-08,1.1947824418712116e-07
1801,4.7623651688866175e-09,7.857902772911984e-08
1802,4.923248297927785e-08,1.0294064622939914e-07
1803,5.851017448321727e-09,4.095712213825209e-08
1804,2.2246657849223084e-08,1.507829097135982e-07
1805,5.685755422035754e-09,1.4782963830839435e-07
1806,3.458002950651462e-08,1.4120178093435243e-07
1807,6.547996633798903e-08,2.44838133767189e-07
1808,2.7192887941396293e-08,1.246340701754889e-07
1809,4.969867006821005e-08,1.1746958961111886e-07
1810,3.510190182964834e-08,3.4399863579892553e-07
1811,1.504245972228091e-08,2.3065106802278024e-07
1812,2.1337665856435706e-08,3.7340916492212273e-07
1813,5.751483289628823e-09,7.476928232108548e-08
1814,0.0,6.922689976818219e-08
1815,2.697223555614414e-09,1.6453063267363177e-07
1816,2.7811246638975717e-08,7.879853569647821e-08
1817,5.293369653713853e-08,1.0431051578052575e-07
1818,5.364529798157491e-08,9.06009489654025e-08
1819,2.794783426907088e-08,1.1903707530791507e-07
1820,1.1866481131050932e-08,5.93324074316115e-08
1821,1.2819934447350079e-08,1.3806084098177962e-07
1822,1.0025615893027862e-08,1.2632276025215106e-07
1823,4.941343334508019e-09,7.214361374963119e-08
1824,1.9368560089105813e-08,1.8021181347194215e-07
1825,7.924898959288385e-09,1.3296218526193115e-07
1826,1.4973572604048968e-08,1.3123896280831104e-07
1827,1.566936447261469e-08,1.9356274094661785e-07
1828,2.0179061976932644e-08,1.6877034170192928e-07
1829,2.8291481157793896e-08,1.6889157450350467e-07
1830,1.5655253093882493e-08,1.575962187416735e-07
1831,6.236482619215167e-08,2.05803914354874e-07
1832,1.352996914505411e-08,1.7994858581005246e-07
1833,1.3900354645102198e-08,4.749287541017111e-08
1834,2.333632664885954e-08,1.8295681059044e-07
1835,1.0588323107185715e-08,1.323540459452488e-07
1836,2.2850549896702432e-08,1.9624590663624986e-07
1837,2.0873672568200163e-08,1.4750729349088942e-07
1838,1.009945904684173e-08,1.2687445405390463e-07
1839,1.2584655095793096e-08,8.94908822601792e-08
1840,8.917564464638872e-09,7.579929217627068e-08
1841,1.9903700021473014e-08,7.191014361751513e-08
1842,1.341653010911159e-08,1.0062397848287219e-07
1843,7.088293507706567e-09,1.0868716060485895e-07
1844,1.866110821424627e-08,1.2843233321291336e-07
1845,1.5066614622583074e-08,1.6350067255643808e-07
1846,9.367202125076801e-09,1.4928978941952664e-07
1847,2.480882876909618e-08,1.7420111930732673e-07
1848,3.298540818263973e-08,9.734718275922205e-08
1849,3.4355601030711114e-08,1.508294644736452e-07
1850,1.2899092460827433e-08,5.5669765686161554e-08
1851,2.257303499675345e-08,1.509168612301437e-07
1852,4.101643469311966e-08,1.6471679487040092e-07
1853,6.091370607919089e-08,1.23618988823182e-07
1854,6.754363734984281e-09,1.2469594423691888e-07
1855,4.2455496895854594e-09,8.013475394363923e-08
1856,1.501384794266869e-08,9.9919752472033e-08
1857,1.4156376515472857e-08,5.9554409403972386e-08
1858,5.3830437884982985e-09,8.319248934185453e-08
1859,1.782260738991681e-08,6.110607841947058e-08
1860,2.334363813361051e-08,6.636916793922865e-08
1861,2.357981898626349e-08,7.545541791387222e-08
1862,8.584174260306554e-09,1.138532539357584e-07
1863,3.8958042125614156e-08,1.213692826240731e-07
1864,1.102787461348953e-08,1.0548401263577034e-07
1865,1.3179164426446732e-08,1.0025578234262866e-07
1866,1.2650593461671633e-08,1.4791463343044597e-07
1867,7.76449837758264e-09,1.0870297728615697e-07
1868,5.9278488784286765e-09,1.1312311443134604e-07
1869,8.790334682373668e-09,1.3087831973734865e-07
1870,2.2936195165357276e-09,9.862564098739313e-08
1871,0.0,8.815577245968598e-08
1872,1.5118347462816928e-08,1.2094677970253542e-07
1873,6.584604861359367e-09,8.979007048992571e-08
1874,4.182226565063729e-09,8.543690910300938e-08
1875,8.58229043387837e-09,6.40811066432434e-08
1876,1.934724735974669e-08,9.734083761259171e-08
1877,4.9478527941460015e-09,7.978412952525105e-08
1878,1.7513357875031943e-08,8.696287778775513e-08
1879,3.665595160740054e-09,8.919614913338592e-08
1880,2.0537108014195837e-08,1.1680479872211436e-07
1881,6.2752567586699115e-09,9.970685965754456e-08
1882,3.3276925659464496e-09,1.1047939096897608e-07
1883,6.319338829996468e-09,1.2069936872194376e-07
1884,1.2543224237049344e-08,7.856019124119484e-08
1885,2.3848851782304337e-08,7.541393642895855e-08
1886,9.034849313138693e-09,7.486018205327127e-08
1887,1.6322312390570914e-08,1.214379921066211e-07
1888,6.974675947901687e-09,9.764546859969414e-08
1889,3.132568426877924e-09,8.520586192162227e-08
1890,7.865263995654459e-09,8.979509402706753e-08
1891,8.92390783491237e-09,4.9081492647928826e-08
1892,3.1342561879199593e-09,7.334159590755007e-08
1893,6.15841644346915e-09,7.88277318974906e-08
