year,peut_VERB ouvrir_VERB,peut_VERB couvrir_VERB
1800,4.181738688657788e-07,2.924072930454713e-07
1801,4.833800630876794e-07,1.6430159632818686e-07
1802,3.737193026154273e-07,1.3650824826072494e-07
1803,3.003522408562276e-07,3.491107349873346e-07
1804,3.856087573694822e-07,3.732494917585427e-07
1805,4.1221727542506414e-07,2.302730877090653e-07
1806,2.795219131712656e-07,2.679952331163804e-07
1807,2.932363827312656e-07,2.3629726797480544e-07
1808,3.285807395059237e-07,2.1980918063491117e-07
1809,3.2530039106859476e-07,2.439753075123008e-07
1810,3.3463811632827856e-07,2.0125089861267043e-07
1811,3.635261407453072e-07,2.431864345453505e-07
1812,3.707419580223359e-07,2.2137828636914492e-07
1813,3.105801056335622e-07,2.1280487771946355e-07
1814,2.234140765722259e-07,1.5733385794192145e-07
1815,2.9669459422621003e-07,1.780167480092132e-07
1816,3.1519414278591285e-07,2.0394914201915526e-07
1817,1.9149543106777855e-07,2.1796228111270466e-07
1818,3.1471907391278364e-07,2.1458119192629965e-07
1819,3.105315045104362e-07,1.9563483988349617e-07
1820,3.8210069419619686e-07,2.290230867174614e-07
1821,2.8302471832830634e-07,1.8145138369618508e-07
1822,2.747018754689634e-07,1.9048670196752937e-07
1823,3.3699961932143196e-07,1.5515819029587874e-07
1824,3.7642374195456796e-07,2.113699224537413e-07
1825,3.601426215027459e-07,2.3158315798355034e-07
1826,3.170874265379098e-07,2.3429238638073002e-07
1827,3.7145611031519365e-07,2.166059118735575e-07
1828,3.3754068340385857e-07,2.2196968529897276e-07
1829,2.640538241394097e-07,2.1175745246182487e-07
1830,2.7970719429504243e-07,1.972561989305177e-07
1831,3.5859773106494686e-07,1.6526678336958867e-07
1832,3.436612132645678e-07,2.1377351799856115e-07
1833,3.1275797596208577e-07,1.6796261093077192e-07
1834,3.5377871654418414e-07,1.4935250192138483e-07
1835,3.19162325013167e-07,1.9890921976184472e-07
1836,2.8294357434788253e-07,1.7003497987388982e-07
1837,2.859693211121339e-07,1.8507989807403646e-07
1838,3.0424621400015894e-07,1.1551256307029689e-07
1839,3.544678008893243e-07,1.7478687652783265e-07
1840,3.305868290226499e-07,1.5287253063434036e-07
1841,3.4542551929916954e-07,1.7784918782126624e-07
1842,3.3943820199056063e-07,1.7441489319480752e-07
1843,2.9416418101391173e-07,1.5476106796086242e-07
1844,3.627939122452517e-07,1.5422857302382909e-07
1845,3.448580798703915e-07,1.7912532257469138e-07
1846,3.8815343827991455e-07,1.7270778585043445e-07
1847,3.915480419891537e-07,1.8768417930914438e-07
1848,3.2422244089502783e-07,1.4240042389701557e-07
1849,4.281881160750345e-07,1.9188860278518405e-07
1850,3.917250808171957e-07,2.2267906274464622e-07
1851,3.9728541878503165e-07,1.6962023607902665e-07
1852,3.092509075486305e-07,1.9010792584595038e-07
1853,3.9653627936786506e-07,1.7318602374416514e-07
1854,3.475899461591325e-07,1.6106559996842407e-07
1855,3.4601231391206966e-07,1.6133088820424746e-07
1856,3.7845254041712906e-07,1.5583339063596213e-07
1857,3.5390939956414513e-07,1.8208028507160634e-07
1858,3.1711019232716353e-07,1.433847103271546e-07
1859,3.055303920973529e-07,1.7924449480233307e-07
1860,3.103330641351931e-07,1.890376921664938e-07
1861,3.470949252459832e-07,1.5892797478045395e-07
1862,3.560173240657605e-07,1.6129210678172967e-07
1863,4.1305514741907245e-07,1.4434453987632878e-07
1864,3.576867015908647e-07,1.1890925577517919e-07
