year,grand_ADJ ado_NOUN,grand_ADJ cadeau_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,4.7623651688866175e-09
1802,0.0,1.3427040812530322e-08
1803,0.0,3.900678446910888e-09
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,0.0,9.036122072814123e-09
1810,0.0,0.0
1811,0.0,3.008491944456182e-08
1812,0.0,0.0
1813,0.0,1.1502966579257645e-08
1814,0.0,1.8880061958270744e-08
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,0.0,0.0
1818,0.0,1.1921177378582115e-09
1819,0.0,0.0
1820,0.0,7.119888678630559e-09
1821,0.0,9.86148829262845e-10
1822,0.0,4.010246357211145e-09
1823,0.0,0.0
1824,0.0,5.052667617633233e-09
1825,0.0,1.7610886082763955e-09
1826,0.0,6.1655889282974385e-09
1827,0.0,6.452091305675367e-09
1828,0.0,2.7516904310687096e-09
1829,0.0,1.714635211591542e-09
1830,0.0,3.1310507520032616e-09
1831,0.0,1.2472964883158966e-08
1832,0.0,1.3529969367098715e-09
1833,0.0,3.4750886612755494e-09
1834,0.0,2.8937046536725575e-08
1835,0.0,9.832014313815307e-09
1836,0.0,4.704525213838906e-09
1837,0.0,0.0
1838,0.0,5.049729523420865e-09
1839,0.0,5.5931801412612e-09
1840,0.0,5.095750932326837e-09
1841,0.0,3.852329122366882e-09
1842,0.0,4.695785538189057e-09
1843,0.0,4.134837805480629e-09
1844,0.0,3.841992946007622e-09
1845,0.0,2.7901139176833567e-09
1846,0.0,1.8734404250153602e-08
1847,5.393223645455691e-10,8.089835468183537e-09
1848,0.0,8.04522137798358e-09
1849,0.0,1.6758829879393033e-09
1850,0.0,2.7155984128057753e-09
1851,0.0,1.483370937194195e-08
1852,0.0,2.6042181744401205e-09
1853,0.0,1.2541057081705276e-08
1854,0.0,2.0782657816909023e-09
1855,0.0,1.2736649068756378e-08
1856,0.0,1.1907535402144731e-08
1857,0.0,6.345961978126979e-09
1858,0.0,4.893676019968041e-10
1859,0.0,1.018434669930457e-08
1860,0.0,8.238931314963338e-09
1861,0.0,2.8295783494058924e-09
1862,0.0,1.3553959066214816e-09
1863,0.0,1.1987090431375691e-08
1864,0.0,8.63051052846231e-09
1865,0.0,8.943004559114343e-09
1866,0.0,5.352174259343201e-09
1867,0.0,4.367530337390235e-09
1868,0.0,8.397785578040384e-09
1869,0.0,3.906815315701806e-09
1870,0.0,1.7202146374017957e-09
1871,0.0,3.18635318130589e-09
1872,0.0,9.675742873582749e-09
1873,0.0,5.387403856360606e-09
1874,0.0,8.364453130127458e-09
1875,5.721527140956084e-10,1.1443054503956773e-08
1876,0.0,6.04601479992084e-09
1877,0.0,2.4739263970730008e-09
1878,0.0,1.3889904337816006e-08
1879,0.0,1.1607718342077078e-08
1880,0.0,4.492492600149944e-09
1881,0.0,1.045876096839038e-08
1882,0.0,4.6587693702804245e-09
1883,0.0,1.0110942305630033e-08
1884,0.0,9.242375753615306e-09
1885,0.0,2.5782542767416317e-09
1886,0.0,3.2267319927115068e-09
1887,0.0,1.3057849246322917e-09
1888,0.0,7.60873763994141e-09
1889,0.0,1.0650732740202784e-08
1890,0.0,1.3108772956016423e-09
1891,0.0,1.4023283867459213e-08
1892,0.0,8.149066310636499e-09
1893,0.0,5.542574843531156e-09
1894,0.0,6.9316934414587195e-09
1895,0.0,1.023164486468886e-08
1896,0.0,4.717623180994224e-09
1897,0.0,1.0488084178916779e-08
1898,0.0,3.3950129374460403e-09
1899,0.0,2.7637891975018647e-09
1900,0.0,1.2977633190303095e-08
1901,0.0,1.2295225282343836e-08
1902,0.0,9.329538919189417e-09
1903,0.0,3.2401321625741275e-09
1904,0.0,9.674325340824907e-09
1905,0.0,1.2385822145688508e-08
1906,0.0,2.572092316910357e-09
1907,0.0,7.199980611716228e-09
1908,0.0,1.276961114626829e-08
1909,0.0,1.3752458727367411e-08
1910,0.0,3.740905363258662e-09
1911,5.320374141248863e-10,5.852411444351446e-09
1912,0.0,2.6047106693738442e-09
1913,0.0,9.015082902408267e-09
1914,0.0,4.018046340092951e-09
1915,0.0,0.0
1916,0.0,4.394984820521586e-09
1917,0.0,8.773139548168274e-09
1918,0.0,2.067547733020092e-08
1919,0.0,3.6831393490643904e-09
1920,0.0,9.843901693784574e-09
1921,0.0,9.087297137000405e-09
1922,0.0,5.164555005876537e-09
1923,0.0,8.492758496458919e-09
1924,0.0,1.2891624656674594e-08
1925,0.0,9.898360353588487e-09
1926,0.0,4.458455382660986e-09
1927,1.1149224876660924e-09,6.689535148041159e-09
1928,0.0,3.4278122562625413e-09
1929,0.0,7.798284684668033e-09
1930,0.0,2.100720708497761e-09
1931,0.0,3.4216069977333063e-09
1932,0.0,9.863582839386709e-09
1933,0.0,5.735331320977366e-09
1934,0.0,1.7972370258689807e-08
1935,0.0,7.180970484910176e-09
1936,0.0,9.699771652549316e-09
1937,0.0,6.295559185076627e-09
1938,0.0,3.8895642262559704e-09
1939,0.0,3.058810094103137e-09
1940,0.0,5.0715658339584024e-09
1941,0.0,8.854508237732261e-09
1942,0.0,1.2136847082899749e-08
1943,0.0,0.0
1944,0.0,1.927911696952833e-08
1945,0.0,2.178504132643866e-08
1946,0.0,2.0881657292193267e-08
1947,0.0,3.5762612871081956e-09
1948,0.0,1.0871888278529696e-08
1949,0.0,1.0798709482173763e-08
1950,0.0,1.701657836861159e-08
1951,0.0,1.1727541604500402e-08
1952,0.0,1.2653764258629963e-08
1953,0.0,1.2928593307037772e-08
1954,0.0,7.818028890937967e-09
1955,0.0,1.3139850985055546e-08
1956,0.0,1.744228228517386e-08
1957,0.0,1.4136060322300636e-08
1958,0.0,1.1581140491045971e-08
1959,0.0,6.200598257066758e-09
1960,0.0,1.5225833038812198e-08
1961,0.0,1.111705483225478e-08
1962,0.0,2.0928455413127267e-08
1963,0.0,1.4871922360271128e-08
1964,0.0,2.068549243006146e-08
1965,0.0,7.1136563306595235e-09
1966,0.0,2.1602390987141007e-08
1967,0.0,1.824224149515885e-08
1968,0.0,1.392338955241712e-08
1969,0.0,9.991866889436096e-09
1970,0.0,1.3336302728816918e-08
1971,0.0,1.849823050292798e-08
1972,0.0,2.667676390899487e-08
1973,0.0,1.3783009400469837e-08
1974,5.625571675160757e-10,1.406392957647995e-08
1975,0.0,9.709516746170266e-09
1976,0.0,7.998937512354587e-09
1977,0.0,1.7630345183761165e-08
1978,0.0,2.1386128423728223e-08
1979,0.0,1.7555919384903973e-08
1980,5.685150683554241e-10,9.664756106531058e-09
1981,0.0,1.4548763971333756e-08
1982,0.0,1.738100685599875e-08
1983,0.0,1.6419821946556112e-08
1984,0.0,1.9716628330002095e-08
1985,0.0,1.4437339324047116e-08
1986,0.0,1.3787316177626963e-08
1987,0.0,2.627651163322753e-08
1988,0.0,2.0987938498251424e-08
1989,0.0,2.689179900983163e-08
1990,1.089730194969718e-09,2.8332985735346483e-08
1991,0.0,2.6376593353916178e-08
1992,5.509944167592096e-10,1.8733810946969243e-08
1993,0.0,1.717154241021035e-08
1994,0.0,2.637463225596548e-08
1995,0.0,2.6027763055935793e-08
1996,0.0,2.4555223632205525e-08
1997,4.79489448146353e-10,2.157702461147437e-08
1998,1.9072516899143466e-09,2.3840646790063147e-08
1999,1.8280804647829996e-09,2.2851006420410158e-08
2000,3.092622158362701e-09,2.076474814316498e-08
2001,2.190605918883648e-09,2.6287271026603776e-08
2002,4.38122149670761e-10,3.373540380380291e-08
2003,0.0,2.9585152105937595e-08
2004,1.3214374039449694e-09,2.99525808600265e-08
2005,1.8014998381943315e-09,3.512924706683407e-08
2006,3.294311934354255e-09,3.417848759568187e-08
2007,3.1955835755326234e-09,3.315417984595115e-08
2008,5.5346713878634546e-09,2.5118893631770334e-08
2009,1.430457752249481e-09,4.529782771101054e-08
2010,7.558068837454357e-09,5.385124168810762e-08
2011,7.265546830836911e-09,4.894684124678861e-08
2012,6.127654827992046e-09,5.4808467098155234e-08
2013,1.0040849929282558e-08,5.299337502151502e-08
2014,1.0610681222544827e-08,6.951079001282778e-08
2015,1.0196246513771712e-08,5.7409302200994716e-08
2016,7.2496901815100045e-09,6.338300551078646e-08
2017,1.282961736848165e-08,6.842462596523546e-08
2018,1.1100306451794495e-08,8.363952019863063e-08
2019,1.020395146156261e-08,6.811137609474827e-08
