year,seront_VERB en_ADP
1800,2.854901367754792e-06
1801,2.338321337447269e-06
1802,2.304975396327791e-06
1803,2.5276397082052426e-06
1804,2.770945002339431e-06
1805,3.908956841769395e-06
1806,4.81526922158082e-06
1807,4.002818968729116e-06
1808,3.49428614754288e-06
1809,3.2236364404525375e-06
1810,3.2785176244942704e-06
1811,3.3895678370754467e-06
1812,3.1713104817754356e-06
1813,2.706072791625047e-06
1814,2.523634975659661e-06
1815,3.1395682071888587e-06
1816,3.4787233289534925e-06
1817,2.951831902464619e-06
1818,3.3117030397988856e-06
1819,3.416881554585416e-06
1820,2.748276983766118e-06
1821,2.4762196062511066e-06
1822,2.904420853155898e-06
1823,2.1534374354814645e-06
1824,2.6324398731958354e-06
1825,2.667168701009359e-06
1826,2.819435849232832e-06
1827,3.735760856216075e-06
1828,2.506789996914449e-06
1829,2.7931407657888485e-06
1830,2.4568312255723868e-06
1831,2.9498562525986927e-06
1832,2.448924533382524e-06
1833,2.519439249226707e-06
1834,3.5751254472415894e-06
1835,2.7612834401224973e-06
1836,3.3711282867443515e-06
1837,2.8485605980677065e-06
1838,2.7603084618021967e-06
1839,3.114702167295036e-06
1840,2.7695407425198937e-06
1841,2.6972725208906922e-06
1842,2.5122453735093586e-06
1843,2.6226684894936625e-06
1844,2.240430603706045e-06
1845,2.6706970857048873e-06
1846,2.844116806954844e-06
1847,3.315753929200582e-06
1848,2.525395075281267e-06
1849,2.238141632915358e-06
1850,2.5390845621586777e-06
1851,2.4978676265163813e-06
1852,2.5371596166223753e-06
1853,2.314123548785574e-06
1854,2.280896751472028e-06
1855,2.119590590154985e-06
1856,2.229297706435318e-06
1857,2.1156461116333958e-06
1858,2.2109627479949268e-06
1859,2.1494063275895314e-06
1860,2.4959383608802455e-06
1861,2.2504577827930916e-06
1862,2.2196866211743327e-06
1863,2.2705546598444926e-06
1864,2.4409960133198183e-06
1865,2.3656600660615368e-06
1866,2.0824822968279477e-06
1867,2.0726358798128786e-06
1868,2.0564696114888648e-06
1869,2.063775127680856e-06
1870,2.0206787212373456e-06
1871,2.257000232930295e-06
1872,2.1976031803205842e-06
1873,2.0974960079911398e-06
1874,2.200448534495081e-06
1875,2.230823383797542e-06
1876,2.2829751742392546e-06
1877,2.2562207959708758e-06
1878,2.086505219267565e-06
1879,2.215852191511658e-06
1880,2.646077973622596e-06
1881,2.2918632112123305e-06
1882,2.1789730908494676e-06
1883,2.091069291054737e-06
1884,2.0537879663606873e-06
1885,2.356524419155903e-06
1886,2.2309625364869135e-06
1887,2.5155945877486374e-06
1888,2.1684902549168328e-06
1889,2.211593255196931e-06
1890,2.2691285721521126e-06
1891,2.332327085241559e-06
1892,2.3814077394490596e-06
1893,2.2779981918574777e-06
1894,2.294390469614882e-06
1895,2.312953483851743e-06
1896,2.196643208662863e-06
1897,2.281158458572463e-06
1898,2.7001669877790846e-06
1899,2.5023348371178145e-06
1900,2.0634436168620596e-06
1901,2.622236252136645e-06
1902,2.4433572889392963e-06
1903,2.4003979888220783e-06
1904,2.323450416952255e-06
1905,2.3455650079995394e-06
1906,2.8035806280968245e-06
1907,2.427422032269533e-06
1908,2.367780780332396e-06
1909,2.450688270982937e-06
1910,2.2504218577523716e-06
1911,2.1696484964195406e-06
1912,2.24526047531981e-06
1913,2.1652106170222396e-06
1914,2.1014382127759745e-06
1915,2.2159613308758708e-06
1916,2.0986053641536273e-06
1917,2.2086378521635197e-06
1918,2.1984924387652427e-06
1919,2.394961256868555e-06
1920,2.101294285239419e-06
1921,2.120369344993378e-06
1922,2.0577062969096005e-06
1923,2.285613618369098e-06
1924,2.0871539163636044e-06
1925,1.911483423100435e-06
1926,2.1701532659790246e-06
1927,1.801714688554057e-06
1928,1.9789904399658553e-06
1929,2.0754578144988045e-06
1930,1.8444327452016296e-06
1931,2.2012338831700617e-06
1932,2.1097107492096256e-06
1933,2.2792205527366605e-06
1934,2.0081129150639754e-06
1935,2.0034908629895654e-06
1936,1.7799080751501606e-06
1937,1.988137455555261e-06
1938,1.9214448911952786e-06
1939,1.7679922166280448e-06
1940,1.8891582840296905e-06
1941,1.6528414334970876e-06
1942,1.4230453189156833e-06
1943,1.5271017446139012e-06
1944,1.6130194353536353e-06
1945,1.8756919644147274e-06
1946,1.77494075614959e-06
1947,1.814356551221863e-06
1948,1.5264130297509837e-06
1949,2.057644906017231e-06
1950,1.761215912665648e-06
1951,1.5107206081665936e-06
1952,1.5954287846398074e-06
1953,1.539579898235388e-06
1954,1.666217372076062e-06
1955,1.5026357687020209e-06
1956,1.4843383269180777e-06
1957,1.6168119145731907e-06
1958,1.695809942248161e-06
1959,1.7555444173922297e-06
1960,1.684530843704124e-06
1961,1.7898457826959202e-06
1962,1.702181066320918e-06
1963,1.5078836668180884e-06
1964,1.7156791045636055e-06
1965,1.8927797782453126e-06
1966,1.6096551007649396e-06
1967,1.8424664176563965e-06
1968,1.6887723859326798e-06
1969,2.6006105144915637e-06
1970,2.0565498743962962e-06
1971,1.7326676697848598e-06
1972,1.7201382433995605e-06
1973,1.768635797816387e-06
1974,1.8440623534843326e-06
1975,1.599785605321813e-06
1976,1.5975020914993365e-06
1977,1.593195520399604e-06
1978,1.5623754734406248e-06
1979,1.4536301478074165e-06
1980,1.5270314861481893e-06
1981,1.3846628235114622e-06
1982,1.496008053436526e-06
1983,1.4291559864432202e-06
1984,1.3633468824991724e-06
1985,1.4461401178778033e-06
1986,1.361947056466306e-06
1987,1.412209826412436e-06
1988,1.4385732356458902e-06
1989,1.5449063539563213e-06
1990,1.388316263728484e-06
1991,1.3926841120337485e-06
1992,1.3548952892961097e-06
1993,1.3183313285480835e-06
1994,1.4110428310232237e-06
1995,1.4217665693649906e-06
1996,1.2597897693922278e-06
1997,1.391478349432873e-06
1998,1.3646385923493654e-06
1999,1.2979371604160406e-06
2000,1.3978651622892357e-06
2001,1.250835907740111e-06
2002,1.3721985396841774e-06
2003,1.2909126780868974e-06
2004,1.3011753026148654e-06
2005,1.1907914085895754e-06
2006,1.2246604228494107e-06
2007,1.2594593954418087e-06
2008,1.1605781082835165e-06
2009,1.2726305840260466e-06
