year,grand_ADJ art_NOUN,grand_ADJ quart_NOUN
1800,2.1443201436710524e-06,3.458580977167003e-08
1801,2.7169294298801105e-06,2.690736380372982e-07
1802,1.6067691888110858e-06,1.3427040812530322e-07
1803,1.7475039264525094e-06,2.340407121437238e-07
1804,2.311180542946545e-06,1.1370514130248921e-07
1805,2.3141024030337576e-06,2.6723051860244595e-07
1806,2.077683348034043e-06,1.2679343797117326e-07
1807,1.6028356792929799e-06,1.224190668835945e-07
1808,2.3476526123111796e-06,9.290903335568146e-08
1809,1.6016526762641092e-06,8.810219043198231e-08
1810,1.8931625049845024e-06,2.2465216886757844e-07
1811,1.4616257146826683e-06,1.2535383575595915e-07
1812,1.5363119851841134e-06,1.8670457180292033e-08
1813,1.6477999906783225e-06,1.2078115219082974e-07
1814,1.3939779819338582e-06,1.6362720600682223e-07
1815,1.3540062582251267e-06,7.012781111370714e-08
1816,1.29090537015486e-06,9.502176112619054e-08
1817,2.4333931382125584e-06,4.0478710161551135e-08
1818,1.6475066737520194e-06,1.2398024296089716e-07
1819,2.1312811533391596e-06,1.387040668987538e-07
1820,1.5782419655607782e-06,1.4121113167675503e-07
1821,2.1083862353776794e-06,2.2878653282987216e-07
1822,1.7725288472547618e-06,1.1328945959121484e-07
1823,1.3578811604020302e-06,1.956772024414022e-07
1824,1.4905369578599448e-06,1.1115868403521745e-07
1825,1.6113960668029392e-06,1.215151144151605e-07
1826,1.3837342959233112e-06,7.310627125889368e-08
1827,1.3374263740928427e-06,1.6867609531345806e-07
1828,1.0841660108562579e-06,1.3391559150477406e-07
1829,1.7712181269446958e-06,5.401101077495696e-08
1830,1.3755749250776717e-06,7.931995327226105e-08
1831,1.0851479146367637e-06,1.0602020239502963e-07
1832,1.4355297253132449e-06,1.569476495433264e-07
1833,1.2406066011161343e-06,8.68772147555319e-08
1834,1.0650700232872623e-06,5.507373401769655e-08
1835,8.531163331326752e-07,9.832014313815307e-08
1836,7.701979296004247e-07,1.263501019366231e-07
1837,9.810625795081407e-07,1.4124518088465265e-07
1838,1.0276199149394927e-06,1.0793797144970085e-07
1839,8.564557334445055e-07,8.739343826391632e-08
1840,1.098771315266589e-06,4.0766007458614695e-08
1841,9.7849163527286e-07,8.410918894696806e-08
1842,1.1296718156472707e-06,7.982835370512475e-08
1843,1.0526114970765832e-06,4.7255287682901326e-08
1844,1.0949679982164007e-06,3.1833653935109396e-08
1845,8.822340512582016e-07,4.743193926515232e-08
1846,1.0145851290221941e-06,6.908311434017378e-08
1847,9.1469074448014e-07,4.853901458545806e-08
1848,6.556855789430216e-07,6.516629724728773e-08
1849,8.924077159466748e-07,5.111443002192573e-08
1850,8.099272195138951e-07,4.820187271548093e-08
1851,8.203685837315788e-07,5.3530342825069965e-08
1852,8.672046449831328e-07,4.036538214791108e-08
1853,1.0014929292534447e-06,6.927440665549511e-08
1854,1.2313724249146674e-06,7.63762670885626e-08
1855,1.1754865951729698e-06,4.988520885262915e-08
1856,1.044756734458474e-06,6.73034605824796e-08
1857,1.082230612015067e-06,8.298565745690212e-08
1858,1.2204828485629093e-06,5.5787907626836386e-08
1859,1.5164491704577898e-06,6.008764330545091e-08
1860,1.1360570930096792e-06,8.238931314963338e-08
1861,1.3935672475984262e-06,9.384768162590262e-08
1862,1.461568566396565e-06,8.13237548413781e-08
1863,1.390002991819017e-06,5.194405616748554e-08
1864,1.7107589163067871e-06,5.178306139441702e-08
1865,1.353217737865009e-06,7.107335164846518e-08
1866,1.1623948781291915e-06,9.147352386662533e-08
1867,1.8013636200464589e-06,7.23068893648815e-08
1868,1.7195701657035656e-06,7.706203319912674e-08
1869,1.5822602552617582e-06,5.7137174991339634e-08
1870,1.53385802237338e-06,5.6193677266946906e-08
1871,8.114579264084654e-07,5.629224020253787e-08
1872,1.4628513453907033e-06,7.438227100919903e-08
1873,1.341463593984571e-06,6.70432527272169e-08
1874,1.4351010939606113e-06,7.34876905994497e-08
1875,1.5007566254165994e-06,6.636971505713518e-08
1876,1.6451206201750779e-06,6.771536220639973e-08
1877,1.887605875605658e-06,8.102109205765373e-08
1878,1.6704119223387437e-06,6.884560832531861e-08
1879,1.626913315178058e-06,7.697749992985337e-08
1880,1.66799826573083e-06,5.455169471701993e-08
1881,1.579273009255644e-06,8.506459181489845e-08
1882,1.7210826248614808e-06,7.387477296560974e-08
1883,1.6405004408248658e-06,1.0806069639102134e-07
1884,1.5976106162440828e-06,8.582205879292815e-08
1885,1.5901383179084405e-06,9.023889901982329e-08
1886,1.3758785435413756e-06,6.453463896605172e-08
1887,1.2731403158383614e-06,9.140494228176976e-08
1888,1.3334312649604385e-06,5.135897751529228e-08
1889,1.2392440247310788e-06,6.766347837583453e-08
1890,1.1856884798433498e-06,4.7191583973926754e-08
1891,1.247434870954578e-06,6.947900033082988e-08
1892,1.1496452154702297e-06,4.2625885043889866e-08
