year,avait_VERB assez_ADV,avait_VERB cassé_VERB
1800,8.646452442917507e-07,6.917161954334006e-08
1801,7.619784128110041e-07,9.762848662830947e-08
1802,2.5958945570891956e-07,6.042168365638645e-08
1803,4.680814242874476e-07,6.046051481689574e-08
1804,8.799789270597103e-07,3.707776485839531e-08
1805,6.311188371910248e-07,5.970043304159844e-08
1806,6.685472158096673e-07,4.8988376022407465e-08
1807,8.256170076492708e-07,2.306033621835013e-07
1808,5.982435595797142e-07,1.4049658147996524e-07
1809,6.483417678282422e-07,1.1746958961111886e-07
1810,6.365144713527116e-07,1.1466621430145096e-07
1811,8.072786954471667e-07,8.273353557797236e-08
1812,8.161657092387031e-07,1.0935553973467904e-07
1813,9.950066441888339e-07,1.9555042740648787e-07
1814,8.307227403747675e-07,1.9194730782601255e-07
1815,8.307448524647043e-07,1.294667271167782e-07
1816,9.571704140398651e-07,7.648093003354006e-08
1817,9.746026989887469e-07,1.4478922594207688e-07
1818,1.0359502766732476e-06,2.22926018977887e-07
1819,8.653477721054514e-07,1.1075623262968293e-07
1820,1.155795303020568e-06,1.4002448267547152e-07
1821,1.0985697826981777e-06,1.1340711836282935e-07
1822,1.1750021258194465e-06,1.744457165386848e-07
1823,1.1434268571974826e-06,2.3224313849823375e-07
1824,1.1966401416430017e-06,7.663212642228245e-08
1825,1.3498744237949722e-06,1.3912600138610287e-07
1826,1.0701701285142917e-06,1.6030531924116076e-07
1827,1.1715153505065246e-06,1.6683264902894734e-07
1828,1.304301235904859e-06,1.1006761724274838e-07
1829,1.7660743196756812e-06,1.8175133220665884e-07
1830,1.297298695135396e-06,1.763825281386744e-07
1831,1.216114128510526e-06,1.5747117743103445e-07
1832,1.3272899650473846e-06,1.2176973029909277e-07
1833,1.118978502745449e-06,1.054110185805257e-07
1834,1.5084601727721747e-06,1.6802155755613057e-07
1835,1.545138843539462e-06,1.3537928111873043e-07
1836,1.1526086609592312e-06,1.518889547469371e-07
1837,1.2677277254624642e-06,1.0088941593267009e-07
1838,1.290205887016782e-06,1.04781889831429e-07
1839,1.387807856190193e-06,1.4052865537905745e-07
1840,1.3777636240774882e-06,9.17235141173478e-08
1841,1.1158913366671186e-06,1.3033714196808432e-07
1842,1.5636966281817877e-06,1.7642737759615557e-07
1843,1.1866984550579218e-06,9.864541539172933e-08
1844,1.3842151247445145e-06,1.108689389184292e-07
1845,1.417377916368423e-06,1.2778721725226205e-07
1846,1.3605861113319406e-06,1.2587177877776412e-07
1847,1.2722614428639645e-06,1.5047093882003537e-07
1848,9.243959766536136e-07,1.2067832244611054e-07
1849,1.3189198853069684e-06,1.458018203948086e-07
1850,1.1609183729888173e-06,9.911934029105396e-08
1851,1.3040764770266833e-06,1.0577079478935048e-07
1852,1.348985051663476e-06,1.1653876441641842e-07
1853,1.2762018286593957e-06,1.7915795069711749e-07
1854,1.1549961982382229e-06,1.1326548587931029e-07
