year,fut_VERB ouverte_ADJ,fut_VERB couverte_ADJ
1800,1.8864987794131594e-08,3.144164484325529e-09
1801,1.4287095950749062e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,3.900678446910888e-09,0.0
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,1.421438877713399e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,2.7192887941396293e-08,4.5321479902327155e-09
1809,9.036122072814123e-09,0.0
1810,7.020380277111826e-09,1.4040760554223652e-08
1811,7.521229861140455e-09,0.0
1812,3.7340914360584065e-08,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,2.5173417128598885e-08,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,1.556873407970727e-09,0.0
1818,8.344824387052086e-09,3.5763532135746345e-09
1819,1.5526575580793178e-08,1.035105001712111e-09
1820,3.559944161679596e-08,4.746592452420373e-09
1821,3.155676253641104e-08,3.94459531705138e-09
1822,3.8097340393505874e-08,5.012807946513931e-09
1823,4.743689885344793e-08,2.9648061783404955e-09
1824,3.705289586264371e-08,1.0105335235266466e-08
1825,2.3774695989686734e-08,8.805443041381977e-10
1826,5.6371099788066203e-08,8.807984341885344e-10
1827,1.1060727445055818e-08,3.6869092223668076e-09
1828,3.8523666034961934e-08,9.172301251858528e-10
1829,1.628903412154159e-08,1.457439946506156e-08
1830,1.2524203008013046e-08,4.174734336004349e-09
1831,1.5591206103948707e-09,9.354723218280014e-09
1832,3.2471927369215337e-08,8.117981842303834e-09
1833,1.1583628278799551e-08,0.0
1834,1.120143711119681e-08,2.8003592777992026e-09
1835,1.4369867074037757e-08,0.0
1836,3.629205025390547e-08,1.4785650037651976e-08
1837,2.7831564608504777e-08,6.957890930081589e-10
1838,2.651107955387033e-08,2.5248647617104325e-09
1839,1.957613093850341e-08,2.0974426639952526e-09
1840,2.8026629905752998e-08,3.821813088222825e-09
1841,1.5409316489467528e-08,1.926164561183441e-09
1842,2.6162233268678392e-08,6.708265054555795e-10
1843,2.0674189471492355e-08,2.3627644285539873e-09
1844,4.061535463506516e-08,3.841992946007622e-09
1845,1.2834524554250493e-08,0.0
1846,2.6345256642912318e-08,5.854501328173001e-10
1847,1.833696039454935e-08,3.775256551818984e-09
1848,5.229394162142853e-08,3.218088684420195e-09
1849,2.3462362719328667e-08,1.6758829879393033e-09
1850,1.3577992064028876e-08,2.0366988096043315e-09
1851,8.384270167027807e-09,3.8696632564949596e-09
1852,1.6927417689771573e-08,0.0
1853,2.6873692604567623e-08,5.971931837933653e-10
1854,1.8704392701351935e-08,1.0391328908454511e-09
1855,2.5473298137512757e-08,7.960405667972736e-09
1856,1.1907535402144731e-08,3.6240324075009767e-09
1857,2.0502337605421417e-08,1.4644527812635033e-09
1858,1.9574704523961373e-08,3.4255731584664773e-09
1859,1.6804172275897145e-08,1.018434669930457e-09
1860,1.0985241161165504e-08,2.746310290291376e-09
1861,1.9335450573976232e-08,1.4147891747029462e-09
1862,2.0330938710344526e-08,1.3553959066214816e-09
1863,1.7980635647063536e-08,3.496234635136375e-09
1864,1.342523781033833e-08,1.9178911792039344e-09
1865,8.47231973466478e-09,4.706844358715045e-10
1866,6.811858188626729e-09,9.731225825149181e-10
1867,2.038180824115443e-08,0.0
