year,voulant_VERB ouvrir_VERB,voulant_VERB couvrir_VERB
1800,9.432493897065797e-09,1.5720821977538435e-08
1801,3.809892135109294e-08,5.000483582762172e-08
1802,2.2378401354217203e-09,3.5805442166747525e-08
1803,9.751696339321825e-09,6.631153226521747e-08
1804,7.4155526164076946e-09,2.2246657849223084e-08
1805,4.548604315424143e-08,2.842877711017877e-09
1806,3.458002950651462e-08,2.5935023018064385e-08
1807,3.131650672116848e-08,3.985737118128441e-08
1808,2.039466551195801e-08,1.5862518409903714e-08
1809,1.581321384946932e-08,5.87347932512472e-08
1810,1.4040760554223652e-08,8.658469141664682e-08
1811,1.0028307073639553e-08,1.0028307073639553e-08
1812,1.600324850414836e-08,4.800974684471271e-08
1813,0.0,3.163315653864629e-08
1814,3.1466771410748606e-09,7.237357690925705e-08
1815,0.0,8.091670444798638e-09
1816,9.270415546325239e-09,3.9399266071882266e-08
1817,9.341240336802059e-09,5.604744268694617e-08
1818,9.536941902865692e-09,2.861082504246326e-08
1819,3.415846450138815e-08,2.794783426907088e-08
1820,1.4239777357261119e-08,1.1866481131050932e-08
1821,5.3252035447926005e-08,5.423818549843418e-08
1822,9.023054303725075e-09,8.822541985864518e-08
1823,1.1859224380295075e-08,1.2847492847356534e-08
1824,5.052667617633233e-09,8.673745899301366e-08
1825,6.163810128967384e-09,2.553578504205234e-08
1826,1.5854372037438225e-08,4.051672775062798e-08
1827,1.1060727667100423e-08,1.935627302884768e-08
1828,2.0179061976932644e-08,1.8344601671049787e-08
1829,3.429270423183084e-09,3.1720750914843165e-08
1830,1.7742621594152297e-08,3.861629416235246e-08
1831,2.4945929544273326e-08,1.4032085715598441e-08
1832,2.1647950987357945e-08,1.8941956891893597e-08
1833,3.01174338801502e-08,1.390035431203529e-08
1834,1.8669061851994684e-09,2.42697808516823e-08
1835,1.1344631900556124e-08,4.235329242874286e-08
1836,3.293167516460471e-08,3.8980349614803345e-08
1837,1.3219993100221927e-08,1.5307359824134892e-08
1838,3.092959310890819e-08,7.132742751991827e-08
1839,4.4046294611632675e-08,2.7266753299670654e-08
1840,8.917564464638872e-09,1.52872523528913e-08
1841,1.6051371343195342e-08,1.412520722610111e-08
1842,1.2745704047745221e-08,2.1466449062756965e-08
1843,2.067418880535854e-08,1.2404513194397282e-08
1844,1.2074834465636286e-08,3.128479897362979e-08
1845,5.022205151750114e-09,2.1204866862412075e-08
1846,1.2294452789163302e-08,1.6978054517835517e-08
1847,1.941560512364049e-08,4.961765753819236e-08
1848,1.0458788002321029e-08,2.976732105253177e-08
1849,1.3407063903514427e-08,6.703531951757213e-09
1850,1.968808760466345e-08,1.6293590476834652e-08
1851,5.159551230704551e-09,4.385618201929731e-08
1852,9.114763832585027e-09,7.812654523320361e-09
1853,1.6721409146214228e-08,1.7318601663873778e-08
1854,1.8184825645306546e-08,2.649788816144749e-08
1855,8.491099379170919e-09,1.0613874223963649e-08
1856,2.0708757098031327e-08,1.0354378410237786e-08
1857,1.4156376737517462e-08,3.563501782544165e-08
1858,2.4468380099840203e-09,3.6213201326518174e-08
1859,1.0693564034269798e-08,1.476730293603623e-08
1860,1.9681891672007623e-08,1.144295969091047e-08
1861,6.6023493339173456e-09,8.017138064531082e-09
1862,2.84633134839396e-08,1.2198563159593334e-08
1863,2.796987663700179e-08,3.995696662428827e-09
1864,4.794728170054441e-09,9.589456340108882e-09
1865,1.7886008674139475e-08,1.0825741858511151e-08
1866,1.8489329178805747e-08,1.1190909532388105e-08
1867,1.261730986357179e-08,1.8925964795357686e-08
1868,2.1735445443482604e-08,2.1735446331661024e-08
1869,7.813630631403612e-09,7.813630631403612e-09
1870,1.9495765446464475e-08,1.490852596930381e-08
1871,2.2304472935275044e-08,1.3807530230280918e-08
1872,6.047339518033823e-09,1.2094679036067646e-08
1873,8.380406590902112e-09,7.183205141814142e-09
1874,2.091113165958447e-08,1.0754296453363565e-08
1875,1.830888685105947e-08,8.010138330405425e-09
1876,1.51150369998021e-08,1.0278225381910033e-08
1877,1.36065949618569e-08,2.3502300550148902e-08
1878,1.1474268590827563e-08,7.2469061862534545e-09
1879,1.344051525631329e-08,7.331190321480108e-09
1880,1.0910338632541539e-08,1.3477476912271413e-08
1881,9.761510322281453e-09,9.761510710859511e-09
1882,2.2628309892525067e-08,1.2645231528551903e-08
1883,2.3381553249102183e-08,1.8958016489989404e-08
1884,3.1027977520636796e-08,4.621187876807653e-09
1885,1.933690724209569e-08,9.66845359329227e-09
1886,2.8395241213896583e-08,1.3552274358286098e-08
1887,1.566941953967671e-08,3.264462256069578e-09
1888,2.4728397107764977e-08,3.1703073499755874e-09
1889,2.0048437576747347e-08,8.771191495338115e-09
1890,2.3595791986963377e-08,9.831579994568074e-09
1891,7.649064048820264e-09,9.561330394092238e-09
1892,8.775916882086676e-09,1.5044429702015805e-08
1893,8.005941354305435e-09,3.079208221734575e-09
1894,1.7644309346920295e-08,3.780923574225881e-09
1895,9.629782748987736e-09,3.0093072478365457e-09
1896,3.774098544795379e-08,7.076434549446731e-09
1897,2.447219638046505e-08,1.1070756089637257e-08
1898,1.640922953072277e-08,1.640922964174507e-08
1899,1.1607914629507832e-08,5.527578395003729e-10
1900,2.2321527737290126e-08,6.22926377147337e-09
1901,1.2854099118442264e-08,4.470991132876634e-09
1902,1.423982337600549e-08,4.419255628107521e-09
1903,1.9980815890718873e-08,5.940242076007962e-09
1904,4.837162670412454e-09,1.6123875568041512e-09
1905,1.857873321853276e-08,1.2901897328276846e-08
1906,2.006231980544726e-08,6.173021205313489e-09
1907,9.257117739025489e-09,2.5714217422034835e-09
1908,1.6698722404839828e-08,1.4734167441687873e-08
1909,8.801573692096554e-09,2.2003934230241384e-09
1910,2.1911017888953666e-08,7.481810948561929e-09
1911,1.4365010403416534e-08,5.852411444351446e-09
1912,1.3544495303108306e-08,6.772247651554153e-09
1913,9.545381374209683e-09,3.712092910834741e-09
1914,7.366418142140674e-09,1.1384464038144415e-08
1915,0.0,4.712304768617059e-09
1916,3.2962386153911893e-09,8.789969641043172e-09
1917,3.289927441585405e-09,4.386569774084137e-09
1918,1.1486376294556067e-08,2.2972752589112133e-09
1919,6.4454939163738345e-09,9.207848372660976e-10
1920,1.590168707821249e-08,0.0
1921,1.2116395886607734e-08,3.7863738810983705e-09
1922,5.902348387820666e-09,4.426761179843197e-09
1923,1.3800733000834953e-08,3.1847844361720945e-09
1924,1.1602462102189293e-08,1.0313299325659386e-08
1925,1.2097995494286806e-08,1.0998177923937646e-09
1926,7.802296586589819e-09,1.1146138456652466e-09
1927,5.574612327308159e-09,6.689535148041159e-09
1928,1.1426041446327417e-08,5.713020723163709e-09
1929,3.342121912552898e-09,5.570203187588163e-09
1930,1.470504518152893e-08,3.1510811737689437e-09
1931,3.4216069977333063e-09,9.124285327288817e-09
1932,3.287861094491973e-09,5.4797681947604815e-09
1933,8.02946331646126e-09,4.588264879146209e-09
1934,1.1981580172459871e-09,2.3963160344919743e-09
1935,9.574627313213568e-09,4.787313656606784e-09
1936,6.0623572828433225e-09,3.6374143697059935e-09
1937,5.0364472592434595e-09,5.0364472592434595e-09
1938,1.2965214457594243e-09,2.5930428915188486e-09
1939,1.070583532936098e-08,0.0
1940,5.0715658339584024e-09,2.5357829169792012e-09
1941,5.9030051957620344e-09,2.9515025978810172e-09
1942,6.068423541449874e-09,3.034211770724937e-09
1943,8.709705845433291e-09,1.161294105322952e-08
1944,9.639558484764166e-09,0.0
1945,8.714016175304096e-09,6.535512131478072e-09
1946,4.1763312808029696e-09,2.7842208538686464e-09
1947,3.5762612871081956e-09,7.152522796260996e-09
1948,7.610321262063735e-09,3.2615663503321457e-09
1949,8.835307596655184e-09,1.9634016634739737e-09
1950,4.2541445921528975e-09,2.1270722960764488e-09
1951,3.198420528427448e-09,2.1322803522849654e-09
1952,0.0,2.1089607837865287e-09
