year,petit_ADJ art_NOUN,petit_ADJ quart_NOUN
1800,6.288328657788611e-08,1.320549074534938e-07
1801,1.6668277424969347e-08,1.3334621939975477e-07
1802,1.1189200677108602e-08,2.2378401354217203e-07
1803,4.095712213825209e-08,2.1648764914061758e-07
1804,2.4718509905596875e-08,1.1617699158250616e-07
1805,3.980028751016107e-08,3.1271653710973624e-07
1806,0.0,5.76333825108577e-08
1807,1.4234775136401367e-08,2.44838133767189e-07
1808,2.039466551195801e-08,2.01680592226694e-07
1809,3.840352036377226e-08,2.7334269248058263e-07
1810,7.020380277111826e-09,1.778496283577624e-07
1811,3.760615285841595e-08,2.356652117896374e-07
1812,3.7340914360584065e-08,1.0935553973467904e-07
1813,2.013019195779009e-08,1.4378707646756084e-07
1814,2.2026739543434815e-08,9.44003133440674e-08
1815,2.6972236000233352e-08,7.821948599939788e-08
1816,0.0,8.57513455798653e-08
1817,4.670620334934483e-09,1.4167548556542897e-07
1818,3.4571415286066554e-08,8.702459552978326e-08
1819,1.2421260464634543e-08,1.2938812687934842e-07
1820,5.933240565525466e-09,1.0323838495196469e-07
1821,2.465372084259343e-08,1.1044866710108181e-07
1822,2.4061478143266868e-08,1.2431763707354548e-07
1823,1.087095569118901e-08,2.213721899124721e-07
1824,8.421112696055388e-09,8.58953512761218e-08
1825,1.144707639788578e-08,1.1359021812040737e-07
1826,1.0569580766173203e-08,1.3652375230321923e-07
1827,1.566936447261469e-08,8.940754980812926e-08
1828,2.2930752408001354e-08,9.447470006307412e-08
1829,2.0575622650120806e-08,6.001223340490469e-08
1830,1.0436835840010872e-09,4.905312778191728e-08
1831,3.1182412207897414e-09,1.0602020239502963e-07
1832,2.0294953273491956e-08,7.170883975504694e-08
1833,1.9692167896323554e-08,6.486831694019202e-08
1834,6.534171426153534e-09,8.214387037241977e-08
1835,2.4958190181223472e-08,1.1798417176578369e-07
1836,8.736974699274924e-09,1.263501019366231e-07
1837,8.349468672008697e-09,8.906100390504434e-08
1838,1.3886756633496589e-08,1.4896701827638026e-07
1839,1.11863602825224e-08,1.1955422962728335e-07
1840,1.0191501864653674e-08,9.427139247009109e-08
1841,6.420548537278137e-09,1.0080260892664228e-07
1842,6.708265054555795e-10,6.03743828264669e-08
1843,1.358589563071888e-08,7.678984559333912e-08
1844,2.140538946093784e-08,5.1043620885593555e-08
1845,7.812318791877715e-09,5.412821124650691e-08
1846,1.1709002656346001e-09,7.786486833083472e-08
1847,5.3932236454556914e-09,5.8786138623645456e-08
1848,1.609044403272364e-08,6.355725190587691e-08
1849,1.6758829879393033e-09,3.6869426622843093e-08
1850,8.146795238417326e-09,6.653215933738466e-08
1851,1.2898877521649865e-09,9.351686003356008e-08
1852,3.906327261660181e-09,6.640756566866912e-08
1853,2.6873693936835252e-08,6.748282999069488e-08
1854,1.506742686174789e-08,7.741540031247496e-08
1855,1.6982198758341838e-08,6.580602018857462e-08
1856,3.5204886728035234e-08,1.289120064029703e-07
1857,2.1966791052818735e-08,8.249750038658021e-08
1858,1.468102794888182e-08,7.38945047373818e-08
1859,2.7497735644033128e-08,8.351164382247589e-08
1860,2.8378540406492903e-08,9.9324893199082e-08
1861,2.263662679524714e-08,1.0375120496064483e-07
1862,2.304173052358749e-08,1.0029929597976661e-07
1863,1.448440001272644e-08,8.241124049845894e-08
1864,3.691940475558653e-08,6.904408422769848e-08
1865,4.706844425328427e-08,8.284045804884954e-08
1866,2.530118803356629e-08,8.076917623611735e-08
1867,4.173418055586353e-08,1.0093847890857433e-07
1868,2.0253483223875435e-08,7.459210138449635e-08
1869,3.4672985371742016e-08,7.520619504930437e-08
1870,3.1537267464187835e-08,6.76617730732687e-08
1871,2.230447138096281e-08,6.478918379571041e-08
1872,2.53988243770209e-08,6.893966997267853e-08
1873,2.0951015311521104e-08,6.345164393906089e-08
1874,5.3174020908652864e-08,7.707245686106035e-08
