year,soient_VERB assez_ADV
1800,1.210503342008451e-06
1801,1.0977252031807438e-06
1802,1.0115037412106176e-06
1803,1.057083863997832e-06
1804,1.035705508911633e-06
1805,9.637354878577753e-07
1806,6.541388870573428e-07
1807,8.313108992297202e-07
1808,1.0061368129754555e-06
1809,8.561725621802907e-07
1810,8.728673037694534e-07
1811,9.150830351245531e-07
1812,6.934741350050899e-07
1813,6.211602112671244e-07
1814,7.520558256146614e-07
1815,6.446364295698004e-07
1816,1.1333082738929079e-06
1817,8.54723509746691e-07
1818,6.997731247793126e-07
1819,7.369947638835583e-07
1820,7.570815228064021e-07
1821,7.307363034669834e-07
1822,8.05056970420992e-07
1823,6.670813377240847e-07
1824,7.730581614850962e-07
1825,7.414183187393064e-07
1826,7.654138585166947e-07
1827,8.212590500988881e-07
1828,7.383702609331522e-07
1829,6.644211225648178e-07
1830,7.691947985222214e-07
1831,6.423576905945083e-07
1832,7.427952937177906e-07
1833,6.811173420828709e-07
1834,7.000897994657862e-07
1835,6.179042770781962e-07
1836,5.605105570793967e-07
1837,7.521480256400537e-07
1838,6.223791615411756e-07
1839,6.690841587442264e-07
1840,5.592586376224062e-07
1841,6.703052690681943e-07
1842,5.903273176954826e-07
1843,5.629286192743166e-07
1844,6.668602168247162e-07
1845,6.701853862978169e-07
1846,6.832203212070453e-07
1847,5.414796646618925e-07
1848,6.283318043642794e-07
1849,4.650575249343092e-07
1850,6.177986620059528e-07
1851,5.353033998289902e-07
1852,6.927220397301426e-07
1853,6.294416152741178e-07
1854,6.369884886225918e-07
1855,5.312244297783764e-07
1856,4.840671863348689e-07
1857,5.257385282675386e-07
1858,5.246020577942545e-07
1859,4.78664276215568e-07
1860,5.030325382904266e-07
1861,5.380914558372751e-07
1862,4.88394334752229e-07
1863,5.2643304115918e-07
1864,4.876238222095708e-07
1865,5.662333819600462e-07
1866,5.595454695139779e-07
1867,5.532205022973358e-07
1868,6.421836360459565e-07
1869,5.069092594567337e-07
1870,5.797123208139965e-07
1871,5.098165161143697e-07
1872,5.218853971200588e-07
1873,6.14762655004597e-07
1874,5.574310080191935e-07
1875,4.880462824985443e-07
1876,5.253986614661699e-07
1877,6.704340762553329e-07
1878,5.435179559754033e-07
1879,5.290675630931219e-07
1880,4.883980864178739e-07
1881,4.5321300490286376e-07
1882,5.024815550314088e-07
1883,5.219773697717756e-07
1884,5.34737466750812e-07
1885,5.549692332351697e-07
1886,4.646493891868886e-07
1887,5.38636300007056e-07
1888,5.180282300898398e-07
1889,4.5296937400962634e-07
1890,5.662989792654116e-07
1891,5.418087312136777e-07
1892,4.876902721662191e-07
1893,5.099169015920779e-07
1894,4.404776063893223e-07
1895,4.134788298415515e-07
1896,4.6527557628905925e-07
1897,4.603103604949865e-07
1898,4.945402451994596e-07
1899,4.659748640278849e-07
1900,4.5940819859424664e-07
1901,4.63306463416302e-07
1902,4.708962251243065e-07
1903,4.5415853833219444e-07
1904,4.98765189149708e-07
1905,4.541468001661997e-07
1906,5.319086540112039e-07
1907,4.952557901560795e-07
1908,5.608806077361805e-07
1909,5.049902824794117e-07
1910,4.927306918034446e-07
1911,4.947947900291183e-07
1912,4.646803688501677e-07
1913,4.921174650007742e-07
1914,4.2658257370931096e-07
1915,4.782989435625495e-07
1916,3.977461346948985e-07
1917,4.4743012495018775e-07
1918,4.893196319244453e-07
1919,4.4934299125998223e-07
1920,4.467616747660941e-07
1921,4.740539907288621e-07
1922,4.330848071276705e-07
1923,4.2994588511646725e-07
1924,4.2026695723507146e-07
1925,3.7613767744915094e-07
1926,4.592208995291003e-07
1927,3.5454536373435985e-07
1928,3.302126003745798e-07
1929,4.043967578581942e-07
1930,4.1174126863552374e-07
1931,4.3568462615439785e-07
1932,3.967352313338779e-07
1933,3.4297281104045396e-07
1934,3.5824925248562067e-07
1935,4.129057913360157e-07
1936,3.758661648589623e-07
1937,4.0417489799438044e-07
1938,4.460033835584909e-07
1939,3.747042285340285e-07
1940,3.727600983438606e-07
1941,4.191133768927102e-07
1942,4.156870261340373e-07
1943,4.5000146542406583e-07
1944,4.5627243139279017e-07
1945,4.139157567806251e-07
1946,3.9257514572454966e-07
1947,4.0650169808031933e-07
1948,4.01172655983828e-07
1949,4.319483650760958e-07
1950,4.126520138925116e-07
1951,3.9340571333923435e-07
1952,4.692437869380228e-07
1953,4.255661849583703e-07
1954,4.788542469214008e-07
1955,4.223523433211085e-07
1956,4.4216187689016806e-07
1957,4.2231479824295093e-07
1958,4.500100487803138e-07
1959,4.6581993728977977e-07
1960,4.3808876171169686e-07
1961,4.585785120525543e-07
1962,3.9954323938218295e-07
1963,4.2029347468997e-07
1964,4.21010611262318e-07
1965,3.994591679656878e-07
1966,4.143227840813779e-07
1967,4.057666274093208e-07
1968,3.8895660736670834e-07
1969,3.6879072240481037e-07
1970,4.12505642088945e-07
1971,3.7921373063909414e-07
1972,3.560321886197926e-07
1973,3.572556011022243e-07
1974,3.482228976281476e-07
1975,3.232697736166301e-07
1976,3.2738509503360547e-07
1977,3.161708548304887e-07
1978,2.9702957249355677e-07
1979,3.1659175192544353e-07
1980,2.745927645264601e-07
1981,2.701009691463696e-07
1982,2.700263621591148e-07
1983,2.6145409037781064e-07
1984,2.7313330974720884e-07
1985,2.4182543256756617e-07
1986,2.3558327200134954e-07
1987,2.615429650631995e-07
1988,2.4825732225508546e-07
1989,2.2117131948107271e-07
1990,2.6534931407695694e-07
1991,2.403200767275848e-07
1992,1.8458312922575715e-07
1993,2.1325948296180286e-07
1994,2.2629434681675775e-07
1995,2.0334191219717468e-07
1996,1.8523179790008726e-07
1997,1.893983352374562e-07
1998,1.916787937261688e-07
1999,2.28053039563747e-07
2000,2.0278764623071766e-07
2001,2.019738616354516e-07
2002,2.0241243703367218e-07
2003,1.7001045193865139e-07
2004,1.7222733106336818e-07
2005,2.143784740837873e-07
2006,1.8695220660447376e-07
2007,1.84944397574327e-07
2008,1.958422188863551e-07
2009,1.8357540909619274e-07
2010,1.974545540406325e-07
