year,peuvent_VERB ouvrir_VERB,peuvent_VERB couvrir_VERB
1800,5.345079756580162e-08,5.65949598296811e-08
1801,7.143547975374531e-08,7.619784270218588e-08
1802,7.608656460433849e-08,8.280008501060365e-08
1803,2.145373123596528e-08,7.606323038089613e-08
1804,6.179627121127851e-08,7.415552971679062e-08
1805,3.695740957709859e-08,8.24434565060983e-08
1806,6.916005901302924e-08,1.0662175498055149e-07
1807,7.971474502710407e-08,8.256169792275614e-08
1808,5.6651849433819734e-08,5.211970233176544e-08
1809,4.0662548883574345e-08,1.1069249694628525e-07
1810,6.084329839950442e-08,7.956430891908894e-08
1811,3.5099073869560016e-08,3.008491944456182e-08
1812,3.467370746079723e-08,1.1202274663446588e-07
1813,8.339650747757332e-08,9.777521370324394e-08
1814,6.293354282149721e-09,5.034683425719777e-08
1815,5.394447111228828e-09,2.1577788444915313e-08
1816,2.3176038865813098e-08,5.0987285504788815e-08
1817,8.407116069975018e-08,7.317304806520042e-08
1818,4.410835785506606e-08,1.0729059596314983e-07
1819,2.070209959015301e-08,6.521161566297451e-08
1820,5.3399165977907614e-08,7.594547923872597e-08
1821,2.9584464655840748e-08,1.0354562363090736e-07
1822,4.3110148340019805e-08,6.416394171537831e-08
1823,5.5343047478118024e-08,6.127265805844218e-08
1824,3.3684450784221553e-08,1.2631669221718766e-07
1825,4.6668848341369085e-08,5.811592274085342e-08
1826,4.4039921931471326e-08,7.398706713956926e-08
1827,4.2399456390285195e-08,9.585964022562621e-08
1828,3.5771975603893225e-08,2.8434133270138773e-08
1829,5.572564276690173e-08,4.9724420136953995e-08
1830,1.6698937344017395e-08,1.0645572245948642e-07
1831,4.989185953263586e-08,8.419251429359065e-08
1832,3.5177919244233635e-08,1.1635773944362882e-07
1833,3.243415847009601e-08,5.79181431703546e-08
1834,4.760610750054184e-08,8.58776871837108e-08
1835,3.932805725526123e-08,7.411826175030001e-08
1836,3.763620171071125e-08,8.736974876910608e-08
1837,5.287997240088771e-08,8.697363540477454e-08
1838,3.976661844262708e-08,5.1759727170974656e-08
1839,3.4957377437194737e-08,8.459684863737493e-08
1840,6.051204337609306e-08,1.0064108124652194e-07
1841,5.1364388298225094e-08,8.66774030328088e-08
1842,4.8970335342346516e-08,9.324488559059319e-08
1843,5.0208743829216473e-08,7.50177733266355e-08
1844,6.147188713612195e-08,8.726812694703767e-08
1845,2.622707206967334e-08,5.747634901354104e-08
1846,4.0981507964943376e-08,8.54757189472366e-08
1847,6.579733025091627e-08,6.795461615638487e-08
1848,6.838438793010937e-08,6.033916122305527e-08
1849,7.709061833338637e-08,5.865590324560799e-08
1850,5.838536765168101e-08,6.924776130290411e-08
1851,4.9660677348128957e-08,8.706741994046752e-08
1852,4.817803755940986e-08,4.557381672043448e-08
1853,2.7470886010405593e-08,5.1358615138497044e-08
1854,6.806320129726373e-08,4.2604447969551984e-08
1855,6.952087971967558e-08,5.5722839675809155e-08
1856,7.092749143566834e-08,6.62680221807932e-08
1857,3.4658715009072694e-08,5.516105261449411e-08
1858,7.487324182875454e-08,4.3553715300959084e-08
1859,6.721668910358858e-08,7.129042955966725e-08
1860,5.950339243554481e-08,6.179197953315452e-08
1861,4.6688040100661965e-08,5.7063161307269183e-08
1862,6.822159548391937e-08,3.975828022362293e-08
1863,5.4940830551686304e-08,5.993545215687845e-08
1864,4.411149845395812e-08,5.513937040291239e-08
1865,6.354240156269952e-08,6.307171673824996e-08
1866,5.54679857600604e-08,3.7465220259491616e-08
1867,7.085104414272791e-08,4.707226963773792e-08
1868,4.544684273355415e-08,5.1374691167893616e-08
1869,8.936839890338888e-08,5.030024752272766e-08
1870,6.364793847524197e-08,6.078091985273204e-08
1871,5.098165090089424e-08,5.947859449406678e-08
1872,5.805445724149649e-08,8.345327984216055e-08
1873,4.908523720814628e-08,6.105724281724179e-08
1874,5.317401985394099e-08,4.002988163165355e-08
1875,9.612165285943775e-08,6.751402281679475e-08
1876,8.222580305528027e-08,5.9250943706956605e-08
1877,6.865145962819952e-08,6.617753456339415e-08
1878,8.092379033541874e-08,5.7975249490027636e-08
1879,5.498392852132383e-08,2.7491964260661916e-08
1880,6.225310755780811e-08,3.5939940801199555e-08
1881,9.691785862742108e-08,3.974329487732575e-08
1882,9.450646842878996e-08,3.7270154962243396e-08
1883,8.531107908993363e-08,6.003372021723408e-08
1884,8.912290638818376e-08,2.3105940272216685e-08
1885,7.348024411157894e-08,6.316722789279083e-08
1886,7.486018205327127e-08,6.001721430948237e-08
1887,7.442974236937516e-08,6.202478175509896e-08
1888,6.847864142400795e-08,5.0090857683926515e-08
