year,fût_VERB en_PRON
1800,6.917161954334006e-08
1801,2.8574191901498125e-08
1802,6.713520406265161e-08
1803,6.241085515057421e-08
1804,3.460591457837836e-08
1805,1.1371510844071508e-08
1806,1.440834580535011e-07
1807,3.9857372513552036e-08
1808,2.7192887941396293e-08
1809,5.6475762733043666e-08
1810,6.31834211617388e-08
1811,5.515568801683912e-08
1812,2.6672083208723052e-08
1813,2.8757416004054903e-08
1814,3.1466772298927026e-08
1815,4.8550024445148665e-08
1816,3.244645441213834e-08
1817,3.42512151974006e-08
1818,5.126106117359086e-08
1819,5.4860564091541164e-08
1820,4.390598107306687e-08
1821,8.875339574387908e-08
1822,3.408709403629473e-08
1823,9.78386012207011e-08
1824,8.000056794799093e-08
1825,5.547429182684027e-08
1826,5.108631029315802e-08
1827,7.373818533551457e-08
1828,5.6868266540277546e-08
1829,6.601345603485242e-08
1830,2.2961039292113128e-08
1831,9.354723218280014e-09
1832,3.3824925083081325e-08
1833,3.8225973497674204e-08
1834,4.85395617033646e-08
1835,4.9160071569076536e-08
1836,3.696412420595152e-08
1837,4.244313345225237e-08
1838,9.152634561360173e-08
1839,3.705481788074394e-08
1840,4.968357103507515e-08
1841,5.393260948949319e-08
1842,4.159124245006751e-08
1843,3.9576303123567413e-08
1844,4.7750482679020934e-08
1845,4.464182268293371e-08
1846,2.5759806732139623e-08
1847,4.314578916364553e-08
1848,2.574470947536156e-08
1849,3.603148357456121e-08
1850,3.530277936647508e-08
1851,4.321124080775007e-08
1852,3.6459056218518526e-08
1853,2.9262466227919504e-08
1854,4.2604447969551984e-08
1855,3.980202833986368e-08
1856,4.40061072026765e-08
1857,4.3445432140742923e-08
1858,4.991549573674092e-08
1859,4.379269213927728e-08
1860,4.073693560258107e-08
1861,2.0750240636857598e-08
1862,6.776979688538631e-08
1863,4.395266373080631e-08
1864,3.5001512799226475e-08
1865,5.036323358353911e-08
1866,3.6978658357611494e-08
1867,4.367530337390235e-08
1868,2.4699369660652337e-08
1869,2.9789466893248573e-08
1870,1.834895613228582e-08
1871,1.5931766128574054e-08
1872,2.4189358072135292e-08
1873,2.454261860407314e-08
1874,4.182226476245887e-08
1875,3.318485752856759e-08
1876,2.7811667635546655e-08
1877,2.1646856751544874e-08
1878,2.8383716710322915e-08
1879,1.710611030603104e-08
1880,2.0537108014195837e-08
1881,1.673401861523871e-08
1882,2.994923420374107e-08
1883,4.1707636455612374e-08
1884,2.0465261485469455e-08
1885,1.8692343672910283e-08
1886,3.743009102663564e-08
1887,3.133883907935342e-08
1888,3.6775563927449184e-08
1889,1.3783300722991498e-08
1890,2.4251230357208442e-08
1891,3.6970476458009216e-08
1892,3.19694137829174e-08
1893,2.8328715373504565e-08
1894,1.6384001710889606e-08
1895,1.6852119699706236e-08
1896,2.889544248318998e-08
1897,2.9133568446582103e-08
1898,2.2067583316243145e-08
1899,2.9296165493519766e-08
1900,2.0245106924221545e-08
1901,2.2913829056392387e-08
1902,1.8659077838378835e-08
1903,2.5381035939631147e-08
1904,2.956043942958786e-08
1905,2.0643035725242953e-08
1906,1.4918134283448126e-08
1907,1.337139288182243e-08
1908,3.045061092166179e-08
1909,3.740668930163338e-08
1910,1.6566866989364826e-08
1911,1.5429085564733214e-08
1912,3.334029585744247e-08
1913,2.1211958411981868e-08
1914,1.7411533548283842e-08
1915,1.4136913861761968e-08
1916,2.0876177231343718e-08
1917,1.5352993543160665e-08
1918,1.2635013924011673e-08
1919,1.749491218561161e-08
1920,1.1358347151713133e-08
1921,2.4232791773215467e-08
1922,1.3280283539529592e-08
1923,2.7601466001669905e-08
1924,1.5469948877466777e-08
1925,8.798542339150117e-09
1926,2.3406890647947876e-08
1927,2.5643217327342427e-08
1928,1.1426041446327417e-08
1929,2.785101571589621e-08
1930,1.995684684175103e-08
1931,1.1405356659111021e-08
1932,1.6439305028370654e-08
1933,1.7205993074753678e-08
1934,1.7972370258689807e-08
1935,2.154291145473053e-08
1936,1.8187071404440758e-08
1937,1.2591118370153254e-08
1938,2.074434313215079e-08
1939,2.141167065872196e-08
1940,2.028626333583361e-08
1941,1.1806010391524069e-08
1942,9.102635090130207e-09
1943,1.4516175816936538e-08
1944,1.6065930807940276e-08
1945,6.535512131478072e-09
1946,2.5057987684817817e-08
1947,5.006765846360395e-08
1948,3.152847583010043e-08
1949,2.9451024730065e-08
1950,9.571825110299415e-09
1951,3.1984203729962246e-08
1952,2.319856839960721e-08
1953,2.2625037843226892e-08
1954,1.7590565448699635e-08
1955,2.3464020060259827e-08
1956,1.831439710997529e-08
1957,9.718541527092839e-09
1958,2.3989505493204888e-08
1959,2.2477168570844697e-08
1960,1.868625076895114e-08
1961,2.292892631317045e-08
1962,2.980719671086263e-08
1963,2.2631185814248056e-08
1964,2.068549243006146e-08
1965,2.5171399187229326e-08
1966,2.3818021332999706e-08
1967,3.007504645324843e-08
1968,1.4372530721118437e-08
1969,1.8167030546578644e-08
1970,1.609553734738256e-08
1971,2.003974941544584e-08
1972,2.5137719461554298e-08
1973,1.929621262775072e-08
1974,1.012602890426706e-08
1975,1.4278700888326057e-08
1976,1.9425991482080462e-08
1977,2.1744092748576804e-08
1978,1.7227714366185864e-08
1979,1.287434159280565e-08
1980,1.4212877097463661e-08
1981,1.8344094243616382e-08
1982,1.9864007327896616e-08
1983,2.084054351314535e-08
1984,1.3917620833581168e-08
1985,1.2632671797518924e-08
1986,1.7384007122700496e-08
1987,1.588812459374367e-08
1988,1.4991384134077634e-08
1989,9.878619700032232e-09
1990,9.80757164370516e-09
1991,1.0550637696837839e-08
1992,1.322386644631024e-08
1993,1.1632335983335906e-08
1994,1.5824779708850656e-08
1995,1.138714633697191e-08
1996,1.5480466686312866e-08
1997,8.630809844589749e-09
1998,1.4781200263769279e-08
1999,7.312321859131998e-09
2000,1.4579503826439577e-08
2001,1.1391150245287918e-08
2002,1.3143664823189738e-08
2003,5.8336921959778465e-09
2004,1.0571499231559756e-08
2005,9.908249332113428e-09
2006,1.8118715416903797e-08
2007,7.988958827809256e-09
2008,8.089135583588813e-09
2009,7.629108011997232e-09
2010,1.2281861749841028e-08
2011,1.3001504761689375e-08
2012,1.7021264397953928e-08
2013,1.840822605458925e-08
2014,1.7323561252169384e-08
2015,1.9505863591007255e-08
2016,2.423467826417891e-08
2017,1.3081178806828575e-08
2018,1.9102854409425163e-08
2019,1.632632162795744e-08
