year,avaient_VERB omis_VERB,avaient_VERB commis_VERB
1800,1.2576657937302116e-08,1.8864986373046122e-07
1801,1.1905912700171939e-08,1.5239568540437176e-07
1802,6.713520406265161e-09,5.594600338554301e-08
1803,2.145373123596528e-08,2.2428901047533145e-07
1804,2.4718509461507665e-09,2.397695482159179e-07
1805,1.1371510844071508e-08,1.9615856672317022e-07
1806,3.458002950651462e-08,2.0748018414451508e-07
1807,1.4234775136401367e-08,2.4768510797912313e-07
1808,4.985362878073829e-08,2.01680592226694e-07
1809,3.162642769893864e-08,2.936739633696561e-07
1810,4.680253518074551e-09,1.8018975822542416e-07
1811,2.0056614147279106e-08,2.933279859007598e-07
1812,4.267533171287141e-08,2.74722452786591e-07
1813,8.052076339026826e-08,2.9620139230246423e-07
1814,1.8880061958270744e-08,4.814415888176882e-07
1815,5.1247248222807684e-08,4.801057684744592e-07
1816,2.3176038865813098e-08,3.3605255111979204e-07
1817,1.0898113522728181e-08,4.5305014850782754e-07
1818,1.5497530370112145e-08,4.196254508315178e-07
1819,3.2088255608186955e-08,4.471653483051341e-07
1820,2.3732962262101864e-08,5.339916242519394e-07
1821,5.423818549843418e-08,3.7966731269989396e-07
1822,1.1028177482330648e-08,5.00278247272945e-07
1823,3.4589405117912975e-08,6.453394689742709e-07
1824,1.8526447931321854e-08,7.040050036266621e-07
1825,3.874394849390228e-08,7.141214268813201e-07
1826,5.0205510859768765e-08,6.244860628612514e-07
1827,4.608636672287503e-08,6.369135689965333e-07
1828,4.953042775923677e-08,4.7604243036403204e-07
1829,3.086343269842473e-08,4.972442297912494e-07
1830,2.0873670791843324e-08,5.207980962040892e-07
1831,2.494592976631793e-08,5.410148560258676e-07
1832,2.841293600397421e-08,3.977810933974979e-07
1833,3.4750886612755494e-08,5.224216579335916e-07
1834,5.414027981487379e-08,5.46070054951997e-07
1835,2.4201881387853064e-08,5.967276592855342e-07
1836,5.309392392405243e-08,5.047283480053011e-07
1837,4.383471363667013e-08,5.635891398014792e-07
1838,3.3454458758797045e-08,6.015490043864702e-07
1839,5.5232654005976656e-08,5.942753773524601e-07
1840,7.579929217627068e-08,6.93659103490063e-07
1841,6.741576186186649e-08,4.918140348308953e-07
1842,4.628702754416736e-08,6.996720571805781e-07
1843,6.674809327478215e-08,4.991339892512769e-07
1844,5.1043620885593555e-08,7.13512974925834e-07
1845,8.314539456932835e-08,5.139389713804121e-07
1846,9.367202125076801e-08,6.445806093324791e-07
1847,5.3392913201832926e-08,5.932545832365577e-07
1848,3.459445352405055e-08,4.891494995717949e-07
1849,3.77073661184113e-08,4.876819730270654e-07
1850,4.1412874907109654e-08,5.30899512796168e-07
1851,4.1921353499674296e-08,5.843191388521518e-07
1852,5.729280161403949e-08,4.6289977717606234e-07
1853,3.1651239851271384e-08,4.926843644170731e-07
1854,6.702406807335137e-08,4.5254236624714395e-07
1855,3.555647865027822e-08,4.585193664752296e-07
1856,4.866558001026533e-08,4.576635319608613e-07
1857,3.7099468386259105e-08,4.202979368983506e-07
1858,5.138359782108637e-08,4.663673109916999e-07
1859,5.397703617404659e-08,4.435283074144536e-07
1860,4.165237399433863e-08,4.723653717064735e-07
1861,4.480165571862926e-08,4.1736279854376335e-07
1862,6.099281790739042e-08,4.5225041844787484e-07
1863,5.5939754162182e-08,4.405255538131314e-07
1864,5.993410212568051e-08,3.6679668369288265e-07
1865,3.530133341200781e-08,4.2691078760981327e-07
1866,5.2548617901493344e-08,4.2087552287739527e-07
1867,5.192508467644075e-08,3.595933435462939e-07
1868,4.445886503390284e-08,4.228532191064005e-07
1869,3.564969119906891e-08,4.146107812630362e-07
1870,2.1789386295267832e-08,5.177845991966024e-07
1871,4.460894587055009e-08,4.1953649088100065e-07
1872,2.4189358072135292e-08,4.456888973436435e-07
1873,2.0352414864532875e-08,3.753224859792681e-07
1874,2.8080663128093875e-08,4.5466774167834956e-07
1875,2.7463329388410784e-08,3.4672453352868615e-07
1876,2.9625471853478302e-08,3.736437008683424e-07
1877,2.72131899237138e-08,3.5315298418936436e-07
1878,3.01954443671093e-08,4.0643067222845275e-07
1879,4.7652736867576095e-08,3.7633444094353763e-07
1880,3.8507078414795615e-08,3.8314541939143965e-07
1881,4.9504802035471585e-08,3.521116411775438e-07
1882,5.457415852561098e-08,3.9666096540713625e-07
1883,4.2339571848515334e-08,3.5135525422447245e-07
1884,3.498899303622238e-08,2.997170440721675e-07
1885,5.607703101873085e-08,3.28727423948294e-07
1886,3.355801325710672e-08,3.413882438962901e-07
1887,2.285123557044244e-08,2.8923136596858967e-07
