year,pouvant_VERB ouvrir_VERB,pouvant_VERB couvrir_VERB
1800,2.829747991484055e-08,1.5720821977538435e-08
1801,1.1905912700171939e-08,3.5717739876872656e-08
1802,8.951360541686881e-09,1.5664880947952042e-08
1803,1.1702034896643454e-08,5.851017448321727e-09
1804,1.2359254952798437e-08,2.2246657849223084e-08
1805,3.695740957709859e-08,4.264316544322355e-08
1806,0.0,1.729001475325731e-08
1807,3.701041606518629e-08,2.8469551160981155e-09
1808,9.064295980465431e-09,0.0
1809,1.129515236897305e-08,0.0
1810,2.8081521108447305e-08,1.4040760554223652e-08
1811,2.2563691359778204e-08,1.7549536934780008e-08
1812,0.0,1.3336041604361526e-08
1813,5.751483289628823e-09,0.0
1814,2.2026739543434815e-08,3.1466771410748606e-09
1815,2.697223555614414e-09,8.091670444798638e-09
1816,1.3905623319487859e-08,3.7081662185300956e-08
1817,1.8682481339737933e-08,4.670620334934483e-09
1818,9.536941902865692e-09,7.152706427149269e-09
1819,1.035105001712111e-09,4.140420006848444e-09
1820,1.542642635854463e-08,7.119888678630559e-09
1821,8.875339574387908e-09,1.577838126820552e-08
1822,1.0025615893027862e-09,2.105379337535851e-08
1823,2.174191138237802e-08,5.929612356680991e-09
1824,1.1789557774477544e-08,5.052667617633233e-09
1825,4.4027217427355936e-09,1.6730341556581152e-08
1826,9.688783109140786e-09,1.2331177856594877e-08
1827,8.295545583791863e-09,8.295545583791863e-09
1828,1.7427371545863934e-08,1.4675682002973645e-08
1829,1.457439946506156e-08,1.0287811491593857e-08
1830,1.6698937344017395e-08,0.0
1831,4.677361609140007e-09,1.4032085715598441e-08
1832,1.8941957335982806e-08,8.117981842303834e-09
1833,1.1583628278799551e-08,6.950177322551099e-09
1834,1.7735608537350345e-08,9.334531370086552e-09
1835,1.285724948729694e-08,1.4369867074037757e-08
1836,2.2178475944656384e-08,9.409050427677812e-09
1837,1.87863058442872e-08,9.045257876039159e-09
1838,2.2723781967215473e-08,1.64116205070286e-08
1839,1.3982949909063791e-08,4.194885327990505e-09
1840,1.6561189752906103e-08,5.732719632334238e-09
1841,8.346713542550788e-09,4.494383976094696e-09
1842,1.6770663080478698e-08,1.0733224087289273e-08
1843,1.3585895075607368e-08,1.0041748765843295e-08
1844,1.5916826967554698e-08,9.330554107123135e-09
1845,1.5066614622583074e-08,3.906159662392383e-08
1846,1.4050803187615202e-08,1.8148954339380907e-08
1847,9.707802561820245e-09,1.4561703842730367e-08
1848,2.011305433313737e-08,6.43617736884039e-09
1849,6.703531951757213e-09,6.703531951757213e-09
1850,3.4623880651452055e-08,1.425689166723032e-08
1851,3.1602251482354404e-08,7.094382858952031e-09
1852,1.5625309046640723e-08,1.8880582430824688e-08
1853,1.1943863675867306e-08,1.6124216628554677e-08
1854,3.3252252507054436e-08,1.2989160858012383e-08
1855,2.0697054736729115e-08,2.0697054736729115e-08
1856,3.6240324075009767e-09,1.8120163147727908e-08
1857,1.0739319655783675e-08,7.810414537345878e-09
1858,1.663849857891364e-08,1.0766087576996597e-08
1859,2.189634606963864e-08,8.147477359443656e-09
1860,9.612086238064421e-09,1.7393299245327398e-08
1861,1.650587222457034e-08,1.744906619194353e-08
1862,1.1746764450037972e-08,1.400575744270327e-08
1863,1.748117206545885e-08,4.994620717013731e-09
1864,2.1576274988888144e-08,1.102787461348953e-08
1865,2.871175119878444e-08,1.553258677233771e-08
1866,6.811858188626729e-09,2.6760870852626795e-08
1867,7.76449837758264e-09,2.135237053835226e-08
1868,2.6181332657415624e-08,1.679557115608077e-08
1869,1.8069020057964735e-08,1.6115613732381462e-08
1870,2.2362790730312554e-08,1.77755516972411e-08
1871,2.3366590440332402e-08,1.0621177271019633e-09
1872,1.4513614310374123e-08,1.5723081503438152e-08
