year,était_VERB assez_ADV,était_VERB cassée_ADJ,etait_VERB assez_ADV
1800,2.4430157736787805e-06,2.829747991484055e-08,1.8864987794131594e-08
1801,2.4454745926050236e-06,7.143547975374531e-09,9.524730337773235e-09
1802,1.329276983597083e-06,4.0281122437590966e-08,2.2378401354217203e-09
1803,1.4666551351183443e-06,0.0,5.851017448321727e-09
1804,3.245540256102686e-06,0.0,7.4155526164076946e-09
1805,1.7796414795157034e-06,2.842877711017877e-09,2.842877711017877e-09
1806,2.0142867924732855e-06,1.152667650217154e-08,2.881669125542885e-09
1807,2.4540752292523393e-06,2.8469550272802735e-08,1.7081731584767113e-08
1808,1.665564354880189e-06,1.5862518409903714e-08,0.0
1809,2.3742411485727644e-06,9.036122072814123e-09,2.259030518203531e-09
1810,2.085052983602509e-06,2.574139479349924e-08,2.3401266702194334e-08
1811,2.900687832152471e-06,1.0028307073639553e-08,1.2535384286138651e-08
1812,3.069956619583536e-06,5.3344164641089264e-09,2.1337665856435706e-08
1813,3.715458205988398e-06,6.039057609541487e-08,2.300593315851529e-08
1814,2.7942492124566343e-06,0.0,1.5733386149463513e-08
1815,2.443684479658259e-06,2.697223555614414e-09,1.3486118000116676e-08
1816,3.219151722078095e-06,1.1588019432906549e-08,1.1588019432906549e-08
1817,3.6368562632560497e-06,4.670620334934483e-09,9.341240669868967e-09
1818,3.4952893201989355e-06,8.344824387052086e-09,4.768470951432846e-09
1819,3.4344784580753185e-06,1.1386155129855524e-08,9.315945015409e-09
1820,3.976457719545579e-06,2.3732962262101864e-09,1.542642635854463e-08
1821,4.4948665163246915e-06,2.5639868894700157e-08,1.1833785507064931e-08
1822,4.26289170718519e-06,2.7069162911175226e-08,1.1028177482330648e-08
1823,4.132939466217067e-06,8.30145694408202e-08,9.882686669016039e-09
1824,3.973080765717896e-06,4.884245186076441e-08,1.6842225392110777e-08
1825,3.7114941733307205e-06,1.584979791857677e-08,5.283265824829186e-09
1826,3.7927179619146045e-06,8.80798456392995e-09,1.2331177856594877e-08
1827,4.3468658077472355e-06,1.474763688946723e-08,2.5808365222701468e-08
1828,4.337581231084187e-06,1.9261833017480967e-08,1.2841221419535032e-08
1829,5.059031082055299e-06,1.628903412154159e-08,1.3717081692732336e-08
1830,4.973152499587741e-06,3.026682549034376e-08,2.0873671680021744e-09
1831,4.593169251165818e-06,1.870944643656003e-08,1.091384405071949e-08
1832,4.333649030741071e-06,4.8707889277466165e-08,1.488296597074168e-08
1833,4.692527909355704e-06,1.853380560135065e-08,8.108539617524002e-09
1834,4.58698832517257e-06,3.453776287187793e-08,3.733812370398937e-09
1835,4.905418791167904e-06,2.117664621437143e-08,1.1344631900556124e-08
1836,4.3167378862563055e-06,2.2178475944656384e-08,2.688300027031687e-09
1837,4.8865267672226764e-06,3.1310509740478665e-08,9.045257876039159e-09
1838,4.362966137705371e-06,2.9035945203759184e-08,6.312161904276081e-09
1839,4.649331003747648e-06,1.3283802502428443e-08,4.194885327990505e-09
1840,4.888735929853283e-06,2.6115722917552375e-08,8.280594876453051e-09
1841,4.624078883352922e-06,3.017657945747487e-08,9.630822361827995e-09
1842,4.636752692022128e-06,2.2137275124123335e-08,1.341653010911159e-08
1843,4.671185251936549e-06,3.9576303123567413e-08,8.860366662588604e-09
1844,4.677900960814441e-06,1.975882035765153e-08,6.586273748609983e-09
1845,4.6918557927710935e-06,2.0088821273134272e-08,6.696273757711424e-09
