year,voulut_VERB ouvrir_VERB,voulut_VERB couvrir_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,3.5717739876872656e-08,3.5717739876872656e-08
1802,1.5664880947952042e-08,7.161088433349505e-08
1803,2.7304748684287006e-08,3.900678446910888e-09
1804,2.2246657849223084e-08,0.0
1805,1.3077237781544682e-07,4.264316544322355e-08
1806,6.916005901302924e-08,8.645007376628655e-09
1807,4.839823830593559e-08,7.402083213037258e-08
1808,4.5321479902327155e-09,1.5862518409903714e-08
1809,2.25903047379461e-08,1.8072244145628247e-08
1810,5.8503168531842675e-08,2.106114038724627e-08
1811,7.270522672797597e-08,2.5070768572277302e-08
1812,2.6672083208723052e-08,2.1337665856435706e-08
1813,4.026038169513413e-08,2.8757416448144113e-09
1814,6.608021863030444e-08,2.8320094713762956e-08
1815,2.697223555614414e-09,8.091670444798638e-09
1816,9.270415546325239e-09,0.0
1817,1.71256075987003e-08,6.227493631882908e-09
1818,2.384235386898581e-08,9.536941902865692e-09
1819,4.34744116262209e-08,8.073818946741085e-08
1820,3.441279616822612e-08,4.153268307049984e-08
1821,1.7750679148775816e-08,3.648750634965836e-08
1822,3.308453244699194e-08,3.8097340393505874e-08
1823,4.842516432290722e-08,1.087095569118901e-08
1824,3.8737120178211626e-08,4.29476756380609e-08
1825,3.522177216552791e-09,4.9310479255382234e-08
1826,3.170874407487645e-08,1.8496766784892316e-08
1827,4.3321183085254233e-08,3.410390903013649e-08
1828,2.109629271274116e-08,1.559291185060374e-08
1829,6.77280880267972e-08,1.7146351893870815e-08
1830,5.4271545479878114e-08,1.2524203008013046e-08
1831,2.182768810143898e-08,4.677361609140007e-09
1832,2.1647950987357945e-08,3.3824925083081325e-08
1833,2.4325620628928846e-08,2.6642345218874652e-08
1834,2.8003592333902816e-08,1.4001796166951408e-08
1835,7.184933537018878e-08,1.9664028627630614e-08
1836,7.325617445985699e-08,2.5538851033957144e-08
1837,4.383471363667013e-08,1.6003149028165353e-08
1838,4.7341213615936795e-08,2.209256599883247e-08
1839,3.985140750728533e-08,1.7478688718597368e-08
1840,6.17859825524647e-08,1.0191501864653674e-08
1841,2.3756030032018316e-08,1.926164472365599e-08
1842,3.7566284305512454e-08,8.720745015011744e-09
1843,2.4809025944705354e-08,1.594865928211675e-08
1844,3.567564732520623e-08,9.879410178825765e-09
1845,6.249855033502172e-08,1.2834524554250493e-08
1846,4.2152407786488766e-08,1.7563504428608212e-08
1847,4.6921044827286096e-08,1.4022381478184798e-08
1848,3.378993085334514e-08,1.689496542667257e-08
1849,3.6869426622843093e-08,3.5193544078993e-08
1850,3.2587180953669304e-08,1.1541293254424545e-08
1851,6.191461210391935e-08,1.9348316726564008e-08
1852,6.054807499822346e-08,8.463708844885787e-09
1853,4.837264810930719e-08,1.6124216628554677e-08
1854,5.195664343204953e-08,1.0391328686409906e-08
1855,5.943769565419643e-08,1.1144567935161831e-08
1856,4.193523395201737e-08,1.5531567143511893e-08
1857,2.880090299584026e-08,3.270611159678083e-08
1858,3.572383633354548e-08,1.3702292633865909e-08
1859,3.920973412618878e-08,1.629495471888731e-08
1860,6.774232019779447e-08,1.1900677776566226e-08
1861,6.932466334319543e-08,2.452301117727984e-08
1862,3.885468302655681e-08,1.8071945717679228e-08
1863,4.545104914654985e-08,1.897955925755923e-08
1864,6.185199197261682e-08,9.109982990196386e-09
1865,2.165148416111151e-08,1.3649848362717876e-08
1866,3.113992264047738e-08,8.75810357570117e-09
1867,5.82337378318698e-08,1.3102591012170706e-08
1868,2.865126980111654e-08,1.1361710683388537e-08
1869,4.2974967584541446e-08,7.325278605918584e-09
1870,3.841812556970581e-08,6.880858549607183e-09
1871,3.186353225714811e-08,8.496941816815706e-09
1872,3.265563108811875e-08,7.861540751719076e-09
1873,3.7711828326791874e-08,2.2746817762708815e-08
1874,5.018671700440791e-08,4.182226565063729e-09
1875,3.032409523484603e-08,9.7265964171811e-09
1876,3.627608791134662e-08,7.255217759905008e-09
1877,3.3398006138440905e-08,7.421779191219002e-09
1878,4.287753085918666e-08,2.294853729267743e-08
1879,2.443730195977878e-08,4.27652757650776e-09
1880,2.631317030932223e-08,2.1178893305773272e-08
1881,3.2770785196589713e-08,6.972507571312292e-10
1882,4.19289278852375e-08,1.7969540522244642e-08
1883,3.222862687835004e-08,8.21514056781325e-09
1884,3.762967182296961e-08,7.922036360241691e-09
1885,3.287274097374393e-08,7.090199094506033e-09
1886,5.3563748991791726e-08,9.680196200179125e-09
1887,2.8727267675776602e-08,1.1752064210668323e-08
1888,3.61415040117663e-08,6.340614699951175e-09
1889,1.8795409673089125e-08,2.0048437576747347e-08
1890,2.5562107097698572e-08,7.209825181320184e-09
1891,1.784781566982474e-08,0.0
1892,3.0715710863660206e-08,3.761107425503951e-09
1893,4.434059874824925e-08,7.390100087434348e-09
1894,3.591877373310126e-08,1.3863386882917439e-08
1895,3.611168608586013e-08,3.0093072478365457e-09
1896,2.5357223876198987e-08,4.1279202278587945e-09
1897,2.7385553380554484e-08,3.4960281336537946e-09
1898,2.1501747937691107e-08,5.092519295146758e-09
1899,1.6029977345510815e-08,2.2110313580014918e-09
1900,4.4123950715402316e-08,2.595526460424935e-09
1901,3.856229824350521e-08,3.353243460679778e-09
