year,veulent_VERB ouvrir_VERB,veulent_VERB couvrir_VERB
1800,1.5720821977538435e-08,3.144164439916608e-08
1801,3.095537337571841e-08,4.7623651688866175e-09
1802,1.1189200677108602e-08,1.5664880947952042e-08
1803,0.0,3.90067853572873e-08
1804,4.943701892301533e-09,1.730295728918918e-08
1805,1.9900143755080535e-08,1.7057265822018053e-08
1806,8.645007376628655e-09,8.645007376628655e-09
1807,8.540865792383556e-09,8.540865792383556e-09
1808,4.5321479902327155e-09,0.0
1809,1.129515236897305e-08,9.036122294858728e-09
1810,0.0,4.680253518074551e-09
1811,2.757784400841956e-08,5.0141535368197765e-09
1812,2.400487453257938e-08,2.1337665856435706e-08
1813,0.0,1.4378708002027452e-08
1814,3.1466771410748606e-09,1.5733386149463513e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,2.0239355080775567e-08,1.0898113522728181e-08
1818,9.536941902865692e-09,1.0729059418679299e-08
1819,3.001804671498576e-08,5.4860564091541164e-08
1820,4.6279275522920216e-08,2.0173018810965004e-08
1821,8.875339574387908e-09,2.6626018723163725e-08
1822,4.010246357211145e-09,1.2030739071633434e-08
1823,1.3835761869529506e-08,6.917880934764753e-09
1824,1.1789557774477544e-08,7.57900142644985e-09
1825,1.937197424695114e-08,1.0566531649658373e-08
1826,2.290075862276808e-08,8.80798456392995e-09
1827,5.530363722527909e-09,1.2904182056239222e-08
1828,5.503380862137419e-09,2.2013523448549677e-08
1829,1.0287811491593857e-08,9.430493719264632e-09
1830,1.0436835395921662e-08,2.2961039292113128e-08
1831,1.091384405071949e-08,7.795603274018958e-09
1832,1.488296597074168e-08,1.8941957335982806e-08
1833,3.1275796175123105e-08,4.6334514003376626e-09
1834,8.401078055442213e-09,5.600718555598405e-09
1835,2.4958190181223472e-08,2.4201881387853064e-08
1836,4.032449929525228e-09,2.5538851033957144e-08
1837,1.8090515752078318e-08,2.7831563720326358e-09
1838,5.680945491803868e-09,1.4517972601879592e-08
1839,1.3982950353153e-09,1.3982949909063791e-08
1840,1.52872523528913e-08,1.9109065441114126e-09
1841,2.247191943638427e-08,1.1556987367100646e-08
1842,2.3478927246856074e-08,1.542900918138912e-08
