year,eurent_VERB ouvert_VERB,eurent_VERB couvert_VERB
1800,9.432493897065797e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,6.713520406265161e-09,0.0
1803,2.7304748684287006e-08,0.0
1804,1.9774807569206132e-08,2.4718509461507665e-09
1805,5.685755422035754e-09,0.0
1806,8.645007376628655e-09,2.881669125542885e-09
1807,2.2775640928784924e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,2.25903047379461e-08,0.0
1810,7.020380277111826e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,1.600324850414836e-08,0.0
1813,2.8757416448144113e-09,2.5881675469463516e-08
1814,0.0,0.0
1815,6.74305908887618e-08,0.0
1816,4.6352077731626196e-08,0.0
1817,4.826307531402563e-08,0.0
1818,4.2916237674717195e-08,0.0
1819,6.83169290027763e-08,0.0
1820,2.8479554714522237e-08,0.0
1821,3.550135829755163e-08,0.0
1822,2.4061478143266868e-08,0.0
1823,2.4706716672540097e-08,0.0
1824,3.03160057057994e-08,0.0
1825,2.1133063299316746e-08,0.0
1826,4.1397527184017235e-08,0.0
1827,1.935627302884768e-08,0.0
1828,1.0089530988466322e-08,2.7516904310687096e-09
1829,6.001223074036943e-09,0.0
1830,6.262101504006523e-09,0.0
1831,1.7150327380477393e-08,4.677361609140007e-09
1832,1.7588959622116818e-08,6.764984572527055e-09
1833,5.09679658478035e-08,0.0
1834,2.240287422239362e-08,6.534171426153534e-09
1835,2.949604294144592e-08,0.0
1836,2.083432448785061e-08,0.0
1837,1.530736071231331e-08,0.0
1838,3.787297231383491e-08,0.0
1839,1.1885507689157748e-08,6.9914751765765e-10
1840,4.58617570586739e-08,1.9109065441114126e-09
1841,2.5682194149112547e-08,0.0
1842,3.219967226186782e-08,6.708265054555795e-10
1843,2.539971788451112e-08,0.0
1844,3.896878553177885e-08,0.0
1845,1.8414752389617206e-08,0.0
1846,2.0490753982471688e-08,1.7563503984519002e-09
1847,2.1033571329098777e-08,4.314578916364553e-09
1848,2.654923214606697e-08,8.045221711050488e-10
1849,3.9383248662261394e-08,8.379414939696517e-10
1850,1.8330290174617403e-08,0.0
1851,2.7087642351375507e-08,4.514607354622058e-09
1852,3.1250618093281446e-08,1.9531636308300904e-09
1853,1.4332636411040767e-08,8.957897534855874e-09
1854,2.286092382064453e-08,5.195664454227256e-10
1855,1.4328730202350926e-08,0.0
1856,1.501384794266869e-08,2.0708756931497874e-09
1857,2.3431244500216053e-08,0.0
1858,1.8106600663259087e-08,0.0
1859,2.9025388315062628e-08,2.036869339860914e-09
1860,1.830873586072812e-08,4.577183909670879e-10
1861,2.5937801240161207e-08,1.4147891747029462e-09
1862,2.801151488540654e-08,4.517986262886353e-10
1863,2.1976331865403154e-08,7.991393324857654e-09
1864,1.8699438442126848e-08,1.9178911792039344e-09
1865,2.0710114512212385e-08,2.3534221238463715e-09
1866,2.919367680931373e-08,3.4059290943133647e-09
1867,3.008743121313273e-08,0.0
1868,1.3831646938911035e-08,4.93987406535723e-10
1869,1.6115613732381462e-08,2.441759683335931e-09
1870,1.834895613228582e-08,5.734048791339319e-10
1871,1.6993883633631413e-08,1.0621177271019633e-09
1872,1.6327815544059376e-08,0.0
