year,avait_VERB omis_VERB,avait_VERB commis_VERB
1800,3.458580977167003e-08,4.08741385626854e-07
1801,1.04772034603684e-07,5.238601943347021e-07
1802,4.699464284385613e-08,3.8043282302169246e-07
1803,7.411289004721766e-08,2.3209037181004533e-07
1804,1.4336735887354735e-07,6.476249723164074e-07
1805,1.02343598484822e-07,5.77104174226406e-07
1806,1.152667650217154e-07,4.178420169864694e-07
1807,3.7010417486271763e-07,8.88249985564471e-07
1808,2.5606635745134554e-07,6.662257305833919e-07
1809,1.8524050915402768e-07,8.832809044179157e-07
1810,2.971960952891095e-07,6.365144713527116e-07
1811,1.0279014617253779e-07,1.100606709769636e-06
1812,4.107500615191384e-07,9.548605248710373e-07
1813,1.9267469042461016e-07,9.259887860935123e-07
1814,9.44003133440674e-08,7.709359124419279e-07
1815,2.022917726662854e-07,1.0033671742348815e-06
1816,1.62232268507978e-07,8.482430189360457e-07
1817,2.4131537657012814e-07,7.862210509301804e-07
1818,1.776255373897584e-07,1.0800587233461556e-06
1819,1.2317750019974483e-07,9.812795269681374e-07
1820,1.2341141086835705e-07,9.49318518905784e-07
1821,2.2878653282987216e-07,1.0019272167482995e-06
1822,2.4261990461127425e-07,1.0175999705097638e-06
1823,1.630643282624078e-07,1.3341626754481695e-06
1824,1.8610658969464566e-07,1.1764294640670414e-06
1825,2.518356723157922e-07,1.4801950101173134e-06
1826,2.4310037360919523e-07,1.36171433950949e-06
1827,4.092469225724926e-07,1.3503305353879114e-06
1828,3.714781939834211e-07,1.3584177622760762e-06
1829,2.43478211814363e-07,1.366564220006694e-06
1830,3.1101771469366213e-07,1.343220787930477e-06
1831,3.1338325356955465e-07,1.4328318229672732e-06
1832,2.692463851872162e-07,1.3692329048353713e-06
1833,3.069661431709392e-07,1.413202653566259e-06
1834,3.220413304916292e-07,1.4393846186067094e-06
1835,1.9966552144978778e-07,1.5103486248335685e-06
1836,2.2917757291907037e-07,1.4691560181745444e-06
1837,2.0038726233906345e-07,1.386707708661561e-06
1838,2.0767012642863847e-07,1.4713649534314754e-06
1839,2.7686240855473443e-07,1.3297785699251108e-06
1840,2.592463204109663e-07,1.3828594092046842e-06
1841,2.6773687977765803e-07,1.395827212036238e-06
1842,2.314351377208368e-07,1.5019805914562312e-06
1843,2.5872270725812996e-07,1.2463582379496074e-06
1844,2.7497691235112143e-07,1.8062854678646545e-06
1845,2.617126995119179e-07,1.7365669009450357e-06
1846,2.974086612539395e-07,1.5971079392329557e-06
1847,3.257507046328101e-07,1.6276749192911666e-06
1848,3.0571843012694444e-07,1.3894098174205283e-06
1849,2.698171499559976e-07,1.3960104752186453e-06
1850,2.8106444460718194e-07,1.458955239286297e-06
1851,2.818404709614697e-07,1.5923664022921002e-06
1852,2.9427664571812784e-07,1.3392192386163515e-06
1853,2.5141832793451613e-07,1.328157622992876e-06
1854,2.9615287644446653e-07,1.3851641824658145e-06
1855,2.9082013952574925e-07,1.258805468751234e-06
1856,2.4384561925216985e-07,1.4718749525854946e-06
1857,2.1527455373870907e-07,1.4668935364170466e-06
1858,2.3636455637188192e-07,1.4269959365265095e-06
1859,2.1438049202515685e-07,1.3779421124127111e-06
1860,1.9681890250922152e-07,1.3690356581719243e-06
1861,2.2872424665365543e-07,1.5374041595350718e-06
1862,2.3990506292648206e-07,1.4891282944518025e-06
