year,fallait_VERB ouvrir_VERB,fallait_VERB couvrir_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,1.904946067554647e-08,2.6193008650921e-08
1802,1.3427040812530322e-08,6.713520406265161e-09
1803,9.751696339321825e-09,0.0
1804,9.887403784603066e-09,1.2359254952798437e-08
1805,1.421438877713399e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,1.7081731584767113e-08,1.1387820464392462e-08
1808,2.2660739062985158e-08,2.2660739951163578e-09
1809,2.259030518203531e-09,6.7770917766551975e-09
1810,1.6380887757350138e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,4.000812481308458e-08,5.3344164641089264e-09
1813,7.764502640839055e-08,0.0
1814,2.5173417128598885e-08,3.776012391654149e-08
1815,7.012781111370714e-08,5.3944472000466703e-08
1816,6.489290882427667e-08,3.9399267848239106e-08
1817,4.826307531402563e-08,1.401186100480345e-08
1818,6.675859509641668e-08,2.5034472272977837e-08
1819,4.34744116262209e-08,1.035105001712111e-09
1820,7.475883023744245e-08,2.4919611263385377e-08
1821,1.676452932031225e-08,3.8459806006585495e-08
1822,3.308453244699194e-08,4.110502516141423e-08
1823,3.5577674140085946e-08,1.581229902569703e-08
1824,5.136878655775945e-08,2.947389532437228e-08
1825,5.987701001686219e-08,2.289415235168235e-08
1826,2.7304752237000685e-08,1.2331177856594877e-08
1827,6.083400450052068e-08,9.217273166939322e-09
1828,3.8523666034961934e-08,3.0268594741755805e-08
1829,3.086343269842473e-08,1.800366966620004e-08
1830,4.5922078584226256e-08,6.262101504006523e-09
1831,7.795603096383275e-08,3.1182412207897414e-09
1832,8.929779937716376e-08,5.411987746839486e-09
1833,7.52935847003755e-08,2.20088942626262e-08
1834,5.880754372356023e-08,9.334531370086552e-09
1835,7.487457054367042e-08,1.2100940693926532e-08
1836,5.645430078971003e-08,1.3441500135158435e-09
1837,5.844628248041772e-08,4.0355768504696243e-08
1838,4.86036455527028e-08,1.64116205070286e-08
1839,6.571986688186371e-08,2.0974425751774106e-08
1840,7.707323135264232e-08,2.993753511759678e-08
1841,7.31942506604355e-08,3.2102743574569104e-08
1842,6.909512961783548e-08,2.6162233268678392e-08
1843,5.1390127708828004e-08,2.3036953678001737e-08
1844,8.78169785778482e-08,1.5916826967554698e-08
1845,5.8034370198356555e-08,1.0044410636567136e-08
1846,5.971591576781066e-08,3.571245699163228e-08
1847,9.438141290729618e-08,2.9662729161827883e-08
1848,7.160247150750365e-08,1.528592186161859e-08
1849,6.368355087715827e-08,1.4245005175439474e-08
1850,6.992665646521345e-08,6.1100964288129944e-09
1851,5.868989205737307e-08,1.6123596680017727e-08
1852,7.487127362537649e-08,5.859490670445666e-09
1853,4.658106789179328e-08,1.3735443005202796e-08
1854,5.143707682009335e-08,2.5978321716024766e-09
1855,5.3600064831016425e-08,2.7065379271107304e-08
1856,6.419714537742038e-08,9.836659486950339e-09
1857,3.612316845647001e-08,1.122747050885664e-08
1858,4.6489923022363655e-08,5.872411001917044e-09
1859,3.819129901216911e-08,2.8516170758052795e-08
1860,4.3025529805618135e-08,2.4259074749011234e-08
1861,5.659156343540417e-08,8.960331143725853e-09
1862,5.1956842384015545e-08,1.400575744270327e-08
1863,7.541877522498908e-08,1.0988165932701577e-08
1864,4.890622662401256e-08,4.315255264231155e-09
1865,4.283228349777346e-08,1.1296426905005319e-08
1866,4.0871150019938796e-08,2.968023871119385e-08
1867,7.327745521479301e-08,1.844068364675877e-08
1868,6.076044911651479e-08,3.112120694481746e-08
1869,4.737013625799591e-08,1.2697149998075474e-08
1870,7.0528798801206e-08,2.8670243068518175e-08
1871,5.947859449406678e-08,1.1683295220166201e-08
1872,4.233137573805834e-08,3.9912439575573444e-08
1873,4.908523720814628e-08,3.352162636360845e-08
1874,4.062734149101743e-08,3.0470506118263074e-08
1875,4.748867610260277e-08,6.865832347102696e-09
1876,2.8416270225761764e-08,1.4510435519810017e-08
1877,4.4530676035492434e-08,1.1132669008873108e-08
1878,2.2344627481629686e-08,6.6429977074733415e-09
1879,4.826366861720999e-08,2.871382953628654e-08
