year,pouvait_VERB ouvrir_VERB,pouvait_VERB couvrir_VERB
1800,5.345079756580162e-08,5.973912209356058e-08
1801,2.3811825400343878e-08,1.3096504858367553e-07
1802,6.489736392722989e-08,1.7902721083373763e-08
1803,3.90067853572873e-08,5.460949736857401e-08
1804,8.404293083685843e-08,9.887403784603066e-09
1805,7.391481915419718e-08,8.528632911009026e-09
1806,2.5935023018064385e-08,2.0171682990621775e-08
1807,2.8469550272802735e-08,1.0249038240317532e-07
1808,3.172503681980743e-08,2.2660739951163578e-09
1809,9.036122072814123e-09,3.840352036377226e-08
1810,8.424456154898508e-08,3.978215445954447e-08
1811,4.011322829455821e-08,4.262030373070047e-08
1812,4.800974906515876e-08,4.000812481308458e-08
1813,8.339650747757332e-08,6.039057609541487e-08
1814,6.608021863030444e-08,1.2586708564299443e-08
1815,1.8880564667256294e-08,2.4275012222574333e-08
1816,6.721051448721482e-08,1.8540831092650478e-08
1817,7.472992535895173e-08,3.42512151974006e-08
1818,8.344824209416402e-08,6.199012148044858e-08
1819,3.2088255608186955e-08,4.5544620519422097e-08
1820,6.645229433388522e-08,6.645229433388522e-08
1821,6.212737702071536e-08,2.7612166775270452e-08
1822,6.616906489398389e-08,6.416394171537831e-08
1823,5.731958552246397e-08,5.237824041159911e-08
1824,5.3895121254754486e-08,4.21055617039201e-08
1825,4.754939197937347e-08,4.3146670236637874e-08
1826,4.844391554570393e-08,4.315912249808207e-08
1827,9.125100319806734e-08,4.2399456390285195e-08
1828,9.264024214417077e-08,6.420610532131832e-08
1829,7.287199821348622e-08,6.944272712416932e-08
1830,1.033246732617954e-07,7.514521627172144e-08
1831,9.198811312671751e-08,6.236482619215167e-08
1832,1.3394669906574563e-07,6.22378593106987e-08
1833,5.21263281427764e-08,4.865124125785769e-08
1834,9.241185949804276e-08,6.907552574375586e-08
1835,1.0739584865859797e-07,6.126101226300307e-08
1836,9.409050250042128e-08,5.5782226837663984e-08
1837,1.1550098832913136e-07,7.236206300831327e-08
1838,1.04781889831429e-07,4.9234863297442644e-08
1839,9.857979677008188e-08,6.711816524784808e-08
1840,1.229349919640299e-07,1.05099864811109e-07
1841,1.1492782192590312e-07,6.035315891494974e-08
1842,6.574099842282521e-08,6.507016792056675e-08
1843,1.1104992836408201e-07,4.371114314949409e-08
1844,9.165897552065871e-08,6.147188713612195e-08
1845,1.2722919962016022e-07,7.14269177137794e-08
1846,1.0303922692855849e-07,5.3861413107370026e-08
1847,1.3483058580732177e-07,6.094342808182773e-08
1848,1.3274615184855065e-07,6.194820656446609e-08
1849,9.803915190786938e-08,6.871120206142223e-08
1850,1.2016522532576346e-07,6.313766220955586e-08
1851,9.158203084780325e-08,9.545169632474426e-08
1852,1.0937716155012822e-07,4.492276417522589e-08
1853,9.43565225952625e-08,6.688563303214323e-08
1854,1.0183502041627435e-07,6.702406807335137e-08
