year,faut_VERB ouvrir_VERB,faut_VERB couvrir_VERB
1800,4.08741385626854e-07,1.0061326349841693e-07
1801,2.3811826110886614e-07,1.4763331535050384e-07
1802,2.6854081625060644e-07,1.2308120744819462e-07
1803,3.296073316505499e-07,3.296073316505499e-07
1804,3.633620906384749e-07,2.1505103120489366e-07
1805,5.088751322546159e-07,1.6204403152642044e-07
1806,1.3255677799861587e-07,1.0662175498055149e-07
1807,1.1387820109121094e-07,6.832692633906845e-08
1808,2.2660739773527894e-07,7.251436784372345e-08
1809,2.643065784013743e-07,1.6716825257390155e-07
1810,1.825298880930859e-07,1.1466621430145096e-07
1811,1.6546707115594472e-07,1.7549537290051376e-07
1812,3.6274030890126596e-07,5.067695596494559e-08
1813,1.984261785992203e-07,7.189353823378042e-08
1814,2.7061423679697327e-07,7.237357380063258e-08
1815,3.2366682489737286e-07,1.2676950689183286e-07
1816,3.939926500606816e-07,9.733936678912869e-08
1817,1.665854512111764e-07,7.628679554727569e-08
1818,2.3007872584912548e-07,8.702459552978326e-08
1819,3.074261769597797e-07,1.0454560595007933e-07
1820,2.290230867174614e-07,7.475883023744245e-08
1821,2.790801261198794e-07,7.790576006527772e-08
1822,2.747018754689634e-07,8.321261191213125e-08
1823,1.6009953185402992e-07,8.103803139647425e-08
1824,3.0147583629513974e-07,9.010590673597108e-08
1825,2.280609692206781e-07,7.04435478837695e-08
1826,1.8056367423469055e-07,8.631824499616414e-08
1827,1.8250200639613468e-07,1.2812009231311094e-07
1828,2.641622813825961e-07,9.722639049414283e-08
1829,1.6374765721138829e-07,7.372931065674493e-08
1830,1.9099410053513566e-07,4.696576283436116e-08
1831,2.775234690943762e-07,8.419251429359065e-08
1832,2.3136247762067796e-07,6.494385473843067e-08
1833,2.583149125712225e-07,8.224376557564028e-08
1834,2.3429672069141816e-07,5.600718466780563e-08
1835,2.518508210869186e-07,5.7479468296151026e-08
1836,2.5471643994023907e-07,6.787957573806125e-08
1837,3.2354193990613567e-07,8.001574514082677e-08
1838,1.9062728995322686e-07,5.049729523420865e-08
1839,2.2232890728446364e-07,6.991475487438947e-08
1840,2.3058272802245483e-07,6.305991462340899e-08
1841,2.728733079493395e-07,6.548959419205858e-08
1842,2.6229315608361503e-07,6.641182181965632e-08
1843,2.4868094783414563e-07,5.3752891915337386e-08
1844,2.5466923148087517e-07,7.244901212288823e-08
1845,2.62270702933165e-07,5.5802278353667134e-08
1846,2.189583483414026e-07,7.259581735752363e-08
1847,1.9092011882548832e-07,7.5505127483666e-08
1848,2.4779282625786436e-07,6.275273278788518e-08
1849,2.270821397587497e-07,5.53041381579078e-08
1850,1.8805519630404888e-07,4.073397619208663e-08
1851,2.0444720405521366e-07,5.095056465620473e-08
1852,2.1029062224897643e-07,2.929745512858517e-08
1853,1.7975514765566913e-07,5.4344578614973216e-08
1854,1.662612589825585e-07,4.72805474771576e-08
1855,2.3138245808240754e-07,6.739810487488285e-08
1856,2.1795966631543706e-07,5.4360487666826884e-08
1857,2.29430924036933e-07,5.613735609699688e-08
1858,2.2608783467603644e-07,6.753273140702731e-08
1859,2.3220310652050102e-07,5.906921174414492e-08
1860,1.8400278634089773e-07,6.362285631666964e-08
1861,2.452301259836531e-07,5.8006353498285534e-08
1862,2.1053816112726054e-07,5.2860439581081664e-08
1863,2.1127246441210445e-07,9.09020982930997e-08
1864,2.3638008883608563e-07,6.13725177345259e-08
1865,1.99099517317336e-07,5.9306238142653456e-08
1866,1.8246048227865685e-07,6.179328693178832e-08
1867,2.329349513274792e-07,6.648351558169452e-08
1868,2.4551172828068957e-07,7.656804967837161e-08
1869,2.4808278453747334e-07,6.25090450512289e-08
1870,2.6032580535684247e-07,2.981705193860762e-08
1871,2.2410684152873728e-07,3.717412155879174e-08
1872,2.449172313845338e-07,6.168286148522384e-08
1873,2.4542617893530405e-07,6.405024777222934e-08
1874,2.21060531657713e-07,3.584765551067903e-08
1875,2.723446925756434e-07,5.89317288302027e-08
1876,2.2914396424766892e-07,4.292670396921494e-08
1877,2.1213918444118463e-07,6.432208721207644e-08
1878,1.6728274943034194e-07,4.3481438893877566e-08
1879,2.1138265537956613e-07,4.032154521382836e-08
1880,2.2013212230831414e-07,3.4656370218044685e-08
1881,1.9453295863058884e-07,4.6018548971460405e-08
1882,2.5490123789495556e-07,4.19289278852375e-08
1883,2.2244073250021756e-07,4.2339571848515334e-08
1884,2.0399244249347248e-07,4.621188054443337e-08
1885,2.4364501882701006e-07,3.8029249083137984e-08
1886,1.7747025538028538e-07,3.484870347847391e-08
1887,1.801983131599627e-07,3.3297514079322355e-08
1888,1.857800100424356e-07,2.7264643875923866e-08
1889,2.042434630311618e-07,3.069916942877171e-08
1890,2.0515228982276312e-07,4.391439034634459e-08
1891,2.4477003535139374e-07,5.354344878583106e-08
1892,2.1939793271030794e-07,3.19694137829174e-08
1893,1.9029506859169487e-07,5.049901474762919e-08
1894,2.0921110888139083e-07,3.3398158905129094e-08
1895,2.232905984556055e-07,2.5880042997528108e-08
1896,2.063960096165829e-07,4.1868904787634165e-08
