year,voulait_VERB analyser_VERB,voulait_VERB canaliser_VERB
1800,0.0,0.0
1801,1.4287095950749062e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,9.887403784603066e-09,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,2.039466551195801e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,4.011322829455821e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,4.72001566720337e-08,0.0
1815,0.0,0.0
1816,1.8540831092650478e-08,0.0
1817,0.0,0.0
1818,1.3113295338484932e-08,0.0
1819,2.070210003424222e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,2.9584463767662328e-09,0.0
1822,5.012807946513931e-09,0.0
1823,8.894418535021487e-09,0.0
1824,0.0,0.0
1825,7.924898959288385e-09,0.0
1826,7.0463874735082754e-09,0.0
1827,4.608636583469661e-09,0.0
1828,1.8344602503717056e-09,0.0
1829,3.429270423183084e-09,0.0
1830,8.349468672008697e-09,0.0
1831,1.091384405071949e-08,0.0
1832,1.2176972319366541e-08,1.3529969367098715e-09
1833,1.1583628500844156e-09,0.0
1834,6.534171426153534e-09,0.0
1835,2.2689263801112247e-09,7.563087933704082e-10
1836,1.68018754465038e-08,0.0
1837,5.5663127440652715e-09,0.0
1838,6.943378316748294e-09,0.0
1839,4.194885327990505e-09,0.0
1840,6.369688665408546e-10,0.0
1841,2.0545755319290038e-08,6.420548537278137e-10
1842,1.609983613093391e-08,6.708265054555795e-10
1843,5.31621990873532e-09,0.0
1844,7.1351298203126134e-09,0.0
1845,4.464182357111213e-09,3.348136878855712e-09
1846,1.7563503984519002e-09,2.3418005312692003e-09
1847,7.550513103637968e-09,0.0
1848,3.218088684420195e-09,0.0
1849,1.0893239199560867e-08,0.0
1850,5.431196825611551e-09,0.0
1851,5.8044946626978344e-09,0.0
1852,3.906327261660181e-09,0.0
1853,4.180352064508952e-09,1.7915795513800958e-09
1854,4.1565315633818045e-09,1.0391328908454511e-09
1855,2.2819829581521844e-08,4.776243400783642e-09
1856,1.5531567143511893e-09,0.0
1857,6.345961978126979e-09,0.0
1858,3.9149408159744326e-09,0.0
1859,1.323965115318515e-08,0.0
1860,4.57718396518203e-09,0.0
1861,3.772770984511453e-09,4.715963730639317e-10
1862,8.132375661773494e-09,0.0
1863,6.493007020935693e-09,0.0
1864,1.9178911792039344e-09,4.794727948009836e-10
1865,5.177528628053096e-09,0.0
1866,9.244664589402873e-09,4.865612912574591e-10
1867,7.279217228983725e-09,1.94112459439566e-09
1868,4.93987406535723e-10,0.0
1869,1.12320943657096e-08,4.883519144627257e-10
1870,5.160643912205387e-09,4.587239033071455e-09
1871,2.1242353653860846e-08,0.0
1872,3.628403577593531e-09,0.0
1873,5.9860045809045914e-09,0.0
1874,1.7923826867161097e-09,2.9873046258899194e-09
1875,2.2886108563824337e-09,1.1443054281912168e-09
1876,8.464420275799966e-09,0.0
1877,4.9478527941460015e-09,1.2369631985365004e-09
1878,6.039088673581716e-10,0.0
1879,1.3440515367335593e-08,1.221865053580018e-09
1880,6.417846254436199e-09,6.417846254436199e-10
1881,1.324776466304911e-08,6.972507571312292e-10
1882,1.9966155395678697e-09,1.3310770263785798e-09
1883,6.319338829996468e-09,6.319338941018771e-10
1884,4.621187876807653e-09,6.601696966868076e-10
1885,1.933690763067375e-09,0.0
1886,2.5813855497602844e-09,1.936039106809062e-09
1887,1.9586774424595887e-09,0.0
1888,6.974675947901687e-09,6.340614699951175e-10
1889,4.385595886446936e-09,0.0
1890,7.209825181320184e-09,0.0
1891,2.5496880162734215e-09,1.2748440081367107e-09
1892,9.402768341715273e-09,0.0
1893,2.463366621796581e-09,0.0
1894,6.301539290376468e-09,0.0
1895,6.018614495673091e-09,0.0
1896,1.7101383420481397e-08,0.0
1897,2.330685422435863e-09,1.1653427112179315e-09
1898,1.6975064687230201e-09,0.0
1899,8.844125432005967e-09,0.0
1900,1.557315876254961e-08,3.633737311048435e-09
1901,1.0059729937950124e-08,5.029864968975062e-09
1902,8.838511256215043e-09,0.0
1903,5.940242076007962e-09,5.400220270956879e-10
1904,2.1498500757388683e-09,1.0749250378694342e-09
1905,8.257214467732865e-09,0.0
1906,1.18316245689698e-08,0.0
1907,1.028568674676933e-09,1.028568674676933e-09
1908,8.349361202419914e-09,0.0
1909,1.320236009405562e-08,0.0
1910,8.01622590529405e-09,0.0
1911,6.384448969498635e-09,0.0
1912,1.2502610502451716e-08,0.0
1913,1.5378670781274195e-08,0.0
1914,1.0714789944188396e-08,1.3393487430235496e-09
1915,3.534228465440492e-09,3.534228465440492e-09
1916,8.789969641043172e-09,0.0
1917,1.7546279096336548e-08,0.0
1918,0.0,0.0
1919,7.366278698128781e-09,0.0
1920,4.543339038320937e-09,7.572231730534895e-10
1921,1.5145494858259667e-09,0.0
1922,3.6889677978990676e-09,3.6889677978990676e-09
1923,5.307974060286824e-09,0.0
1924,5.156649773851996e-09,0.0
