year,tout_DET or_NOUN,tout_DET cor_NOUN
1800,9.432493452976587e-09,0.0
1801,4.286128785224719e-08,0.0
1802,2.4616241489638924e-08,2.2378401354217203e-09
1803,4.290746380419819e-08,1.950339223455444e-09
1804,1.9774807569206132e-08,2.4718509461507665e-09
1805,2.842877755426798e-08,1.7057265822018053e-08
1806,4.3225035994964855e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,2.4926814390369145e-08,4.5321479902327155e-09
1809,8.35841271751292e-08,0.0
1810,1.8721014516387413e-08,0.0
1811,4.512738271955641e-08,0.0
1812,1.8670456736202823e-08,0.0
1813,5.7514832008109806e-08,0.0
1814,2.2026739543434815e-08,3.1466771410748606e-09
1815,2.6972236000233352e-08,0.0
1816,3.476405829871965e-08,6.952811659743929e-09
1817,3.89218364205135e-08,6.227493631882908e-09
1818,3.21871784780825e-08,3.5763532135746345e-09
1819,3.415846616672269e-08,1.035105001712111e-09
1820,2.0173017922786585e-08,8.306536791735653e-09
1821,1.6764530097468366e-08,9.86148829262845e-10
1822,2.4061478143266868e-08,2.0051231786055723e-09
1823,6.819054299000982e-08,9.882686891060644e-10
1824,1.7684337549894735e-08,2.5263338088166165e-09
1825,7.132408930132783e-08,3.522177216552791e-09
1826,2.6423953580767545e-08,0.0
1827,1.4747637222534138e-08,4.608636583469661e-09
1828,2.5682442839070063e-08,0.0
1829,9.430493719264632e-09,8.57317605795771e-10
1830,2.5048406016026092e-08,6.262101504006523e-09
1831,7.951515157422762e-08,0.0
1832,1.0823975493678972e-08,0.0
1833,4.865124036967927e-08,5.791814139399776e-09
1834,4.013848342587778e-08,6.534171426153534e-09
1835,2.7227116561334697e-08,7.563087933704082e-10
1836,2.0834324654384062e-08,2.016224964762614e-09
1837,4.3834712526447106e-08,0.0
1838,4.418513199766494e-08,6.312161904276081e-10
1839,1.1466019300687691e-07,0.0
1840,3.7581163736533085e-08,6.369688665408546e-10
1841,3.467096254539115e-08,1.2841097074556274e-09
1842,5.2324466537356784e-08,2.683306021822318e-09
1843,3.3078700778510495e-08,1.063243981747064e-08
1844,2.1405388628270572e-08,1.6465684371524958e-09
1845,3.459741143574391e-08,7.254296274794569e-09
1846,2.868705673009231e-08,0.0
1847,3.289866423727972e-08,2.1572894581822766e-09
1848,1.850401076808339e-08,8.045221711050488e-10
1849,1.5920888163378777e-08,1.1731181359664333e-08
1850,2.5798185809833285e-08,1.3577992064028876e-09
1851,2.257303544084266e-08,3.2247193804124663e-09
1852,3.711010876372711e-08,1.3021090872200602e-09
1853,3.1054045557254994e-08,5.971931837933653e-10
1854,3.1693553004252806e-08,1.0391328908454511e-09
1855,2.812676669350367e-08,5.306937111981824e-10
1856,2.174419438949471e-08,1.5531567143511893e-09
1857,2.4407545762272775e-08,0.0
1858,8.808616835942473e-09,4.404308473482388e-09
1859,1.9859475397510096e-08,2.5460866748261424e-09
1860,3.249800462068464e-08,4.577183909670879e-10
1861,4.527325092595902e-08,5.187560159214399e-09
1862,3.433669720775967e-08,2.2589932147099034e-09
1863,5.494082988555249e-08,4.994620828036034e-10
1864,1.726102105692462e-08,1.4384183844029508e-09
1865,4.0008176604988677e-08,2.3534221238463715e-09
1866,4.4763639239775443e-08,1.9462451650298362e-09
1867,2.7661025470138156e-08,0.0
1868,2.2723420589620957e-08,4.93987406535723e-10
1869,3.5161337064160136e-08,1.4650557433881772e-09
1870,2.5803219116937726e-08,4.013834153937523e-09
1871,4.991953339583688e-08,3.18635318130589e-09
1872,2.9027229508926666e-08,6.047339295989218e-10
1873,2.7535620672480832e-08,2.3944017879529156e-09
1874,3.405527093658378e-08,1.7923826867161097e-09
1875,2.059749715233039e-08,1.716458086775674e-09
1876,1.8138044177717916e-08,6.04601479992084e-10
1877,4.329371305900054e-08,0.0
1878,2.596808079680102e-08,1.2078177347163432e-09
1879,5.437299632760073e-08,6.10932526790009e-10
1880,1.8611755026043397e-08,2.5671385017744797e-09
1881,2.8587281097891548e-08,5.5780060570498335e-09
1882,5.257754431831074e-08,6.655385131892899e-10
1883,2.0853819060473455e-08,8.21514056781325e-09
1884,2.77271263726675e-08,1.3203393933736152e-09
