year,peuvent_VERB oser_VERB,peuvent_VERB causer_VERB
1800,3.144164484325529e-09,1.9493819536364754e-07
1801,1.4287095950749062e-08,2.8574191901498125e-07
1802,0.0,4.5875722776145267e-07
1803,1.950339223455444e-09,3.296073316505499e-07
1804,0.0,3.312280227873998e-07
1805,1.7057265822018053e-08,4.747605828470114e-07
1806,0.0,4.236053712247667e-07
1807,0.0,2.818485427269479e-07
1808,0.0,4.192236815470096e-07
1809,0.0,3.5466780445858603e-07
1810,0.0,4.376037168185576e-07
1811,0.0,2.782855119676242e-07
1812,0.0,3.8141078562148323e-07
1813,2.300593315851529e-08,4.744973693959764e-07
1814,1.5733386149463513e-08,3.555745138328348e-07
1815,2.697223555614414e-09,4.881974859927141e-07
1816,0.0,5.747657496613101e-07
1817,1.556873407970727e-09,3.5963776667813363e-07
1818,1.1921176934492905e-08,3.8624614262516843e-07
1819,1.2421260464634543e-08,4.802887474397721e-07
1820,1.6613073583471305e-08,3.0496855174533266e-07
1821,0.0,3.855842010125343e-07
1822,1.2030739071633434e-08,3.6493241850621416e-07
1823,9.882686891060644e-10,2.717738993851526e-07
1824,2.189489300974401e-08,5.810567813568923e-07
1825,1.4088708866211164e-08,3.1171268233265437e-07
1826,8.807984341885344e-10,2.7216671583119023e-07
1827,1.1982455028203276e-08,3.336652980578947e-07
1828,6.420610709767516e-09,3.723954193901591e-07
1829,1.3717081692732336e-08,3.13778230065509e-07
1830,1.2524203008013046e-08,3.61114530278428e-07
1831,3.1182412207897414e-09,2.7908259880859987e-07
1832,1.3529969367098715e-09,2.692463851872162e-07
1833,2.3167257001688313e-09,3.5793411257145635e-07
1834,7.467624740797874e-09,3.83649222612803e-07
1835,3.781543966852041e-09,4.0159997638511413e-07
1836,6.048674894287842e-09,2.809273667025991e-07
1837,1.3915781860163179e-09,3.3467455295976833e-07
1838,2.5248647617104325e-09,3.1497688723902684e-07
1839,2.0974426639952526e-09,2.733666804033419e-07
1840,4.458782232319436e-09,3.1338868211605586e-07
1841,1.4767261191650505e-08,2.5553782734277775e-07
1842,5.366612043644636e-09,2.790638404803758e-07
1843,2.953455480181333e-09,2.9239208743092604e-07
1844,5.488561161115513e-09,2.4808298348943936e-07
1845,5.022205318283568e-09,3.48206214084712e-07
1846,2.3418005312692003e-09,3.0619042945545516e-07
1847,4.853901280910122e-09,2.6588591595100297e-07
1848,8.045221711050488e-10,2.6307876055398083e-07
