year,puissent_VERB ouvrir_VERB,puissent_VERB couvrir_VERB
1800,1.2576657937302116e-08,3.458580977167003e-08
1801,0.0,1.904946067554647e-08
1802,2.2378401354217203e-08,2.2378401354217203e-09
1803,0.0,2.5354410126965377e-08
1804,4.943701892301533e-09,2.7190360185613827e-08
1805,1.421438877713399e-08,2.842877711017877e-09
1806,0.0,1.4408345627714425e-08
1807,1.1387820464392462e-08,4.839823830593559e-08
1808,9.064295980465431e-09,1.8128591960930862e-08
1809,1.581321384946932e-08,3.840352036377226e-08
1810,2.3401267590372754e-09,3.2761775514700275e-08
1811,1.0028307073639553e-08,5.0141535368197765e-09
1812,1.0668832928217853e-08,2.9339290108509886e-08
1813,2.8757416448144113e-09,0.0
1814,1.2586708564299443e-08,2.2026739543434815e-08
1815,8.091670444798638e-09,8.091670444798638e-09
1816,6.952811659743929e-09,3.9399267848239106e-08
1817,0.0,4.670620334934483e-09
1818,7.152706427149269e-09,1.1921176934492905e-08
1819,9.315945348475907e-09,2.070210003424222e-09
1820,1.1866481131050932e-09,3.5599443393152796e-09
1821,2.6626018723163725e-08,3.155676253641104e-08
1822,3.0076847679083585e-09,1.0025615893027862e-09
1823,1.9765373782121287e-09,1.581229902569703e-08
1824,1.6842225392110777e-09,2.189489300974401e-08
1825,1.6730341556581152e-08,1.8491430608946757e-08
1826,8.807984341885344e-10,9.688783109140786e-09
1827,3.133872894522938e-08,3.133872894522938e-08
1828,1.6510142586412258e-08,1.559291185060374e-08
1829,1.5431716349212365e-08,1.628903412154159e-08
1830,6.262101504006523e-09,3.1310507520032616e-09
1831,2.8064171431196883e-08,1.7150327380477393e-08
1832,2.570694235259907e-08,1.8941957335982806e-08
1833,1.2741991461950875e-08,1.2741991461950875e-08
1834,1.213489042584115e-08,9.334531370086552e-09
1835,2.7227116561334697e-08,6.806779140333674e-09
1836,6.72075017860152e-09,8.064899859050456e-09
1837,1.87863058442872e-08,1.8090515752078318e-08
1838,1.5780404538645598e-08,3.1560809521380406e-09
1839,4.894032734625853e-09,1.11863602825224e-08
1840,5.732719632334238e-09,1.2102408852854296e-08
1841,1.0272877659645019e-08,1.3483152372373297e-08
1842,2.683306021822318e-09,1.408735705865638e-08
1843,5.906910960362666e-09,5.906910960362666e-09
1844,1.4819115712327857e-08,1.975882035765153e-08
1845,1.1160455670733427e-08,1.0602432709561072e-08
1846,2.0490753982471688e-08,1.8148954339380907e-08
1847,1.5640349459999925e-08,1.7258315665458213e-08
1848,3.459445352405055e-08,1.287235473768078e-08
1849,2.011059585527164e-08,6.703531951757213e-09
1850,5.431196825611551e-09,8.82569484161877e-09
1851,7.094382858952031e-09,1.6123596680017727e-08
1852,7.812654523320361e-09,1.3021090872200602e-08
1853,5.971931837933653e-10,6.569124799682413e-09
1854,1.0391328686409906e-08,1.2469595134234623e-08
1855,1.0083180512765466e-08,2.9188154115900034e-08
1856,9.318940286107136e-09,1.5531567143511893e-08
1857,7.322263684272912e-09,8.78671624349181e-09
1858,1.0276719919488642e-08,3.034079298913639e-08
