year,devaient_VERB oser_VERB,devaient_VERB causer_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,3.095537337571841e-08,4.7623651688866175e-09
1802,0.0,4.475680270843441e-09
1803,0.0,7.801356893821776e-09
1804,0.0,4.943701892301533e-09
1805,0.0,2.55858996212055e-08
1806,0.0,5.76333825108577e-09
1807,0.0,3.9857372513552036e-08
1808,0.0,1.3596443970698147e-08
1809,0.0,9.036122072814123e-09
1810,4.680253518074551e-09,3.2761775514700275e-08
1811,2.5070767684098882e-09,2.5070768572277302e-08
1812,0.0,6.13457871168066e-08
1813,0.0,2.8757416004054903e-08
1814,0.0,2.2026739543434815e-08
1815,0.0,5.3944472000466703e-08
1816,0.0,2.7811246638975717e-08
1817,0.0,2.6466848268569265e-08
1818,0.0,6.079800130009971e-08
1819,0.0,2.173720581311045e-08
1820,0.0,4.865257352548724e-08
1821,0.0,1.7750679148775816e-08
1822,0.0,7.118187284049782e-08
1823,0.0,4.5460360809101985e-08
1824,0.0,8.168479581627253e-08
1825,0.0,2.3774695989686734e-08
1826,0.0,4.844391554570393e-08
1827,0.0,1.1982455028203276e-08
1828,0.0,5.503380862137419e-08
1829,0.0,4.2865881511033876e-08
1830,0.0,4.0703660886265425e-08
1831,0.0,1.091384405071949e-08
1832,0.0,5.276687886635045e-08
1833,0.0,6.950177322551099e-09
1834,0.0,5.600718466780563e-08
1835,0.0,4.61348363955949e-08
1836,0.0,3.8980349614803345e-08
1837,0.0,2.365682938432201e-08
1838,3.1560809521380406e-09,3.471689069556305e-08
1839,1.3982950353153e-09,2.3771015378315496e-08
1840,0.0,4.968357103507515e-08
1841,4.494383976094696e-09,3.980740004294603e-08
1842,6.037438549100216e-09,3.5553803456878086e-08
1843,4.7255288571079745e-09,5.079943576902224e-08
1844,0.0,5.4885614275690386e-08
1845,0.0,3.850357188639464e-08
1846,0.0,4.039605983052752e-08
1847,1.0786447290911383e-09,3.3977308078192436e-08
1848,8.84974404868899e-09,3.781254065415851e-08
1849,8.379414939696517e-10,2.9327951622803994e-08
1850,0.0,4.5486274302675156e-08
1851,0.0,3.611685883697646e-08
1852,0.0,2.7344290387532055e-08
1853,0.0,2.6276499198729653e-08
1854,3.117398783558656e-09,3.585008556683533e-08
1855,2.1227748447927297e-09,3.1841622671890946e-08
1856,0.0,3.002769588533738e-08
1857,0.0,4.4421732070532016e-08
1858,4.893676130990343e-09,1.761723389392955e-08
1859,0.0,3.513599722282379e-08
1860,4.577183909670879e-10,3.020941363729435e-08
1861,7.545541969022906e-09,5.4705179053371467e-08
1862,4.517986262886353e-10,2.0330938710344526e-08
1863,4.994620828036034e-10,4.345320192555846e-08
1864,0.0,4.650886253898534e-08
1865,0.0,3.6242703060906933e-08
1866,4.379051787850585e-09,3.503241430280468e-08
1867,0.0,4.367530337390235e-08
1868,1.975949626142892e-09,3.853101659956337e-08
1869,1.4650557433881772e-09,5.1765301378736694e-08
1870,5.734048791339319e-10,4.185855573268782e-08
1871,1.0621177271019633e-09,2.973929724703339e-08
1872,3.628403577593531e-09,6.107812566824578e-08
1873,5.986004469882289e-10,3.23244258026989e-08
1874,0.0,4.301718448118663e-08
1875,0.0,3.776207790906483e-08
1876,6.04601479992084e-10,3.3857681103199866e-08
1877,6.184815992682502e-10,2.5976227391311113e-08
1878,0.0,3.140326043649111e-08
1879,0.0,5.498392852132383e-08
1880,0.0,5.262634061864446e-08
1881,6.972507571312292e-10,3.2770785196589713e-08
1882,6.655385131892899e-10,3.5939081044489285e-08
1883,0.0,1.0110942305630033e-08
1884,0.0,4.093052297093891e-08
1885,0.0,2.1915161241281567e-08
1886,0.0,2.710454793941608e-08
1887,0.0,1.3057849024278312e-08
1888,0.0,3.61415040117663e-08
1889,0.0,3.633779144252003e-08
1890,0.0,2.6217545467943637e-08
1891,0.0,3.314594465564369e-08
1892,3.761107425503951e-09,1.817868522380195e-08
1893,0.0,2.0938616174248637e-08
1894,0.0,4.915200690902566e-08
1895,0.0,1.023164486468886e-08
1896,0.0,3.125425251937486e-08
1897,0.0,2.4472196713531957e-08
1898,0.0,2.1501747937691107e-08
1899,0.0,1.7688250864011934e-08
1900,0.0,1.6092265298084385e-08
1901,5.588738916095792e-10,1.8442838367604963e-08
1902,0.0,2.5042448115186744e-08
1903,0.0,1.2420506401156217e-08
1904,2.6873125946735854e-09,1.289910045443321e-08
1905,1.0321518084666081e-09,2.838417501038748e-08
1906,0.0,2.3148830408104004e-08
1907,0.0,1.542852956504248e-08
1908,0.0,2.0136695866312948e-08
1909,5.500983557560346e-10,2.640472018811124e-08
1910,1.6032452032632705e-09,1.7101282168141552e-08
1911,0.0,2.128149745317387e-08
1912,0.0,2.4484279492753558e-08
1913,0.0,2.704524781904638e-08
1914,0.0,3.616241528447972e-08
1915,0.0,1.4136913861761968e-08
1916,0.0,1.4283700444650549e-08
1917,0.0,3.070598708632133e-08
1918,0.0,1.2635013924011673e-08
1919,0.0,1.2890987832747669e-08
1920,0.0,7.572231730534895e-09
1921,0.0,2.4232791773215467e-08
1922,0.0,1.9920426197472807e-08
1923,0.0,8.492758496458919e-09
1924,0.0,7.734974438733389e-09
1925,4.399271169575059e-09,1.9796720707176974e-08
1926,0.0,1.114613823460786e-08
1927,1.1149224876660924e-09,1.6723836537835268e-08
1928,1.1426041224282812e-09,1.7139061725401916e-08
1929,0.0,1.5596569369336066e-08
1930,0.0,6.302162347537887e-09
1931,1.1405356659111021e-09,7.983749661377715e-09
1932,1.0959536611565568e-09,1.8631212128639163e-08
1933,1.1470662197865522e-09,1.0323596200123575e-08
1934,0.0,1.7972370258689807e-08
1935,0.0,8.377798899061872e-09
1936,0.0,2.0612015205756506e-08
1937,0.0,1.7627565185307503e-08
1938,0.0,1.6854778905894818e-08
1939,1.5294050470515685e-09,1.8352860564618823e-08
1940,0.0,7.607348528892999e-09
1941,0.0,1.1806010391524069e-08
1942,0.0,1.517105907566929e-08
1943,0.0,1.1612940831184915e-08
1944,0.0,1.6065930807940276e-08
1945,0.0,1.3071024262956144e-08
1946,1.3921104269343232e-09,1.8097434661967782e-08
1947,0.0,2.3841742802233057e-08
1948,3.2615663503321457e-09,1.0871888278529696e-08
1949,0.0,7.853606653895895e-09
1950,0.0,1.914365022059883e-08
1951,0.0,1.3859822622919182e-08
1952,1.0544803918932644e-09,1.370824520563474e-08
1953,0.0,9.69644453618912e-09
1954,0.0,1.172704333640695e-08
