year,petit_ADJ ados_NOUN,petit_ADJ cadeau_NOUN
1800,0.0,2.2009151834367913e-08
1801,0.0,4.524246932646747e-08
1802,0.0,5.818384352096473e-08
1803,0.0,7.021220937986072e-08
1804,0.0,3.707776485839531e-08
1805,0.0,2.2743021688143017e-08
1806,8.645007376628655e-09,3.458002950651462e-08
1807,0.0,1.9928686256776018e-08
1808,0.0,3.6257183921861724e-08
1809,0.0,2.9367397402779716e-08
1810,0.0,4.914266327205041e-08
1811,2.0056614147279106e-08,2.0056614147279106e-08
1812,0.0,6.934741492159446e-08
1813,0.0,1.7254450312975678e-08
1814,0.0,5.664018942752591e-08
1815,0.0,2.6972236000233352e-08
1816,0.0,4.1716869958463576e-08
1817,0.0,4.203558034987509e-08
1818,0.0,5.2453181353939726e-08
1819,1.035105001712111e-09,1.6561680027393777e-08
1820,0.0,3.678608972990105e-08
1821,1.97229765852569e-09,7.10027181494155e-08
1822,0.0,8.521773509073682e-08
1823,0.0,7.016707570528524e-08
1824,0.0,3.9579230559638745e-08
1825,0.0,7.836844417852262e-08
1826,8.807984341885344e-10,1.1009980482867832e-07
1827,0.0,3.2260455640198415e-08
1828,0.0,5.503380862137419e-08
1829,0.0,4.543783305166471e-08
1830,0.0,1.4820306692975294e-07
1831,0.0,5.14509785887185e-08
1832,0.0,5.953186388296672e-08
1833,0.0,9.382738852536932e-08
1834,9.334530925997342e-10,8.121041616959701e-08
1835,0.0,5.672315950278062e-08
1836,0.0,5.107769956991248e-08
1837,0.0,5.844628325757384e-08
1838,6.312161904276081e-10,4.3553917805638775e-08
1839,0.0,2.9364196407755117e-08
1840,6.369688665408546e-10,4.4587820713370974e-08
1841,0.0,3.852328944731198e-08
1842,1.341653010911159e-09,6.507016925283438e-08
1843,0.0,7.265500556741245e-08
1844,0.0,5.433675648314207e-08
1845,0.0,4.464182268293371e-08
1846,1.7563503984519002e-09,3.922516000898213e-08
1847,0.0,4.961765665001394e-08
1848,0.0,4.183515400768556e-08
1849,6.703531951757213e-09,3.5193544078993e-08
1850,0.0,4.8880771430503955e-08
1851,0.0,5.288539739467524e-08
1852,0.0,6.966283905285309e-08
1853,0.0,6.808001984381917e-08
1854,0.0,5.1956643098982624e-08
1855,1.5920811335945473e-09,7.217434472295281e-08
1856,2.0708756931497874e-09,6.212626857404757e-08
1857,5.369659827891837e-09,6.83411300883563e-08
1858,0.0,6.557525533690267e-08
1859,1.5276520048956854e-09,5.906921130005571e-08
1860,0.0,6.865775697972865e-08
1861,0.0,6.413710451624866e-08
1862,0.0,4.653525920161883e-08
1863,0.0,8.490855690768129e-08
1864,1.9178911792039344e-09,7.719512351567204e-08
1865,0.0,7.483882313863433e-08
1866,0.0,7.395731671522299e-08
1867,9.7056229719783e-10,5.774845845962773e-08
1868,0.0,8.496583348005515e-08
1869,4.883519144627257e-10,7.227608622706327e-08
1870,0.0,5.103303468700915e-08
1871,2.1242354542039266e-09,8.390730243945654e-08
1872,6.047339295989218e-10,6.22875973022019e-08
1873,1.1972008939764578e-09,6.824045362119335e-08
1874,0.0,7.289023495893332e-08
1875,0.0,9.612165285943775e-08
1876,3.02300739996042e-09,8.403960549685507e-08
1877,3.0924081073635534e-09,6.803297547541831e-08
1878,1.8117265465633636e-09,7.790424660925055e-08
1879,6.10932526790009e-10,1.0691319118905085e-07
1880,0.0,9.947661649967188e-08
1881,0.0,8.157833519817359e-08
1882,3.3276925659464496e-09,1.4242523604934831e-07
1883,6.319338941018771e-10,1.1690777057538071e-07
