year,peut_VERB oser_VERB,peut_VERB causer_VERB
1800,6.288328791015374e-08,6.445537223953579e-07
1801,4.524246932646747e-08,8.024585440580267e-07
1802,2.2378401354217203e-08,9.152765869657742e-07
1803,7.606323038089613e-08,9.693186484582839e-07
1804,1.1123329102247226e-07,8.503167236995068e-07
1805,9.665784261869703e-08,8.301203138216806e-07
1806,9.221341201737232e-08,9.134890888162772e-07
1807,6.832692633906845e-08,6.462587975875067e-07
1808,1.5862518409903714e-08,7.410062039525656e-07
1809,1.1521055398588942e-07,6.438236823669286e-07
1810,3.7442028144596406e-08,9.828532938627177e-07
1811,2.2563691359778204e-08,6.418116527129314e-07
1812,1.0668832928217853e-08,1.0428784662508406e-06
1813,0.0,7.937047143968812e-07
1814,9.125363931161701e-08,7.583491878904169e-07
1815,4.045835311217161e-08,6.41939209344855e-07
1816,5.3304887615013286e-08,9.061831178769353e-07
1817,4.826307531402563e-08,6.756830543963588e-07
1818,3.814776761146277e-08,8.964725566329435e-07
1819,8.9019032145643e-08,1.0299294217475108e-06
1820,9.730514705097448e-08,1.0276372677253676e-06
1821,6.212737702071536e-08,9.753011909197085e-07
1822,4.912551787583652e-08,8.982951840152964e-07
1823,5.237824041159911e-08,7.925914928819111e-07
1824,4.463189640091514e-08,7.730581614850962e-07
1825,8.453225319726698e-08,6.938689125490782e-07
1826,6.694067877788257e-08,6.949499606889731e-07
1827,3.2260455640198415e-08,6.424439220609202e-07
1828,4.494427585655103e-08,8.236726785071369e-07
1829,6.687077558353849e-08,7.407223847621935e-07
1830,6.888311787633938e-08,7.514522053497785e-07
1831,2.182768810143898e-08,6.750992156412394e-07
1832,7.576782934393123e-08,6.453795435845677e-07
1833,2.7800709290204395e-08,6.764839213246887e-07
1834,9.334530659543816e-08,6.403488441719674e-07
1835,4.310960122211327e-08,8.470658485748572e-07
1836,5.981467410265395e-08,6.599776725124684e-07
1837,3.409366655660051e-08,7.653679858776741e-07
1838,6.817134590164642e-08,5.996553795739601e-07
1839,3.4957377437194737e-08,6.201438509378931e-07
1840,5.86011346115356e-08,6.758239692317147e-07
1841,3.467096121312352e-08,6.703052690681943e-07
1842,5.500777433553594e-08,6.755223012078204e-07
1843,4.548321541619771e-08,6.863830890324607e-07
1844,4.7750482679020934e-08,6.586273570974299e-07
1845,4.687391452762313e-08,7.365900955846882e-07
1846,6.322861167973315e-08,6.258462121877528e-07
1847,5.3392913201832926e-08,6.072770020182361e-07
1848,2.252662056889676e-08,5.285710926727916e-07
1849,1.9272654583346593e-08,5.765037371929793e-07
1850,5.159636984330973e-08,6.340922027447959e-07
1851,6.965393595237401e-08,6.352697141664976e-07
1852,6.119912399071836e-08,6.836072543592309e-07
1853,3.941475057445132e-08,6.180949299050553e-07
1854,3.4810952342922974e-08,5.678861043634242e-07
1855,5.200798369742188e-08,6.214423251549306e-07
1856,3.209857268871019e-08,6.435246291403018e-07
1857,4.5886185517929334e-08,6.067716071811446e-07
1858,6.410715513993637e-08,5.872411179552728e-07
1859,4.7357211485632433e-08,5.377335128287086e-07
1860,5.767251565202969e-08,5.236298648014781e-07
1861,3.065376574795664e-08,6.060013220121618e-07
1862,5.647482836934614e-08,5.511943186320423e-07
1863,4.994620894649415e-08,7.127324010980374e-07
1864,3.3563097190381086e-08,6.185198913044587e-07
1865,5.977692296710302e-08,7.187351229731576e-07
1866,4.476363812955242e-08,5.721960860682884e-07
1867,4.804283548764943e-08,5.333239982974192e-07
1868,2.8157282727647726e-08,6.071105076443928e-07
1869,6.25090450512289e-08,7.027384185676055e-07
1870,5.390005952676802e-08,6.032219062035438e-07
1871,5.098165090089424e-08,5.523012305275188e-07
1872,4.535504416480762e-08,6.150144145067316e-07
1873,3.5317427204972773e-08,7.027569495221542e-07
1874,4.958925714504403e-08,6.339060405480268e-07
1875,9.554950253232164e-08,6.09342635016219e-07
1876,5.562333527109331e-08,5.810220500279684e-07
1877,3.0924081073635534e-08,5.900314477003121e-07
1878,2.7779808675632012e-08,5.882072287022311e-07
