year,soit_VERB en_ADP,soit_VERB quand_ADV
1800,3.6440867248188624e-06,0.0
1801,3.7598871944766188e-06,0.0
1802,3.4798413821590657e-06,1.5664880947952042e-08
1803,3.7134458157339623e-06,0.0
1804,4.202146388188055e-06,0.0
1805,3.5251683909720555e-06,0.0
1806,3.852791842007264e-06,0.0
1807,3.5985513022751547e-06,0.0
1808,3.4738913399223748e-06,0.0
1809,3.2417088471348166e-06,0.0
1810,3.290218252516297e-06,0.0
1811,2.7653055623133582e-06,0.0
1812,3.11796635443784e-06,0.0
1813,3.5256592045840307e-06,0.0
1814,3.7948927058550908e-06,0.0
1815,3.1449626543000875e-06,0.0
1816,3.4184657380365024e-06,0.0
1817,3.4640432682309097e-06,0.0
1818,3.3164714956512853e-06,4.768470951432846e-09
1819,3.5069356636441285e-06,0.0
1820,3.273962057015467e-06,8.306536791735653e-09
1821,3.718767181304372e-06,0.0
1822,4.010246442476273e-06,7.017931125119503e-09
1823,3.544919808362579e-06,0.0
1824,3.6261310789598156e-06,8.421112696055388e-10
1825,3.743193826011293e-06,0.0
1826,3.5073394730744667e-06,3.5231937367541377e-09
1827,3.699813304613997e-06,3.6869092223668076e-09
1828,3.576280363404294e-06,1.8344602503717056e-09
1829,3.4978557472697958e-06,0.0
1830,3.7082077657402124e-06,0.0
1831,3.5766226957889558e-06,3.1182412207897414e-09
1832,3.692328707671777e-06,0.0
1833,3.6476847231625698e-06,2.3167257001688313e-09
1834,3.4761792857551654e-06,2.8003592777992026e-09
1835,3.6605345883344853e-06,0.0
1836,3.880561253666315e-06,6.048674894287842e-09
1837,3.9423411770656e-06,2.7831563720326358e-09
1838,3.763310875370962e-06,5.680945491803868e-09
1839,4.100500085257863e-06,0.0
1840,3.431351361271595e-06,0.0
1841,3.930017680175979e-06,0.0
1842,4.169186631486355e-06,1.341653010911159e-09
1843,4.0314665774587866e-06,0.0
1844,3.6175107016589436e-06,1.6465684371524958e-09
1845,3.6327283989834314e-06,0.0
1846,3.8153785695271836e-06,0.0
1847,4.0551649291842295e-06,0.0
1848,3.446572907961354e-06,8.045221711050488e-10
1849,3.4263426726965918e-06,0.0
1850,3.5004062652888024e-06,6.788996032014438e-10
1851,3.4175576786310558e-06,0.0
1852,3.5807999836379167e-06,1.3021090872200602e-09
1853,3.7199162647993944e-06,5.971931837933653e-10
1854,3.8499872658803724e-06,5.195664343204953e-09
1855,3.487188351414261e-06,0.0
1856,3.723434403468673e-06,5.177189232874468e-10
1857,3.517615468240365e-06,0.0
1858,3.819024755102873e-06,0.0
1859,3.5981296804266094e-06,2.036869339860914e-09
1860,3.487356451614687e-06,4.577183909670879e-10
1861,3.642610472809338e-06,4.715963730639317e-10
1862,3.857908360771489e-06,1.3553959066214816e-09
1863,3.6800365919020805e-06,4.994620828036034e-10
1864,3.725983091840135e-06,1.4384183844029508e-09
1865,3.6416855664356262e-06,2.8241067262513297e-09
1866,3.446800128870109e-06,0.0
1867,3.4911125652570263e-06,1.94112459439566e-09
1868,3.5443595294282204e-06,4.93987406535723e-10
1869,3.546411662114224e-06,0.0
1870,3.6508688125991284e-06,4.013834153937523e-09
1871,3.781139056968641e-06,1.0621177271019633e-09
1872,3.5691396149672983e-06,3.0236697590169115e-09
1873,3.773577262222716e-06,4.1902031844287535e-09
1874,3.5913375455720598e-06,1.7923826867161097e-09
1875,3.57366590719721e-06,0.0
1876,3.4867367801894034e-06,1.813804439976252e-09
1877,3.4492718299361513e-06,6.184815992682502e-10
1878,3.4483196316159592e-06,6.039088673581716e-10
1879,3.562958582392639e-06,1.221865053580018e-09
1880,3.613889148823546e-06,6.417846254436199e-10
1881,3.68287844310089e-06,0.0
1882,3.4554758556737397e-06,6.655385131892899e-10
1883,3.617821462853499e-06,0.0
1884,3.440144396904543e-06,0.0
1885,3.4993356052837044e-06,2.578254332252783e-09
1886,3.3383768922590207e-06,1.2906927748801422e-09
1887,3.5811152088172093e-06,3.9173548849191775e-09
1888,3.461341634647397e-06,0.0
1889,3.3311731897356367e-06,0.0
1890,3.426633291780945e-06,0.0
1891,3.305033146716596e-06,0.0
1892,3.583081728208981e-06,1.2537024751679837e-09
1893,3.3674221100454815e-06,0.0
1894,3.3291032366378204e-06,0.0
1895,3.4438512130918753e-06,0.0
1896,3.7617147228274916e-06,0.0
1897,3.500106842579953e-06,1.1653427112179315e-09
1898,3.465176547479132e-06,1.6975064687230201e-09
1899,3.337551888193957e-06,0.0
