year,ait_VERB omis_VERB,ait_VERB commis_VERB
1800,1.0375742931501009e-07,1.9179402954705438e-07
1801,9.762848662830947e-08,1.4287095950749062e-07
1802,1.096541666356643e-07,1.4769744893783354e-07
1803,9.361627917314763e-08,1.1897068930011301e-07
1804,1.408955085935304e-07,1.878606781247072e-07
1805,1.6204403152642044e-07,2.2743022043414385e-07
1806,1.3543845511776453e-07,1.7290014397985942e-07
1807,1.2811298688575334e-07,2.619198653519561e-07
1808,1.4956088989492855e-07,1.9261628381173068e-07
1809,9.713831161661801e-08,1.7168632382436044e-07
1810,1.942305232205399e-07,1.7316938283329364e-07
1811,7.270522672797597e-08,9.27618373225414e-08
1812,1.1202274663446588e-07,1.6536691305191198e-07
1813,1.2653262615458516e-07,3.0195286626621964e-07
1814,3.776012391654149e-08,1.950939889638903e-07
1815,1.1867783911156948e-07,1.294667271167782e-07
1816,1.2515060632267705e-07,1.715026911597306e-07
1817,3.113746771532533e-08,1.8371106591530406e-07
1818,8.821671571013212e-08,1.9550731167328195e-07
1819,1.3145833577254962e-07,2.794783426907088e-07
1820,4.034603762193001e-08,3.2039500297287304e-07
1821,1.1735171057125626e-07,1.8638212395671871e-07
1822,1.3534581455587613e-07,1.7945852448519872e-07
1823,1.4922856905741355e-07,2.2631353147062327e-07
1824,1.5831692223855498e-07,2.2821215850399312e-07
1825,8.893497494000258e-08,2.4391076181018434e-07
1826,1.268349762995058e-07,2.519083466268057e-07
1827,2.046234612862463e-07,3.014048388649826e-07
1828,1.4217066279798019e-07,3.201133154107083e-07
1829,1.4745862131348986e-07,2.2033061952697608e-07
1830,1.273294003567571e-07,2.536150986998109e-07
1831,1.559120619276655e-07,2.2139512623198243e-07
1832,1.3394669906574563e-07,2.0971452840967686e-07
1833,1.4132027104096778e-07,1.8302132787084702e-07
1834,1.521528503189984e-07,1.6242083233919402e-07
1835,1.429423548415798e-07,2.5109451939897554e-07
1836,7.661655132551459e-08,1.9759005454034195e-07
1837,1.1689256496083544e-07,2.393514364484872e-07
