year,soient_VERB ouverts_ADJ,soient_VERB couverts_ADJ
1800,3.144164484325529e-09,4.087413785214267e-08
1801,0.0,6.429193177837078e-08
1802,0.0,1.5664880947952042e-08
1803,5.851017448321727e-09,5.655983770225248e-08
1804,2.4718509461507665e-09,4.449331569844617e-08
1805,0.0,5.970043304159844e-08
1806,0.0,1.729001475325731e-08
1807,5.693910232196231e-09,8.540865792383556e-09
1808,0.0,6.345007363961486e-08
1809,9.036122072814123e-09,3.162642769893864e-08
1810,0.0,3.510190182964834e-08
1811,0.0,7.270522672797597e-08
1812,1.0668832928217853e-08,2.400487453257938e-08
1813,0.0,6.614205716459765e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,1.8880564667256294e-08
1816,4.6352077731626196e-09,1.0429217667251578e-07
1817,0.0,4.981994905506326e-08
1818,0.0,4.172412104708201e-08
1819,2.070210003424222e-09,2.070209959015301e-08
1820,4.746592452420373e-09,6.051905643289501e-08
1821,1.97229765852569e-09,5.029358973729359e-08
1822,8.02049271442229e-09,2.606660132187244e-08
1823,1.9765373782121287e-09,6.127265805844218e-08
1824,1.6842225392110777e-09,2.4421225930382207e-08
1825,0.0,1.937197424695114e-08
1826,0.0,1.8496766784892316e-08
1827,2.7651818612639545e-09,1.566936447261469e-08
1828,3.668920500743411e-09,3.210305266065916e-08
1829,3.429270423183084e-09,1.628903412154159e-08
1830,1.0436835840010872e-09,3.965997663613052e-08
1831,1.5591206103948707e-09,6.080570358335535e-08
1832,2.705993873419743e-09,3.2471927369215337e-08
1833,1.1583628500844156e-09,2.7800709290204395e-08
1834,1.8669061851994684e-09,1.0267983796552471e-08
1835,6.050470346963266e-09,2.571449897459388e-08
1836,2.688300027031687e-09,2.419469957715137e-08
1837,2.0873671680021744e-09,1.6003149028165353e-08
1838,5.680945491803868e-09,1.7674054220151447e-08
1839,2.7965900706306e-09,1.8876983531868063e-08
1840,6.369688665408546e-10,1.2102408852854296e-08
1841,1.2841097074556274e-09,3.4028907691663335e-08
1842,2.683306021822318e-09,1.8783142152756227e-08
1843,4.7255288571079745e-09,1.1223130869097986e-08
1844,2.195424508855126e-09,2.25031016043431e-08
1845,0.0,2.0646844234306627e-08
1846,4.0981511517657054e-09,1.7563504428608212e-08
1847,5.3932236454556914e-09,1.1325769655456952e-08
1848,2.413566457803995e-09,1.448139919091318e-08
1849,0.0,1.3407063903514427e-08
1850,2.0366988096043315e-09,3.326607966869233e-08
1851,1.2898877521649865e-09,2.5152811389261842e-08
