year,furent_VERB ouverts_ADJ,furent_VERB couverts_ADJ
1800,0.0,1.8236154630812962e-07
1801,3.333655484993869e-08,1.1905913055443307e-07
1802,2.2378401354217203e-08,2.215461734067503e-07
1803,5.851017448321727e-09,1.3457341196954076e-07
1804,2.4718509461507665e-09,2.1999473176492756e-07
1805,0.0,3.1271653710973624e-07
1806,0.0,2.420601958874613e-07
1807,2.8469551160981155e-09,1.4519470425966574e-07
1808,1.1330369531492579e-08,1.7675377250725433e-07
1809,2.259030518203531e-09,1.1295152546608733e-07
1810,7.020380277111826e-09,1.3806747745093162e-07
1811,5.0141535368197765e-09,1.8301660986708157e-07
1812,1.600324850414836e-08,2.5871921138787e-07
1813,1.4378708002027452e-08,8.627225156487839e-08
1814,6.293354282149721e-09,2.7690759907272877e-07
1815,0.0,3.128779439975915e-07
1816,2.0858434979231788e-08,1.7613788827475219e-07
1817,1.5568733857662664e-08,1.2610674104962527e-07
1818,3.5763532135746345e-09,2.002757781838227e-07
1819,1.3456364911235141e-08,1.8838910875729198e-07
1820,1.542642635854463e-08,2.646225425451121e-07
1821,4.2404398215012407e-08,1.311577904061778e-07
1822,1.0025615893027862e-08,1.7544827812798758e-07
1823,3.261286707356703e-08,1.591112521737159e-07
1824,3.621078548121659e-08,2.0210670470532932e-07
1825,1.4088708866211164e-08,2.518356723157922e-07
1826,1.8496766784892316e-08,1.761596877258853e-07
1827,3.041700225026034e-08,1.318069990929871e-07
1828,3.668920500743411e-09,1.7060480672626e-07
1829,2.2290258527846163e-08,1.7317815093065292e-07
1830,4.800944353178238e-08,1.356788601469816e-07
1831,1.2472964883158966e-08,2.432228143334214e-07
1832,1.352996914505411e-08,1.1094574858816486e-07
1833,2.6642345218874652e-08,1.482704448108052e-07
1834,2.42697808516823e-08,1.1761508744712046e-07
1835,3.7059130875150004e-08,2.1706063080273452e-07
1836,3.49478987970997e-08,1.3777537333226064e-07
1837,2.2265250976261086e-08,1.8160095294206258e-07
1838,1.9567702125300457e-08,2.1082620094148297e-07
1839,4.544459031308179e-08,1.4262609226989298e-07
1840,1.6561189752906103e-08,1.4459193664606573e-07
1841,2.6966304744746594e-08,1.444623478619178e-07
1842,2.2137275124123335e-08,1.8984390237619664e-07
1843,4.666459574309556e-08,1.6421212478689995e-07
1844,2.9089374464774664e-08,1.3117661978867545e-07
1845,1.562463758375543e-08,1.6405870439939463e-07
1846,1.8734404250153602e-08,1.1416277345688286e-07
1847,8.089835468183537e-09,1.251227956799994e-07
1848,2.172209789819135e-08,1.126331028444838e-07
1849,1.256912263158938e-08,1.3742240412284445e-07
1850,2.0366988096043315e-08,1.2831202411689446e-07
1851,3.224719336003545e-08,1.2834382800974709e-07
1852,2.408901877970493e-08,1.0286661478176029e-07
1853,3.4040009921909586e-08,1.3616003968763835e-07
1854,2.338049043260071e-08,1.0495242008801142e-07
1855,2.2289135870323662e-08,1.0720012966203285e-07
1856,2.329735160344626e-08,1.0043746812016252e-07
1857,1.513267733344037e-08,8.689086428148585e-08
1858,1.761723389392955e-08,1.428953453341819e-07
1859,1.2221216039165483e-08,9.52236405282747e-08
1860,2.8836257826014844e-08,1.286188648919051e-07
1861,1.9807048445841247e-08,1.12711532551657e-07
1862,9.035972858839614e-09,1.7484606473772146e-07
1863,4.495158911765884e-09,1.0638542136121032e-07
1864,2.349416661218129e-08,6.472883029573495e-08
1865,3.6242703060906933e-08,9.178346260796388e-08
1866,2.5301186923343266e-08,1.109359715201208e-07
1867,3.2513838732484146e-08,8.73506067478047e-08
1868,3.210918109175509e-08,9.286963376098356e-08
1869,2.0510780629479086e-08,4.8835190114004945e-08
1870,3.325748210158963e-08,8.25703025952862e-08
1871,2.1242353653860846e-08,9.983906323896008e-08
1872,1.0280476914203973e-08,5.744972497723211e-08
1873,2.8732820567256567e-08,9.817047441629256e-08
1874,1.8521287614703397e-08,8.065722312267098e-08
1875,2.8607635371713513e-08,6.808617314391086e-08
1876,3.083467703390852e-08,6.408775732325012e-08
1877,1.855444864418132e-08,7.607323482261563e-08
1878,2.8987624745013818e-08,1.050801401447643e-07
1879,2.3826368433788048e-08,9.225081498698273e-08
1880,1.9895322722618403e-08,7.508879917850209e-08
1881,2.9284532132578533e-08,6.135806529528054e-08
1882,1.5307385581309063e-08,6.655385220710741e-08
1883,2.338155447034751e-08,6.066565561013704e-08
1884,2.178559910248623e-08,8.054070121943369e-08
1885,2.1915161241281567e-08,8.314869859304963e-08
1886,2.1296431285122708e-08,7.034275739670193e-08
1887,1.6322312390570914e-08,4.570247114088488e-08
1888,7.60873763994141e-09,5.135897751529228e-08
1889,1.566284169030041e-08,6.327788071303075e-08
1890,1.5730527991308918e-08,4.784702056781498e-08
1891,1.529812720946211e-08,5.5455714687013824e-08
1892,1.9432388143059143e-08,3.5103667528346705e-08
1893,2.4017824173938607e-08,4.9883173147691195e-08
1894,1.0082462864602348e-08,4.0960006941759275e-08
1895,1.625025980445116e-08,4.33340261452031e-08
1896,1.9460195233023114e-08,4.8945342001616154e-08
1897,2.2724183423861177e-08,4.603103676004139e-08
1898,1.3580051749784161e-08,4.7530182456512193e-08
1899,2.04520400615138e-08,8.788849470420246e-08
1900,2.0245106924221545e-08,7.163653492625599e-08
1901,1.1736351446245408e-08,4.8622027293276915e-08
1902,7.856454153909453e-09,7.758248443678895e-08
1903,8.640352433531007e-09,5.400220359774721e-08
1904,7.524475265086039e-09,5.105894018697654e-08
1905,7.741138396966107e-09,3.818961857859904e-08
1906,1.4403716441790948e-08,6.378788697247728e-08
1907,1.902852098112362e-08,3.394276504309346e-08
1908,9.822778146428846e-09,3.97822503828138e-08
1909,1.6502950117569526e-08,6.656190265630357e-08
1910,2.2979847358328698e-08,6.787071527014632e-08
1911,1.2236860413850081e-08,6.437652899649038e-08
1912,8.335073964360618e-09,3.334029585744247e-08
1913,1.3257474229533273e-08,5.302989691813309e-08
1914,6.027069510139427e-09,6.897646187553619e-08
1915,1.5314990164938536e-08,5.654765544704787e-08
1916,1.4283700444650549e-08,2.4172416956957932e-08
1917,7.676496771580332e-09,3.5092558192673096e-08
1918,1.9526840588923733e-08,4.479686666059024e-08
1919,1.9336480860943084e-08,2.9465114792515124e-08
1920,8.329454459499175e-09,2.1959472462640406e-08
1921,1.2116395886607734e-08,4.619375815195781e-08
1922,1.623145884366295e-08,3.24629176873259e-08
1923,5.307974060286824e-09,4.458698299458774e-08
1924,1.0313299547703991e-08,5.414482373566898e-08
1925,8.798542339150117e-09,4.2892892793133797e-08
1926,1.671920735191179e-08,3.901148559748435e-08
1927,1.7838759802657478e-08,4.3481975353643065e-08
1928,3.4278122562625413e-09,5.0274582719112004e-08
1929,7.798284684668033e-09,4.4561623724348465e-08
1930,1.1553964007759987e-08,3.676261073337628e-08
