year,grand_ADJ an_NOUN,grand_ADJ camp_NOUN
1800,1.2576658381391326e-08,3.144164395507687e-08
1801,2.1430642593855964e-08,1.2144030847593967e-07
1802,1.7902721083373763e-08,2.9091921760482364e-08
1803,5.851017670366332e-09,7.80135707145746e-08
1804,9.887403784603066e-09,7.415552971679062e-08
1805,2.842877711017877e-09,1.1371510844071508e-08
1806,8.645007376628655e-09,4.8988376022407465e-08
1807,2.8469551160981155e-09,2.562259560079383e-08
1808,6.798221985349073e-09,4.5321478125970316e-08
1809,6.7770915546105925e-09,1.9427662323323602e-07
1810,4.680253518074551e-09,3.2761775514700275e-08
1811,2.5070767684098882e-09,1.203396875482099e-07
1812,2.6672082320544632e-09,1.2535878113340004e-07
1813,2.0130190847567064e-08,7.764502640839055e-08
1814,6.293354282149721e-09,4.090680150170556e-08
1815,2.697223555614414e-09,3.506390555685357e-08
1816,1.3905623319487859e-08,4.6352075955269356e-08
1817,7.784366928831332e-09,1.4790297919731188e-07
1818,1.549753059215675e-08,8.70245930872926e-08
1819,3.1053151161586356e-09,3.519356894798875e-08
1820,5.933240565525466e-09,1.1866481397504458e-07
1821,7.88919063410276e-09,7.49473141326007e-08
1822,4.010246357211145e-09,8.221005032282847e-08
1823,9.882686669016039e-09,2.3224313849823375e-07
1824,0.0,1.035796870496597e-07
1825,7.044354433105582e-09,1.2503728608059816e-07
1826,3.5231936257318353e-09,1.2595417331340286e-07
1827,7.373818333711313e-09,4.7929820112813104e-08
1828,7.337841112509125e-09,5.4116576109208836e-08
1829,1.714635211591542e-09,2.4004892296147773e-08
1830,1.0436835840010872e-09,8.245100535653194e-08
1831,1.5591206103948707e-09,6.392394613641272e-08
1832,1.3529969367098715e-09,5.006088621417604e-08
1833,4.633451511359965e-09,2.548398347901326e-08
1834,4.667265685043276e-09,6.720862488762691e-08
1835,3.781543966852041e-09,6.504255622985511e-08
1836,1.881810018922181e-08,1.0013917517426307e-07
1837,6.957891152126194e-09,7.166627824517491e-08
1838,5.049729523420865e-09,9.720729665652073e-08
1839,0.0,7.201219742736242e-08
1840,1.2739377552861697e-08,1.6115312329034737e-07
1841,1.926164561183441e-09,3.723918240439161e-08
1842,2.0124795163667386e-09,9.861149408152414e-08
1843,1.7720733769266417e-09,5.0208745716595615e-08
1844,3.841992946007622e-09,6.037417371596021e-08
1845,5.022205262772417e-09,4.575786860527842e-08
1846,7.610851726624901e-09,4.9177810268474786e-08
1847,1.0786447290911383e-09,1.0408921724547326e-07
1848,8.045221711050488e-10,4.344419884949602e-08
1849,7.54147322368226e-09,6.368355087715827e-08
1850,4.073397619208663e-09,7.739455298860776e-08
1851,2.579775504329973e-09,1.0577079478935048e-07
1852,3.2552727180501506e-09,4.1667489236729693e-08
1853,5.3747384320956826e-09,7.10659904257227e-08
1854,3.117398783558656e-09,6.442623856628416e-08
1855,1.5920811335945473e-09,7.323573214534917e-08
1856,6.73034605824796e-09,7.455152173374557e-08
1857,1.9526036898476207e-09,7.468709051217104e-08
1858,1.761723344984034e-08,1.1451202092116475e-07
1859,3.055304009791371e-09,6.467060131853941e-08
1860,8.696649622663699e-09,1.0527522675829459e-07
1861,1.886385547766878e-09,1.0327960464628916e-07
1862,2.2589932147099034e-09,1.0572087921767448e-07
1863,6.493007131957995e-09,9.489779301263823e-08
1864,7.192092144059359e-09,1.2993712616982123e-07
1865,2.8241066707401785e-09,1.0496262858872285e-07
1866,7.784980604608194e-09,1.9511107485215007e-07
1867,5.338092634588065e-09,1.1161466240139362e-07
1868,2.4699371437009177e-09,4.643481688049178e-08
1869,5.371870948067681e-09,8.057806955008573e-08
1870,1.7202146374017957e-09,1.1640119312872343e-07
1871,1.0621177271019633e-09,2.0286448432216275e-07
1872,1.8142017887967654e-09,1.088521059955383e-07
1873,4.1902031844287535e-09,1.8556614528320026e-07
1874,3.5847653734322193e-09,1.6310682687814548e-07
1875,1.4303817741367908e-08,1.0470394329331612e-07
1876,1.813804439976252e-09,1.1185127268831252e-07
1877,3.7108897066318036e-09,8.906135029462803e-08
1878,3.0195443923020093e-09,6.763779081264687e-08
1879,3.0546627449723474e-09,5.254019619371775e-08
1880,5.134277225593564e-09,4.6208491255583795e-08
1881,3.486253785656146e-09,1.199271313923056e-07
1882,3.3276925659464496e-09,1.2046247110930608e-07
1883,4.423537314224291e-09,7.583207062289432e-08
1884,6.601696966868076e-09,9.110341814277945e-08
1885,3.2228177904158883e-09,7.090199050097112e-08
1886,6.453463874400711e-10,8.195899220408975e-08
1887,1.3057849246322917e-09,1.233966790969987e-07
1888,1.9021844099853524e-09,7.228300713535418e-08
1889,1.8795409673089125e-09,6.390439510894907e-08
1890,4.588070479094597e-09,7.34091251120006e-08
1891,6.374220040683554e-10,5.6093135580859155e-08
1892,8.14906586654729e-09,6.70730813112641e-08
1893,1.2316833108982905e-09,5.850495576886772e-08
1894,1.8904617871129403e-09,8.128985684585643e-08
1895,4.213030146971164e-09,1.1314995029820807e-07
1896,5.89702897624278e-09,8.019959452099101e-08
1897,4.078699378240458e-09,1.392584529913421e-07
1898,2.8291773368493978e-09,9.84553764071805e-08
1899,4.4220627160029835e-09,1.127625957053624e-07
1900,5.191053142894475e-10,7.838490301281809e-08
1901,0.0,4.638653217092781e-08
1902,1.4730851538580225e-09,8.101968562712614e-08
1903,3.2401321625741275e-09,8.856361266573742e-08
1904,1.0749250378694342e-09,5.6433564488145294e-08
1905,4.128607289377584e-09,6.967024868131944e-08
1906,3.0865107691901983e-09,1.1471531147222436e-07
1907,1.028568674676933e-09,7.045695471497027e-08
1908,2.4556945366072114e-09,9.036955805896696e-08
1909,2.750491778780173e-09,8.031436160571559e-08
1910,2.2979847136284093e-08,6.038890298931676e-08
1911,3.1922244847493175e-09,5.6928003644429737e-08
1912,2.6047105583515417e-09,7.3452839699506e-08
1913,3.8181524719682614e-08,7.159036308213018e-08
1914,2.6786975415582504e-09,7.165516047180631e-08
1915,1.1780761921542648e-09,1.1191723769954365e-07
1916,6.592477230782379e-09,9.668966782783173e-08
1917,5.483212106582869e-09,1.1624409701482818e-07
1918,4.594550517822427e-09,1.0337738931553986e-07
1919,2.762354567309444e-09,1.3811772725524918e-07
1920,3.786115865267448e-09,7.420786962697434e-08
1921,2.27182422873895e-09,6.285380599324597e-08
1922,3.688967686876765e-09,4.05786438895106e-08
1923,2.1231896241147297e-09,3.3971034429924885e-08
1924,3.867487330388997e-09,6.44581203967931e-08
1925,2.1996355847875293e-09,5.389107160524986e-08
1926,2.229227691330493e-09,7.467912799263843e-08
1927,2.2298449753321847e-09,6.689534892689863e-08
1928,3.4278123672848437e-09,5.484499754349059e-08
1929,3.342121912552898e-09,4.344758397500925e-08
1930,2.100720708497761e-09,6.827342524662328e-08
1931,5.7026783295555106e-09,1.2089677703386315e-07
1932,3.287861094491973e-09,8.767629156025691e-08
1933,5.735331320977366e-09,6.76769076335404e-08
1934,1.1981580172459871e-09,6.709685074213212e-08
1935,1.196828414151696e-09,1.160923552845361e-07
1936,3.6374143697059935e-09,8.366052739461338e-08
1937,0.0,8.561960473940644e-08
1938,1.2965214457594243e-09,7.649476430060531e-08
1939,1.5294050470515685e-09,2.141167065872196e-08
1940,0.0,8.875240409267349e-08
1941,0.0,1.8299315529546334e-07
1942,3.034211770724937e-09,8.647503717540417e-07
1943,2.9032352077962287e-09,2.1193616861481246e-07
1944,0.0,2.602680719832051e-07
1945,2.178504043826024e-09,2.8756254621953303e-07
1946,0.0,1.419952697645499e-07
1947,1.1920870957027319e-09,1.3828210043698164e-07
1948,1.0871887834440486e-09,7.936478207959397e-08
1949,1.9634016634739737e-09,9.129817657438366e-08
1950,5.317680740191122e-09,6.912985250906445e-08
1951,3.198420528427448e-09,7.143139335585857e-08
1952,2.1089607837865287e-09,5.1669537426413115e-08
1953,2.1547654771580937e-09,6.24881981714509e-08
1954,1.9545072227344917e-09,8.599831513578238e-08
1955,6.569925492527773e-09,6.569925448118852e-08
1956,1.744228317335228e-09,4.186147961604547e-08
1957,3.534015080575159e-09,4.7709203032653136e-08
1958,3.3088974338291166e-09,3.8052319961678904e-08
1959,3.100299128533379e-09,4.805463627022277e-08
1960,1.3841666701708277e-09,7.612917024557575e-08
1961,4.863711433600315e-09,1.9941217377361653e-07
1962,1.2683912808952869e-09,7.546927860424546e-08
1963,4.526237273871914e-09,5.819447945754064e-08
1964,6.083968329129164e-10,5.353892035264707e-08
1965,1.0944086747954884e-09,9.521355404107368e-08
1966,2.215629901769489e-09,6.813061936838949e-08
1967,7.888537101319315e-09,5.078245596257247e-08
1968,8.982831700699023e-10,6.602381352749376e-08
1969,1.3625273131978588e-09,1.289859239417268e-07
1970,1.3796175035718505e-09,8.415667132610771e-08
1971,7.70759622792383e-09,4.573173850719314e-08
1972,1.5390440588625154e-09,7.849124816772246e-08
1973,8.269805618077442e-09,1.1963652357671606e-07
1974,2.250228725575454e-09,1.0463563282492316e-07
1975,1.7134440533084216e-09,9.766631370311529e-08
1976,2.8567633814091664e-09,6.227744175912875e-08
1977,1.7630346071939584e-09,9.050243826580484e-08
1978,4.752473081737207e-09,4.039602208294468e-08
1979,2.3407893401383717e-09,5.969012717432776e-08
