year,fût_VERB assez_ADV,fût_VERB cassée_ADJ
1800,9.558259534969693e-07,0.0
1801,6.976865165597701e-07,2.3811825844433088e-09
1802,1.0540227322053397e-06,4.475680270843441e-09
1803,7.099234835550305e-07,0.0
1804,6.945901418475842e-07,2.4718509461507665e-09
1805,8.18748787878576e-07,1.1371510844071508e-08
1806,9.278974744120205e-07,0.0
1807,8.370047908101697e-07,0.0
1808,8.656402883389092e-07,0.0
1809,9.442747455068456e-07,6.7770917766551975e-09
1810,9.898735697788652e-07,0.0
1811,6.894460966577753e-07,0.0
1812,7.654887781427533e-07,0.0
1813,7.649472877346852e-07,2.8757416448144113e-09
1814,5.506685170075798e-07,3.1466771410748606e-09
1815,7.120669920368528e-07,0.0
1816,7.369980608018523e-07,0.0
1817,7.815504545760632e-07,9.341240669868967e-09
1818,7.975267521942442e-07,8.344824387052086e-09
1819,9.409104677615687e-07,0.0
1820,9.410119332642353e-07,1.1866481131050932e-09
1821,8.342819342033181e-07,0.0
1822,8.551850214644219e-07,1.5038423839541792e-08
1823,7.688730647714692e-07,1.7788837070042973e-08
1824,8.075846835708944e-07,8.421112696055388e-09
1825,9.650765377955395e-07,8.805443041381977e-10
1826,9.133879643741238e-07,2.642395191543301e-09
1827,9.917786201185663e-07,4.608636583469661e-09
1828,8.355966656381497e-07,1.834460228167245e-08
1829,8.813224781079043e-07,0.0
1830,9.142668204731308e-07,1.0436835840010872e-09
1831,5.36337495304906e-07,1.5591206103948707e-09
1832,6.616155019401049e-07,9.470978667991403e-09
1833,8.374963158530591e-07,3.4750886612755494e-09
1834,5.955430992798938e-07,1.0267983796552471e-08
1835,8.576541858928977e-07,3.781543966852041e-09
1836,7.742303864688438e-07,1.3441500135158435e-09
1837,6.2760176433585e-07,4.174734336004349e-09
1838,7.852329417801229e-07,0.0
1839,8.277906431430893e-07,5.5931801412612e-09
1840,6.88563318362867e-07,6.3696887764308485e-09
1841,6.574641702172812e-07,6.420548537278137e-10
1842,7.405924407066777e-07,2.683306021822318e-09
1843,6.190442718434497e-07,5.906910960362666e-09
1844,6.685067432954384e-07,2.7442805805577564e-09
1845,6.97528491855337e-07,5.022205318283568e-09
1846,6.902457130308903e-07,0.0
1847,5.738389745602035e-07,0.0
1848,4.86735928006965e-07,4.02261068899179e-09
1849,6.552702416229295e-07,1.6758829879393033e-09
1850,5.845325858899741e-07,6.788996032014438e-09
1851,6.481686227743921e-07,5.159551008659946e-09
1852,6.367313289956655e-07,0.0
1853,5.500149313775182e-07,0.0
1854,6.759559596503095e-07,5.195664343204953e-09
1855,5.535135301215632e-07,1.0613874223963649e-09
1856,6.683751507807756e-07,3.6240324075009767e-09
1857,7.024491424090229e-07,8.298565390418844e-09
1858,5.706026513507823e-07,8.808616946964776e-09
1859,5.830538611917291e-07,3.5645213447565993e-09
1860,5.954915991424059e-07,7.781213007262977e-09
1861,5.145116688254348e-07,6.6023493339173456e-09
1862,5.51646110125148e-07,4.9697850279528666e-09
1863,5.564007778957603e-07,1.4983863039219614e-09
1864,5.187895908420614e-07,1.9178911792039344e-09
1865,5.41287079158792e-07,4.706844358715045e-10
1866,5.434889658317843e-07,7.298419202328432e-09
1867,5.275006174088048e-07,1.552899675516528e-08
1868,5.310364485922037e-07,5.433861360870651e-09
1869,4.795616064257047e-07,5.371870948067681e-09
1870,5.814325731989811e-07,4.013834153937523e-09
1871,4.917604883303284e-07,0.0
1872,4.16056934682274e-07,4.23313739617015e-09
1873,4.776831588060304e-07,5.986004469882289e-10
1874,4.958925501341582e-07,3.5847653734322193e-09
1875,4.39985427647116e-07,4.005069165202713e-09
1876,4.431728939380264e-07,2.418405919968336e-09
1877,4.323186431065551e-07,6.184815992682502e-10
1878,4.511199165335711e-07,6.039088673581716e-10
1879,4.3559489881772606e-07,6.720257683667796e-09
1880,3.6774258660443593e-07,5.134277003548959e-09
1881,4.2044220549541933e-07,5.5780060570498335e-09
1882,4.053129600833927e-07,1.3310770263785798e-09
1883,3.987502736890747e-07,2.5277355764075082e-09
1884,4.3175097630410164e-07,3.9610181801208455e-09
1885,3.3839586421891e-07,0.0
1886,3.63330002528528e-07,3.2267319927115068e-09
1887,3.6104952982896066e-07,3.264462256069578e-09
1888,3.753643795789685e-07,4.4384300679212174e-09
1889,3.6337792153062765e-07,6.265136853755848e-09
1890,3.264084398324485e-07,1.9663159989136147e-09
1891,3.212606998204137e-07,6.374220040683554e-10
1892,2.7894878940060153e-07,1.0656471260972467e-08
1893,3.2762775958872226e-07,5.542574843531156e-09
1894,3.4532436643530673e-07,6.301539290376468e-10
1895,3.508852159939124e-07,3.0093072478365457e-09
1896,3.184395609423518e-07,4.1279202278587945e-09
1897,3.11729166924124e-07,1.1653427112179315e-09
1898,3.389354503724462e-07,5.6583548957434e-10
1899,3.0954439012020885e-07,1.6582735185011188e-09
1900,2.953709099529078e-07,5.191053142894475e-10
1901,2.5261098812734417e-07,5.588738916095792e-10
1902,2.5828092020674376e-07,5.4013122863239005e-09
1903,2.937719898454816e-07,4.860198465905796e-09
1904,2.8861737177976465e-07,3.7622376325430196e-09
1905,3.168705973166652e-07,2.580379465655369e-09
1906,2.8498783422037377e-07,0.0
1907,2.525136153508356e-07,1.5428529565042481e-09
1908,2.951744875190343e-07,3.437972351250096e-09
1909,2.722986778280756e-07,1.265226234892225e-08
1910,2.8110233074585267e-07,2.137660271017694e-09
1911,2.8304390298217186e-07,5.852411444351446e-09
1912,3.198584579422459e-07,5.209421227725386e-10
1913,2.6621009396876616e-07,3.71209285532359e-09
1914,2.5313690343864437e-07,8.705766774141921e-09
1915,2.568206127762096e-07,2.3561523843085297e-09
1916,1.801943767532066e-07,0.0
1917,2.544210531141289e-07,9.869782324756216e-09
1918,2.77970315210041e-07,0.0
1919,2.57819749549526e-07,4.603924352863942e-09
1920,2.6805699349097267e-07,0.0
1921,2.1127965510459035e-07,0.0
1922,2.486364394371776e-07,0.0
1923,2.2930447585167713e-07,7.431163684401554e-09
1924,3.1197731686916086e-07,3.867487219366694e-09
1925,2.2106337382865604e-07,0.0
1926,2.206935363346929e-07,2.229227691330493e-09
1927,2.809604779940855e-07,1.1149224876660924e-09
1928,2.685119682155346e-07,0.0
1929,2.6402761932331487e-07,5.570202965543558e-09
1930,2.7414404257797287e-07,3.1510811737689437e-09
1931,2.4977731527542346e-07,0.0
1932,2.0603928874152189e-07,2.1919073223131136e-09
1933,1.8926593270407466e-07,0.0
1934,2.036868664845315e-07,0.0
1935,2.3098787949038524e-07,3.590485242455088e-09
1936,2.0733261862915242e-07,0.0
1937,1.775347726606924e-07,0.0
1938,2.1781559667033434e-07,0.0
1939,2.2023432677542587e-07,3.058810094103137e-09
1940,1.749690170527174e-07,2.5357829169792012e-09
1941,2.1545969275393873e-07,0.0
1942,2.0632640485018783e-07,0.0
1943,1.945167582562135e-07,0.0
1944,2.1849666609341512e-07,0.0
1945,1.3506725338174874e-07,0.0
1946,2.0603233963356615e-07,2.7842208538686464e-09
1947,1.811972367704584e-07,4.7683483828109274e-09
1948,1.9678117268995265e-07,0.0
1949,1.7768785198768455e-07,1.9634016634739737e-09
1950,1.808011518278363e-07,2.1270722960764488e-09
