year,petit_ADJ anneau_NOUN,petit_ADJ canot_NOUN
1800,1.9493819269911228e-07,3.3956976608351397e-07
1801,1.9049460497910786e-07,2.0716288418043405e-07
1802,1.9021641151084623e-07,4.0057338424048794e-07
1803,2.4769307915839534e-07,6.046051481689574e-08
1804,9.14584823430431e-08,1.557266102736321e-07
1805,2.0753007845542015e-07,1.847870549909203e-07
1806,2.1324350996110297e-07,1.0662175498055149e-07
1807,5.4092147649953404e-08,4.868293217441533e-07
1808,1.087715486569607e-07,7.704651494577774e-08
1809,2.213849894516784e-07,1.807224379035688e-07
1810,1.1700634106048824e-07,3.8378078670575633e-07
1811,3.7606151082059114e-08,3.760615285841595e-08
1812,9.335229123053068e-08,1.600324992523383e-07
1813,8.627224667989708e-08,1.00650957790549e-07
1814,1.5418718035675738e-07,1.8880061958270744e-08
1815,1.348611817775236e-07,1.1328339155625144e-07
1816,1.8772591303672925e-07,1.321034233114915e-07
1817,1.9927979622025305e-07,7.317304806520042e-08
1818,1.4901472167316854e-07,1.144433028343883e-07
1819,1.35598753558952e-07,7.866798057420965e-08
1820,2.1003671690777992e-07,2.6106258133040683e-07
1821,1.4496388045515118e-07,6.409967312492881e-08
1822,1.162971443591232e-07,3.178120095981285e-07
1823,1.729470273659217e-07,1.8085316355609393e-07
1824,1.271588034867932e-07,8.757957203897604e-08
1825,1.6378123457450044e-07,1.4528980329941987e-07
1826,8.279505436803447e-08,1.3652375230321923e-07
1827,1.5300673500417972e-07,1.308852830561591e-07
1828,1.6418418624652986e-07,1.0731592681167967e-07
1829,1.466013153095247e-07,1.568891150327545e-07
1830,1.5237780814914004e-07,1.2002361415852647e-07
1831,1.6994414009374736e-07,2.68168747652453e-07
1832,1.7994859469183666e-07,1.5424164701016707e-07
1833,1.3437009371841668e-07,4.0658537159288244e-07
1834,1.0921401050190127e-07,2.4829853373375954e-07
1835,1.5958114829572878e-07,2.1479169731719594e-07
1836,1.236618007993684e-07,1.2971047169685335e-07
1837,1.405493921247114e-07,1.196757182242436e-07
1838,1.2182472008959166e-07,6.375283589932224e-08
1839,1.5241415285416338e-07,1.2864313703175867e-07
1840,1.356743695168916e-07,8.790170369366024e-08
1841,1.7014453668195983e-07,1.7271275964958477e-07
1842,9.391571120787034e-08,1.40202743637019e-07
1843,1.2404513793917715e-07,9.864541539172933e-08
1844,1.0592923610497351e-07,6.366730787021879e-08
1845,1.1216258277713109e-07,8.314539456932835e-08
1846,1.287990325504751e-07,8.430481557297753e-08
1847,1.4993162356091716e-07,1.1056108206730642e-07
1848,1.126331028444838e-07,6.597081636527946e-08
1849,1.1228416241237937e-07,1.0725651122811541e-07
1850,1.4867902020654356e-07,1.1337623107010586e-07
1851,9.287191460316535e-08,9.609663464971163e-08
1852,1.204450923442124e-07,8.984552835045179e-08
1853,1.6482531561834435e-07,1.1107793085329831e-07
1854,1.6366342947549128e-07,7.014146774508845e-08
1855,1.3851105862272561e-07,8.809515605889828e-08
1856,8.852993604868686e-08,6.575030653266367e-08
1857,1.9184330568577934e-07,7.175818694804548e-08
1858,1.365335657865785e-07,8.123502226453638e-08
1859,1.3748868221696853e-07,1.19666069053892e-07
1860,1.8034104964925746e-07,7.46080957014783e-08
1861,1.3770614720742813e-07,9.243289156302126e-08
1862,1.3102160090205928e-07,8.493814362964258e-08
1863,1.0189026156126602e-07,9.389886912458678e-08
1864,2.0137857870139442e-07,5.897515364949868e-08
1865,1.5061901947888146e-07,5.554076309977063e-08
1866,2.1651977455405813e-07,7.541699886814968e-08
1867,1.9750942747975841e-07,7.23068893648815e-08
1868,1.4671425541123995e-07,9.138766898786344e-08
1869,1.4601722442275644e-07,8.350817637392538e-08
1870,1.8635658127763577e-07,4.3578772590535664e-08
1871,1.8162212711558823e-07,4.6733180880664804e-08
1872,1.48764539797952e-07,5.2611852652262314e-08
1873,2.0053115612483907e-07,3.831042860724665e-08
1874,1.7684842923415545e-07,6.631815807622843e-08
1875,2.8550421404816007e-07,4.291145216939185e-08
1876,2.605832505331307e-07,5.74371412653818e-08
1877,1.8925536560132628e-07,1.0637883463004982e-07
1878,1.6909448863344778e-07,8.575506171837333e-08
1879,1.6495178867259597e-07,1.1790997689331562e-07
1880,1.752072014138406e-07,5.904418642899145e-08
1881,2.6146903975288183e-07,7.878933416805012e-08
1882,2.1696556018468982e-07,6.788492612486152e-08
1883,2.3191974163339069e-07,5.624211496524367e-08
1884,1.822068362855589e-07,8.38415488146893e-08
1885,2.139950991963957e-07,3.93183761104865e-08
1886,2.0328410776926376e-07,9.809264867044476e-08
1887,1.7432228904823432e-07,9.728097438710392e-08
1888,1.7753720538138396e-07,8.750048152705858e-08
1889,2.305570330207729e-07,8.457934796979316e-08
1890,1.3698668210881948e-07,8.848422083929108e-08
1891,1.4278252358224108e-07,7.776548471838396e-08
1892,1.2474339339263452e-07,8.587861799469465e-08
1893,1.3302180001950603e-07,6.959010789842068e-08
1894,1.51867102449188e-07,7.309785843290229e-08
1895,1.576877046716163e-07,9.750155527399329e-08
1896,1.285552273522228e-07,5.484237064479203e-08
1897,1.36927766014594e-07,6.817254671886985e-08
1898,1.3183967517704787e-07,6.790025963709923e-08
1899,1.2602878918244187e-07,8.014988850391092e-08
1900,1.4638769352259828e-07,7.423206227485935e-08
1901,1.2015788919406134e-07,5.532851687917173e-08
1902,2.0574089143465812e-07,3.093478895266344e-08
1903,1.3662557329929825e-07,9.342380735688494e-08
1904,1.0158041696683995e-07,6.019580212068831e-08
1905,1.3314758651183922e-07,5.3155819301764495e-08
1906,1.5844088174787885e-07,6.430230570231288e-08
1907,1.758852423705548e-07,7.097123955190909e-08
1908,1.4537712167417283e-07,6.630375537497457e-08
1909,1.0671908290404986e-07,3.6306492035009796e-08
1910,1.2772520441295399e-07,3.740905540894346e-08
1911,1.5961122734609035e-07,5.213966502992662e-08
1912,1.4690567695652135e-07,3.80287765722187e-08
1913,1.3416564492718663e-07,5.037840367094759e-08
1914,1.3728324343986742e-07,6.094036564263661e-08
1915,2.0851948789868402e-07,3.7698438148936475e-08
1916,1.4723198904498247e-07,5.8233549538044826e-08
1917,1.217273066789204e-07,1.973956464951243e-08
1918,1.0797193539247019e-07,6.432370724951397e-08
1919,1.0404868749924745e-07,5.800944435918609e-08
