year,petit_ADJ or_NOUN,petit_ADJ corps_NOUN
1800,3.144164484325529e-09,1.782741264833021e-06
1801,0.0,1.5477686474696384e-06
1802,0.0,1.6112448975036386e-06
1803,1.950339223455444e-09,1.7845603679234046e-06
1804,0.0,1.5399631365653477e-06
1805,8.528633133053631e-09,1.429967483090877e-06
1806,5.76333825108577e-09,2.1180267140152864e-06
1807,5.693910232196231e-09,1.3807732557324925e-06
1808,0.0,1.2825978501496138e-06
1809,6.7770915546105925e-09,1.6852367252795375e-06
1810,2.3401267590372754e-09,1.1911245110240998e-06
1811,0.0,1.5293168189600692e-06
1812,2.6672082320544632e-09,1.1895748457391164e-06
1813,0.0,9.748764568939805e-07
1814,0.0,1.6394187696278095e-06
1815,0.0,1.4403174191102153e-06
1816,6.952811659743929e-09,2.5099650429183384e-06
1817,4.670620334934483e-09,1.9071699171036016e-06
1818,1.1921177378582115e-09,1.8227480040877708e-06
1819,1.035105001712111e-09,1.8818209355231375e-06
1820,1.779972080839798e-08,1.6185880440389155e-06
1821,7.88919063410276e-09,1.5413505707329023e-06
1822,3.0076847679083585e-09,1.5319141084546573e-06
1823,9.882686891060644e-10,1.9478775357129052e-06
1824,1.6842225392110777e-09,1.6909593796299305e-06
1825,4.4027217427355936e-09,1.574413204252778e-06
1826,0.0,1.757192876539193e-06
1827,2.7651819167751057e-09,1.579840613885608e-06
1828,2.7516904310687096e-09,1.8408808273306931e-06
1829,8.573175946935407e-09,1.3116958825776237e-06
1830,3.1310507520032616e-09,1.5321274986490607e-06
1831,0.0,1.5653571381335496e-06
1832,0.0,1.2718171547021484e-06
1833,6.950177100506494e-09,1.2741991213260917e-06
1834,9.334530925997342e-10,1.1518810651978129e-06
1835,2.2689263801112247e-09,1.296313257626025e-06
1836,1.3441500135158435e-09,1.3616239584735013e-06
1837,6.957890930081589e-10,1.601010694685101e-06
1838,1.2624323808552163e-09,1.5647849522792967e-06
1839,2.7965901816529026e-09,1.4842901236988837e-06
1840,0.0,1.453562958886323e-06
1841,6.420548537278137e-10,1.2166939313829062e-06
1842,0.0,1.4630726354880608e-06
1843,4.134837805480629e-09,1.1181782610947266e-06
1844,0.0,1.1289970416328288e-06
1845,8.928364714222425e-09,1.1701738458214095e-06
1846,1.1709002656346001e-09,1.0081450909638079e-06
1847,1.6179670936367074e-09,1.1568464515221422e-06
1848,7.240699539945439e-09,1.1512712490002741e-06
1849,0.0,8.882179827196524e-07
1850,6.788996032014438e-10,1.169743995887984e-06
1851,3.2247193804124663e-09,1.1525147556312731e-06
1852,1.3021090872200602e-09,1.051453068612318e-06
1853,1.1943863675867306e-09,1.2099134210075135e-06
1854,1.5586993362681767e-09,1.2246181313457782e-06
1855,5.306937111981824e-10,1.301791712648992e-06
1856,5.177189232874468e-10,1.0204239515587687e-06
1857,0.0,1.3790263437840622e-06
1858,4.893676019968041e-10,1.3090583479424822e-06
1859,0.0,1.6814356058603153e-06
1860,1.8308735638683515e-09,1.3621698826682405e-06
1861,3.301174722469824e-09,1.1506951977935387e-06
1862,3.1625904395315985e-09,1.1909411341548548e-06
1863,5.9935452156878455e-09,1.050868263519078e-06
1864,1.4384183844029508e-09,8.232547656916722e-07
1865,1.4120533631256649e-09,1.079279400073574e-06
1866,1.9462451650298362e-09,1.1818573284472222e-06
1867,1.455843445796745e-09,1.1161466773046413e-06
1868,3.951899252285784e-09,1.0684947255867883e-06
1869,4.395167341186834e-09,9.732854096000665e-07
1870,3.4404292748035914e-09,9.96577682599309e-07
1871,0.0,1.1407144029362826e-06
1872,0.0,1.110896278078144e-06
1873,5.986004469882289e-10,1.0595227877274738e-06
1874,1.7923826867161097e-09,1.2307694987612194e-06
1875,1.7164581422868253e-09,9.732317494126619e-07
1876,1.209202959984168e-09,1.2128306252634502e-06
1877,2.4739263970730008e-09,9.883335678750882e-07
1878,3.019544281279707e-09,1.048989702212566e-06
1879,6.10932526790009e-10,1.0330868462915532e-06
1880,3.2089231272180996e-09,8.484392992613721e-07
1881,2.7890030285249168e-09,1.0416925988465664e-06
1882,6.655385131892899e-10,1.0116185649167164e-06
