year,fût_VERB en_ADP
1800,2.3329700979957124e-06
1801,2.3740390133752953e-06
1802,2.202034693254973e-06
1803,2.1999826458340976e-06
1804,3.0379048894246807e-06
1805,2.3908601178845856e-06
1806,3.1122026484808885e-06
1807,2.6078109840455e-06
1808,2.7351513836038066e-06
1809,2.8734868919855217e-06
1810,2.7777305149356835e-06
1811,2.3491309093515156e-06
1812,2.5658544018369867e-06
1813,2.3581080768053653e-06
1814,2.2404340143111767e-06
1815,2.308823468410992e-06
1816,2.303698238392826e-06
1817,2.9066825391055318e-06
1818,2.811013700920739e-06
1819,3.0463140774372732e-06
1820,2.699624474189477e-06
1821,3.130036475340603e-06
1822,2.999664275193936e-06
1823,4.5361534830590244e-06
1824,3.4080242130585248e-06
1825,3.3469489153503673e-06
1826,3.288020479885745e-06
1827,3.308079385533347e-06
1828,2.9094539968355093e-06
1829,3.0563371637981618e-06
1830,2.8596930405910825e-06
1831,2.4743244466662873e-06
1832,2.171560026908992e-06
1833,2.9862594601581804e-06
1834,2.540859213695512e-06
1835,2.8414522148523247e-06
1836,2.8536305762827396e-06
1837,2.761586983979214e-06
1838,3.2210962217504857e-06
1839,2.744154016909306e-06
1840,2.968274884551647e-06
1841,2.9052982881694334e-06
1842,2.7034307095163967e-06
1843,2.4466426111757755e-06
1844,2.610908495626063e-06
1845,2.5825295324466424e-06
1846,2.58944601227995e-06
1847,2.174547717004316e-06
1848,2.1689918412448606e-06
1849,2.1350749648263445e-06
1850,2.3028273972158786e-06
1851,2.353400304855313e-06
1852,2.297571427334333e-06
1853,2.2364883989212103e-06
1854,2.43053182202857e-06
1855,2.189111455663806e-06
1856,2.205482587669394e-06
1857,2.490057795512257e-06
1858,2.3279217202798463e-06
1859,2.3255954602063866e-06
1860,2.2272577098192414e-06
1861,2.1127516447450034e-06
1862,2.3236002562043723e-06
1863,1.9928536403313046e-06
1864,1.992209490708774e-06
1865,2.103959332089289e-06
1866,2.124326556440792e-06
1867,2.056621497104061e-06
1868,1.9932392660848564e-06
1869,2.1272610410960624e-06
1870,2.0143713754805503e-06
1871,1.8130349417333491e-06
1872,2.102659891534131e-06
1873,1.9113313101115637e-06
1874,1.972815880435519e-06
1875,1.919000169436913e-06
1876,1.7974801949094399e-06
1877,1.6012488686101278e-06
1878,1.6474633639518288e-06
1879,1.727106223370356e-06
1880,1.739236381581577e-06
1881,1.6559705500185373e-06
1882,1.8435416677675676e-06
1883,1.6202784536289982e-06
1884,1.5989310213626595e-06
1885,1.4857190535622067e-06
1886,1.589488192621502e-06
1887,1.4461568298429484e-06
1888,1.5635955605830532e-06
1889,1.52806683217932e-06
1890,1.389529984408e-06
1891,1.3608960216515698e-06
1892,1.45993658406951e-06
1893,1.4743249039383954e-06
1894,1.3863386811863165e-06
1895,1.3656235751113854e-06
1896,1.473077873015427e-06
1897,1.3820964568367344e-06
1898,1.4264712717704242e-06
1899,1.4056631698622368e-06
1900,1.3221612107372493e-06
1901,1.2675259313255083e-06
1902,1.1917259143956471e-06
1903,1.325214043390588e-06
1904,1.1888671451742994e-06
1905,1.3061880963505246e-06
1906,1.184191319225647e-06
1907,1.2306824146435247e-06
1908,1.2641914963751333e-06
1909,1.2861299865107867e-06
1910,1.1356320328559377e-06
1911,1.1949559848289937e-06
1912,1.1945203368668444e-06
1913,1.1921121085833875e-06
1914,1.1444734582255478e-06
1915,1.1945692222070647e-06
1916,1.1646709481283324e-06
1917,1.2370127251415397e-06
1918,1.1578267731238157e-06
1919,1.1758422715502093e-06
1920,1.147950342783588e-06
1921,1.1404557653804659e-06
1922,1.2549868415590026e-06
1923,1.2611745887625148e-06
1924,1.1782944966398645e-06
1925,1.2295962505959324e-06
1926,1.2349921689747134e-06
1927,1.2197251635370776e-06
1928,1.0671922154870117e-06
1929,1.2499535841925535e-06
1930,1.1270366258031572e-06
1931,1.1063195870519849e-06
1932,1.0630750466589234e-06
1933,9.910652352118632e-07
1934,9.741024769027717e-07
1935,1.1669077366605052e-06
1936,9.639147720008623e-07
1937,9.367792017656029e-07
1938,9.607224455976393e-07
1939,1.0277601631969446e-06
1940,7.303054871954373e-07
1941,8.79547769727651e-07
1942,9.527424822408648e-07
1943,1.1409714488763711e-06
1944,1.0185800647377619e-06
1945,9.628987527321442e-07
1946,1.0510433412491693e-06
1947,1.1122172054456314e-06
1948,9.371567557536764e-07
1949,9.021830464917002e-07
1950,1.044392547555617e-06
1951,1.0629418056851136e-06
1952,7.634437793058169e-07
1953,8.629835974716116e-07
1954,1.0075484624394448e-06
1955,8.203021479857853e-07
1956,8.258921297965571e-07
1957,6.661618385805923e-07
1958,8.048892823353526e-07
1959,7.991021107045526e-07
1960,8.346524964508717e-07
1961,7.879212375883071e-07
1962,7.534244446105731e-07
1963,8.780900202509656e-07
1964,8.766998575993057e-07
1965,8.727909062145045e-07
1966,8.075970754362061e-07
1967,8.810509939394251e-07
1968,9.086134014069103e-07
1969,8.293249607049802e-07
1970,7.252189107020968e-07
1971,7.758980018479633e-07
1972,6.761533768440131e-07
1973,6.95215021551121e-07
1974,5.912475558034203e-07
1975,5.814287078464986e-07
1976,6.004916599522403e-07
1977,5.500667725755193e-07
1978,6.124749916125438e-07
1979,6.583470053556084e-07
1980,5.611243523162557e-07
1981,4.845371108785912e-07
1982,5.015662054574932e-07
1983,5.020676212552644e-07
1984,4.6276088028207596e-07
1985,5.059084173808515e-07
1986,5.30511954366375e-07
1987,5.151418349669257e-07
1988,4.953153620590456e-07
1989,5.098465294395282e-07
1990,4.952823928761063e-07
1991,4.566081486245821e-07
1992,6.386025006577256e-07
1993,4.5144540194996807e-07
1994,4.847657351092494e-07
1995,4.5711260554526234e-07
1996,4.564068945001054e-07
1997,4.0852501115296036e-07
1998,4.1005910134117585e-07
1999,4.277708285371773e-07
2000,3.817179106135882e-07
2001,4.192819744730514e-07
2002,4.122729535538383e-07
2003,4.5502798684537993e-07
2004,4.241813940097927e-07
2005,4.3731409959946177e-07
2006,4.550268499770027e-07
2007,4.2101814301531704e-07
2008,4.0658548527972016e-07
2009,4.391505399325979e-07
2010,4.860783064941643e-07
2011,5.204425974625337e-07
2012,6.655313882220071e-07
2013,7.633835252818244e-07
2014,8.531853836757364e-07
2015,8.64021103552659e-07
2016,9.66487277764827e-07
2017,5.695343929801311e-07
2018,7.284899083970231e-07
2019,7.175928544711496e-07
