year,tout_DET canal_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,4.2518962573012686e-08
1803,7.021220937986072e-08
1804,8.404292906050159e-08
1805,4.264316544322355e-08
1806,8.645007376628655e-09
1807,1.9928686256776018e-08
1808,3.172503681980743e-08
1809,6.777091510201672e-08
1810,1.1700633351097167e-08
1811,1.754953706800677e-07
1812,2.1337665856435706e-08
1813,8.627224934443234e-09
1814,1.2586708564299443e-08
1815,5.933891955578474e-08
1816,1.0660977523002657e-07
1817,1.556873407970727e-09
1818,2.7418708414828075e-08
1819,1.2421260464634543e-08
1820,1.1866481131050932e-09
1821,2.0709124859408234e-08
1822,2.606660132187244e-08
1823,3.2612866740500124e-08
1824,6.736890156844311e-09
1825,5.283265824829186e-09
1826,1.4092774947016551e-08
1827,3.59473661393217e-08
1828,1.1006761724274838e-08
1829,5.143905745796928e-09
1830,8.349468672008697e-09
1831,4.2096257146795324e-08
1832,5.411987658021644e-08
1833,2.895907214028881e-08
1834,7.467624740797874e-09
1835,3.100866052818674e-08
1836,1.747394939854985e-08
1837,1.1828414692161004e-08
1838,1.3886756633496589e-08
1839,1.8876983531868063e-08
1840,2.9300567971901614e-08
1841,1.6693426196923156e-08
1842,3.018719141323345e-08
1843,4.193907021665666e-08
1844,1.0428266472573e-08
1845,1.785672898435564e-08
1846,1.2879902477891392e-08
1847,4.314578916364553e-09
1848,1.769948765328877e-08
1849,1.6758829879393033e-09
1850,8.146795238417326e-09
1851,1.6123597124106936e-08
1852,2.669323606596663e-08
1853,1.3735443005202796e-08
1854,2.701745605016015e-08
1855,4.776243400783642e-09
1856,8.801221529353143e-09
1857,2.2454941128735584e-08
1858,1.5170396494568195e-08
1859,6.61982535454797e-09
1860,7.32349442200686e-09
1861,1.8863854478468056e-08
1862,1.400575744270327e-08
1863,7.4919311865429e-09
1864,9.589456340108882e-09
1865,1.4591217234460885e-08
1866,1.4596838737723772e-09
1867,9.220341823379385e-09
1868,1.5313609158518204e-08
1869,2.148748501351605e-08
1870,1.3188312220080434e-08
1871,2.1242353653860846e-08
1872,1.3908880269752899e-08
1873,1.0176207432266438e-08
1874,2.4495896866483235e-08
1875,1.0870901512305409e-08
1876,1.269663130187837e-08
1877,3.5871931536313184e-08
1878,1.5097721739465442e-08
1879,1.7717043832021773e-08
1880,4.428313893356517e-08
1881,4.880755405389792e-08
1882,3.327692676968752e-08
1883,2.9700892190120953e-08
1884,3.234831424947515e-08
1885,1.7403216867606375e-08
1886,1.4842966855610484e-08
1887,1.4363634337488662e-08
1888,1.521747527988282e-08
1889,1.3783300722991498e-08
1890,1.9007720397645755e-08
1891,1.9122660233072963e-08
1892,1.1283322720601063e-08
1893,1.9091091429945806e-08
1894,1.5123694518948128e-08
1895,2.4074457538603156e-08
1896,2.0049897742069334e-08
1897,1.8062812801034056e-08
1898,2.9423445013776472e-08
1899,2.984892333302014e-08
1900,2.1802422311978376e-08
1901,2.6267072072982955e-08
1902,3.682712879093941e-08
1903,1.944079364157858e-08
1904,1.5048950530172078e-08
1905,2.8900251081154238e-08
1906,3.858138253320931e-08
1907,2.0057089766822855e-08
1908,9.822778146428846e-09
1909,9.351672325408344e-09
1910,1.0153886509378651e-08
1911,2.3941683302552974e-08
1912,7.2931894967709354e-09
1913,2.1742258216050914e-08
1914,9.37544086809794e-09
1915,4.712304768617059e-09
1916,6.592477230782379e-09
1917,1.864292187292449e-08
1918,9.189101035644853e-09
1919,4.603924186330488e-09
1920,1.1358347151713133e-08
1921,2.8019165654313838e-08
1922,1.4755870636484758e-08
1923,1.6985516992917837e-08
1924,1.0313299547703991e-08
1925,2.1996356736053713e-08
1926,1.0031524944054127e-08
1927,7.804457524684949e-09
1928,5.713020723163709e-09
1929,8.912325100141061e-09
1930,1.3654684494213143e-08
1931,2.2810713318222042e-09
1932,7.6716757391182e-09
1933,1.1470662197865522e-09
1934,3.5944740517379614e-09
1935,1.196828414151696e-09
1936,6.0623572828433225e-09
1937,3.273690651894867e-08
1938,9.075650453382877e-09
1939,9.176430282309411e-09
