year,tout_DET cadeau_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,1.3336041604361526e-08
1813,2.300593315851529e-08
1814,3.1466771410748606e-09
1815,3.236668177919455e-08
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,0.0
1820,0.0
1821,1.2819934447350079e-08
1822,6.015369535816717e-09
1823,4.941343334508019e-09
1824,0.0
1825,8.805443041381977e-10
1826,1.4092774947016551e-08
1827,2.7651818612639545e-09
1828,0.0
1829,8.573175946935407e-09
1830,0.0
1831,0.0
1832,0.0
1833,1.1583628500844156e-09
1834,0.0
1835,0.0
1836,5.376600054063374e-09
1837,2.7831563720326358e-09
1838,5.049729523420865e-09
1839,1.4682098203877558e-08
1840,6.369688665408546e-10
1841,1.7977535904378783e-08
1842,1.0062397137744483e-08
1843,4.7255288571079745e-09
1844,4.390849017710252e-09
1845,3.9061593959388574e-09
1846,7.610851504580296e-09
1847,5.393223645455691e-10
1848,0.0
1849,1.6758829879393033e-09
1850,6.788996032014438e-10
1851,3.8696632564949596e-09
1852,7.812654523320361e-09
1853,4.180352064508952e-09
1854,3.63696517347023e-09
1855,5.306937111981824e-09
1856,3.6240324075009767e-09
1857,6.345961978126979e-09
1858,6.8511463169329545e-09
1859,8.656694916453489e-09
1860,5.950338888283113e-09
1861,9.903524222920623e-09
1862,6.776979422085105e-09
1863,2.9967726078439227e-09
1864,1.1986820425136102e-08
1865,2.3534221238463715e-09
1866,3.4059290943133647e-09
1867,8.249779526181555e-09
1868,9.385760613156435e-09
1869,2.4417595723136287e-09
1870,2.8670243956696595e-09
1871,4.248470908407853e-09
1872,4.23313739617015e-09
1873,5.986004469882289e-10
1874,6.572069999322139e-09
1875,5.149374260327022e-09
1876,1.5115036333668286e-08
1877,0.0
1878,3.6234530931267273e-09
1879,3.665595160740054e-09
1880,6.417846032391594e-09
1881,2.789003084036068e-09
1882,0.0
1883,6.319338829996468e-09
1884,0.0
1885,1.6114089618213256e-08
1886,6.4534639854230136e-09
1887,3.264462256069578e-09
1888,8.242799331981132e-09
1889,3.132568426877924e-09
1890,3.9326319978272295e-09
1891,8.286486163910922e-09
1892,1.2537024751679837e-09
1893,1.2316833108982905e-09
1894,1.8904617871129403e-09
1895,6.018614495673091e-09
1896,4.1279202278587945e-09
1897,5.826713556089658e-10
1898,1.584339370808152e-08
1899,4.9748205555033564e-09
1900,2.595526460424935e-09
1901,2.794369402536745e-09
1902,1.4730852093691738e-09
1903,1.6200660812870638e-09
1904,8.061937784020756e-09
1905,1.5482277682110634e-09
1906,4.629765903985117e-09
1907,4.114274698707732e-09
1908,1.0313917275794893e-08
1909,4.4007870125817306e-09
1910,1.6032452032632705e-09
1911,5.3203743632934675e-09
1912,6.251305417759312e-09
1913,9.545381152165078e-09
1914,4.68772043404897e-09
