year,auront_VERB assez_ADV,auront_VERB cassé_VERB
1800,9.432493186523061e-08,0.0
1801,1.9049460320275102e-07,0.0
1802,7.161088433349505e-08,0.0
1803,1.911332390136522e-07,0.0
1804,8.898663139689234e-08,2.4718509461507665e-09
1805,9.950071699904584e-08,0.0
1806,1.2391177506287931e-07,0.0
1807,1.0249038240317532e-07,0.0
1808,6.798222074166915e-08,0.0
1809,2.710836710662079e-08,0.0
1810,8.190443878675069e-08,0.0
1811,7.019814773912003e-08,0.0
1812,1.226915742336132e-07,0.0
1813,7.476928232108548e-08,0.0
1814,1.604805390797992e-07,0.0
1815,9.710004889029733e-08,0.0
1816,5.7940098940889584e-08,0.0
1817,9.963989811012652e-08,0.0
1818,6.795070817133819e-08,1.7881765401739358e-08
1819,1.2524770909294602e-07,0.0
1820,1.1154492085552192e-07,0.0
1821,7.691961201317099e-08,0.0
1822,8.622029668003961e-08,0.0
1823,5.5343047478118024e-08,0.0
1824,7.242157096243318e-08,0.0
1825,9.862095851076447e-08,8.805443041381977e-10
1826,1.0569581121444571e-07,0.0
1827,9.493790997794349e-08,4.608636583469661e-09
1828,7.704733206992387e-08,0.0
1829,5.915491385621863e-08,2.571952872898464e-09
1830,1.2106730196137505e-07,1.0436835840010872e-09
1831,9.042899762334855e-08,4.677361609140007e-09
1832,1.1635773944362882e-07,0.0
1833,6.718504863556518e-08,0.0
1834,1.166816332442977e-07,1.8669061851994684e-09
1835,8.773182003096736e-08,7.563087933704082e-10
1836,1.0081124912630912e-07,0.0
1837,7.931995327226105e-08,0.0
1838,1.009945904684173e-07,0.0
1839,9.927894950578775e-08,0.0
1840,9.809320289377865e-08,6.369688665408546e-10
1841,9.052973126699726e-08,0.0
1842,8.45241387992246e-08,6.708265054555795e-10
1843,8.860366307317236e-08,1.1813822142769936e-09
1844,7.190015338665035e-08,0.0
1845,8.426144404438674e-08,0.0
1846,1.2470087540350505e-07,0.0
1847,8.089835290547853e-08,0.0
1848,6.838438793010937e-08,0.0
1849,9.720121596501485e-08,0.0
1850,1.1066063621001376e-07,0.0
1851,7.67483214758613e-08,6.449438760824933e-10
1852,8.398603768000612e-08,1.3021090872200602e-09
1853,1.1585547810000207e-07,5.971931837933653e-10
1854,1.397633724309344e-07,0.0
1855,9.234070574848374e-08,1.0613874223963649e-09
1856,7.714012184578678e-08,0.0
1857,4.393358210563747e-08,1.9526036343364694e-09
1858,9.444794812907276e-08,0.0
1859,5.754155907311542e-08,0.0
1860,6.087654469411063e-08,0.0
1861,7.687020797675359e-08,4.715963730639317e-10
1862,9.668490719150213e-08,0.0
1863,5.6439215967429845e-08,0.0
1864,1.0931979943507031e-07,0.0
1865,4.753912818955541e-08,4.23615986733239e-09
1866,4.330395597662573e-08,4.865612912574591e-10
1867,5.338092634588065e-08,0.0
1868,7.558007553143398e-08,1.4819622196071691e-09
1869,1.0353060275747339e-07,2.9301114867763545e-09
1870,5.5620272831902184e-08,0.0
1871,1.083360103848463e-07,0.0
1872,6.954439868422924e-08,6.047339295989218e-10
1873,6.524744833313889e-08,0.0
1874,6.392831863877291e-08,0.0
1875,4.405575992905142e-08,5.721527140956084e-10
1876,7.920279188056156e-08,3.02300739996042e-09
1877,5.00970109840182e-08,2.4739263970730008e-09
1878,5.918306911212312e-08,3.0195443923020093e-09
1879,7.086817532808709e-08,0.0
1880,9.305877313181554e-08,0.0
1881,6.344981784422998e-08,8.367009307619355e-09
1882,6.522277118392594e-08,1.3310770263785798e-09
1883,6.5721124542506e-08,2.5277355764075082e-09
1884,8.186104594187782e-08,0.0
1885,5.994441210077639e-08,1.933690763067375e-09
1886,3.549405036551434e-08,6.453463874400711e-10
1887,7.834709236931303e-08,0.0
1888,7.545331470737437e-08,6.340614699951175e-10
1889,6.01453109538852e-08,6.265136742733546e-10
1890,7.144281255477836e-08,5.243509182406569e-09
1891,4.84440718651058e-08,6.374220040683554e-10
1892,6.581937839200691e-08,3.1342561879199593e-09
1893,8.498614789687053e-08,0.0
1894,6.868678070759415e-08,0.0
1895,8.60661870660806e-08,0.0
1896,4.717623269812066e-08,0.0
1897,4.8944393427063915e-08,4.661370844871726e-09
1898,6.507108452069588e-08,5.6583548957434e-10
1899,6.798921248218903e-08,0.0
1900,5.2429637520390315e-08,1.038210628578895e-09
1901,5.47696430430733e-08,0.0
1902,5.3031065760933416e-08,0.0
1903,7.722314876446035e-08,1.6200660812870638e-09
1904,5.5896101969210576e-08,5.374625189347171e-10
1905,5.934872859825191e-08,5.160759042333041e-10
1906,6.944649300066885e-08,0.0
1907,4.0628464148539933e-08,1.5428529565042481e-09
1908,3.97822503828138e-08,1.964555629285769e-09
1909,5.3909637642846064e-08,1.6502950117569526e-09
1910,5.9320072409718705e-08,0.0
