year,avaient_VERB assez_ADV,avaient_VERB cassé_VERB
1800,1.5091990235305275e-07,6.288328968651058e-09
1801,2.571677271134831e-07,9.524730337773235e-09
1802,1.1636768704192946e-07,0.0
1803,1.501761204281138e-07,5.851017448321727e-09
1804,1.7302956223375077e-07,4.943701892301533e-09
1805,1.3930100806192058e-07,5.685755422035754e-09
1806,1.9019016406218725e-07,2.881669125542885e-09
1807,3.188589801084163e-07,0.0
1808,2.515342032438639e-07,1.3596443970698147e-08
1809,1.5587310997489112e-07,9.036122072814123e-09
1810,1.708292529656319e-07,0.0
1811,1.7298829391165782e-07,0.0
1812,2.3738152776786592e-07,1.0668832928217853e-08
1813,1.6966875193702435e-07,5.751483289628823e-09
1814,1.7621391634747852e-07,3.1466771410748606e-09
1815,1.726223075593225e-07,8.091670444798638e-09
1816,2.4798362119327066e-07,1.8540831092650478e-08
1817,3.362846427990007e-07,6.227493631882908e-09
1818,3.588274353205634e-07,1.9073883805731384e-08
1819,3.115665947461821e-07,2.070209959015301e-08
1820,4.1176690501742996e-07,9.493184904840746e-09
1821,2.7710783001566597e-07,2.070912508145284e-08
1822,2.987633536122303e-07,3.107940926838637e-08
1823,3.1229291153067607e-07,6.621399961659336e-08
1824,2.9221260433587304e-07,2.105278085196005e-08
1825,4.323472637679515e-07,1.4969252504215547e-08
1826,3.267762167524779e-07,3.8755132436563144e-08
1827,3.9173411892079457e-07,2.6730091917670507e-08
1828,3.6597481312128366e-07,4.677873732816806e-08
1829,3.9436611132259713e-07,2.6576845613135447e-08
1830,4.1016764384949056e-07,4.0703660886265425e-08
1831,2.946737822639989e-07,4.677361786775691e-08
1832,4.89784895307821e-07,3.2471927369215337e-08
1833,3.6256756175134797e-07,3.4750886612755494e-08
1834,3.8644958522127126e-07,1.7735608537350345e-08
1835,3.524398834997555e-07,1.9664028627630614e-08
1836,3.911476653684076e-07,2.352262562510532e-08
1837,3.8337978480740276e-07,1.530736071231331e-08
1838,4.475322725738806e-07,1.830527018853445e-08
1839,3.845311482564284e-07,7.690622361167243e-09
1840,4.3441275465738727e-07,3.3122379505812205e-08
1841,4.077048458839272e-07,1.219904177673925e-08
1842,3.796878047523933e-07,2.3478927246856074e-08
1843,4.235255346429767e-07,1.8902115428431898e-08
1844,4.2371692643428105e-07,2.305195678786731e-08
1845,4.034504854644183e-07,1.9530798311961917e-08
1846,3.3604837312850577e-07,6.439951683034906e-09
1847,3.829188699455699e-07,2.588747349818732e-08
1848,2.888234575948445e-07,2.091757700384278e-08
1849,2.5054450247807836e-07,1.75967720394965e-08
