year,ont_VERB omis_VERB,ont_VERB commis_VERB
1800,8.803660733747165e-08,1.1601966889429605e-06
1801,9.762848662830947e-08,1.0977252031807438e-06
1802,1.1860552717735118e-07,1.0338821994082537e-06
1803,1.2287136996746995e-07,8.776526669862506e-07
1804,2.3482583344502928e-07,1.0801988992170664e-06
1805,1.2224374756897305e-07,1.0746077805379173e-06
1806,1.930718269704812e-07,1.1238510069233598e-06
1807,2.5337899955957255e-07,1.2270376146261697e-06
1808,2.787271000670444e-07,1.155697759713803e-06
1809,1.1746958961111886e-07,1.3599363910543616e-06
1810,2.386929338626942e-07,1.6661703057252453e-06
1811,1.7549537290051376e-07,1.1131420478704968e-06
1812,1.7336853375127248e-07,1.1709043974406086e-06
1813,2.3581081620704936e-07,9.748764568939805e-07
1814,1.7306724942045548e-07,1.6929122921283124e-06
1815,1.1867783911156948e-07,1.7504980860394426e-06
1816,1.8309070526356663e-07,1.3349398386708344e-06
1817,1.8059731132780144e-07,9.88614601737936e-07
1818,1.7524131123991538e-07,1.08840345092176e-06
1819,1.9874016743415268e-07,1.3911811720390688e-06
1820,1.0798498095709874e-07,1.4572038935511955e-06
1821,1.8342367980039853e-07,1.340176254416292e-06
1822,2.245737960038241e-07,1.4346655916597228e-06
1823,1.917241263527103e-07,1.270913571715937e-06
1824,2.7537038249647594e-07,1.1899031733264565e-06
1825,1.215151144151605e-07,1.2310009651628206e-06
1826,1.9113325322450692e-07,1.1802699191321153e-06
1827,2.636139981859742e-07,1.4978069202697952e-06
1828,3.0360317282429605e-07,1.6858689377841074e-06
1829,2.503367397821421e-07,1.335700858362543e-06
1830,2.9118771749381267e-07,1.248245553142624e-06
1831,2.4945930476860667e-07,1.4686916074424516e-06
1832,1.6506562872109498e-07,1.580300477144192e-06
1833,2.1313876175099722e-07,1.3796101256957627e-06
1834,1.8108990218479448e-07,1.3609745792564354e-06
1835,1.845393455823796e-07,1.2819433550248505e-06
1836,1.9893420244443405e-07,1.4207665799403912e-06
1837,1.941251639436814e-07,1.325478251601453e-06
1838,2.3165634388533363e-07,1.1342955303916824e-06
1839,2.2232890728446364e-07,1.0277468618369312e-06
1840,2.3185667430425383e-07,1.4115230442257598e-06
1841,2.1894069845984632e-07,1.236597654497018e-06
1842,2.3478928312670178e-07,1.370498580399726e-06
1843,2.1028603214290342e-07,1.3125156783644343e-06
1844,1.888065099819869e-07,1.320547880823142e-06
1845,1.4508592016682087e-07,1.3760842421106645e-06
1846,1.7329324464299134e-07,1.3910295137975481e-06
1847,2.831442316164612e-07,1.8191343542639515e-06
1848,2.2204811500614596e-07,1.492388605583983e-06
1849,2.3546155603071384e-07,1.2669675015786197e-06
1850,1.575047008373076e-07,1.129010001932329e-06
1851,2.2444046976488607e-07,1.3156854947737884e-06
