year,devaient_VERB ouvrir_VERB,devaient_VERB couvrir_VERB
1800,4.7162465932615305e-08,3.144164395507687e-08
1801,1.1905912700171939e-08,1.1905912700171939e-08
1802,0.0,2.6854081625060644e-08
1803,3.315576790896557e-08,1.3652374342143503e-08
1804,0.0,3.707776485839531e-08
1805,2.2743021688143017e-08,5.685755422035754e-09
1806,5.76333825108577e-09,2.881669125542885e-08
1807,0.0,5.693910054560547e-08
1808,2.2660739951163578e-09,3.852325747288887e-08
1809,1.129515236897305e-08,2.4849335034105025e-08
1810,4.44624070894406e-08,2.3401267590372754e-09
1811,1.2535384286138651e-08,7.771937760026049e-08
1812,2.1337665856435706e-08,2.400487453257938e-08
1813,2.0130190847567064e-08,0.0
1814,2.2026739543434815e-08,1.2586708564299443e-08
1815,1.3486118000116676e-08,3.506390555685357e-08
1816,6.952811659743929e-09,3.9399267848239106e-08
1817,3.269434145636296e-08,3.113746771532533e-08
1818,2.8610825708597076e-08,5.2453181353939726e-08
1819,2.173720581311045e-08,5.3825459644940565e-08
1820,1.3053129244156025e-08,5.93324074316115e-08
1821,1.7750679148775816e-08,2.2681422962023134e-08
1822,1.4035862250239006e-08,2.5064039732569654e-08
1823,2.075364236020505e-08,4.0519015698237126e-08
1824,2.6105450245950124e-08,4.0421340941065864e-08
1825,1.6730341556581152e-08,3.610231757988913e-08
1826,2.4662355713189754e-08,6.165588928297439e-08
1827,3.3182182335167454e-08,4.147772969531616e-08
1828,3.760643352279658e-08,6.787502826455238e-08
1829,2.6576845613135447e-08,3.6864655328372464e-08
1830,3.026682549034376e-08,2.6092090266160994e-08
1831,5.3010101197514814e-08,5.14509785887185e-08
1832,8.117981309396782e-08,5.276687886635045e-08
1833,1.2741991461950875e-08,4.40177885252524e-08
1834,3.267085801894609e-08,4.1071935186209885e-08
1835,2.193295500774184e-08,3.6302822081779595e-08
1836,3.1587525484155776e-08,3.696412420595152e-08
1837,4.1051556820548285e-08,4.174734513640033e-08
1838,2.209256599883247e-08,2.840472923537618e-08
1839,4.6842885126352485e-08,1.8177836125232716e-08
1840,2.7389662093924017e-08,4.395085184683012e-08
1841,2.3756030032018316e-08,2.8892468861840825e-08
1842,1.8112315203211438e-08,4.092041550052272e-08
1843,5.079943576902224e-08,4.8436671562512856e-08
1844,8.452384037127558e-08,4.555505839221041e-08
1845,3.794555070157912e-08,7.086889297625021e-08
1846,2.5759806732139623e-08,4.039605983052752e-08
1847,2.7505439703645607e-08,3.613459753637471e-08
1848,1.689496542667257e-08,2.976732105253177e-08
1849,2.513824526317876e-08,7.876649732452279e-08
1850,5.159636984330973e-08,6.245876704724651e-08
1851,3.676180071465751e-08,7.997304152240758e-08
1852,5.338647213193326e-08,7.487127362537649e-08
1853,4.060913738612726e-08,6.210809289086683e-08
1854,3.792835201466005e-08,3.636965217879151e-08
1855,6.368324534378189e-08,4.5108965451845506e-08
1856,6.316170697573398e-08,1.7084724746041502e-08
1857,5.369659916709679e-08,2.0990489346672803e-08
1858,6.068158597827278e-08,3.229826006645453e-08
1859,5.092173438470127e-08,2.2914779407301467e-08
1860,5.2179895959625355e-08,2.4259074749011234e-08
1861,4.008569121083383e-08,5.0932406736592384e-08
1862,3.975828022362293e-08,4.066187742068905e-08
1863,3.1965573299430616e-08,6.692791743034832e-08
1864,6.32904075814622e-08,4.9865171547480713e-08
1865,2.118079933666195e-08,3.530133341200781e-08
1866,4.0871150019938796e-08,4.038458811805867e-08
1867,4.804283548764943e-08,4.4160586298858107e-08
1868,6.421836218351018e-08,4.5940829807022965e-08
1869,3.613804011592947e-08,3.857980246380066e-08
1870,2.981705193860762e-08,3.956493799250893e-08
1871,5.416800519242315e-08,3.3987767267262825e-08
1872,2.7817760539505798e-08,3.1446163006876304e-08
1873,3.831042860724665e-08,6.345164393906089e-08
1874,2.6885741633009275e-08,4.660195074279727e-08
1875,4.520006413599731e-08,3.6045619822289154e-08
1876,3.3253080289341597e-08,4.5949711591219966e-08
1877,3.834585982076533e-08,3.958282235316801e-08
1878,3.563062378475479e-08,2.8383716710322915e-08
1879,2.932476128592043e-08,4.154341226580982e-08
1880,2.8238524407697696e-08,1.4761046607247863e-08
1881,6.554157039317943e-08,2.649552932609822e-08
1882,3.261138559196297e-08,2.0631693686823382e-08
1883,4.044376922252013e-08,3.2860562271253e-08
1884,6.337629088193353e-08,3.234831424947515e-08
1885,5.5432465728699754e-08,3.287274097374393e-08
1886,4.711028722681476e-08,2.3877817056927597e-08
1887,3.9173546184656516e-08,2.9380160526670807e-08
1888,3.297119732792453e-08,2.2192152115962926e-08
1889,3.257871128425904e-08,3.3831739187917265e-08
1890,2.0974036729626278e-08,3.211649257650606e-08
1891,1.9760081571007504e-08,2.6134301833735663e-08
1892,3.384996816180319e-08,2.9462007944403013e-08
1893,3.633465794905533e-08,2.8328715373504565e-08
1894,1.8904618315218613e-08,4.0960006941759275e-08
1895,2.8287487907618925e-08,3.671354775747204e-08
1896,1.9460195233023114e-08,3.007484750128242e-08
1897,1.5149455023788505e-08,3.4960280004270317e-08
1898,2.8291774256672397e-08,3.225262190653666e-08
1899,2.9296165493519766e-08,3.2612710754165164e-08
1900,2.28406342728249e-08,1.349673794948103e-08
1901,2.459045056468767e-08,1.620734302321125e-08
1902,2.7988617645746672e-08,1.3257766440233354e-08
1903,1.674068350610014e-08,1.4040573148577096e-08
1904,1.7198800605910947e-08,2.7948050984605288e-08
1905,3.354493216534138e-08,2.6835946798087207e-08
1906,2.572092228092515e-08,2.623534101076075e-08
1907,1.9542804707839423e-08,1.337139288182243e-08
1908,1.080505640516094e-08,3.6835416494795936e-08
1909,1.7603147384193107e-08,1.320236009405562e-08
1910,1.870452770447173e-08,1.7635697346918278e-08
1911,2.3409645777405785e-08,2.2345570727111408e-08
1912,3.021464323182954e-08,2.6568049094066737e-08
1913,1.9090762748419365e-08,2.704524781904638e-08
1914,1.0045115850232378e-08,2.4777952134513725e-08
1915,4.123266705846618e-08,3.887651445211304e-08
1916,5.493730981243061e-08,3.186363883855847e-08
1917,4.7155623406069935e-08,3.180263163926611e-08
1918,2.756730310693456e-08,3.5607765624945387e-08
1919,3.4069039145379065e-08,1.1970202606903513e-08
1920,3.33178178379967e-08,4.921950491620919e-08
1921,1.6660044011018726e-08,2.9533714140939082e-08
1922,3.467629738906908e-08,3.24629176873259e-08
1923,2.441668023323018e-08,2.9724654737606215e-08
1924,3.480738541838946e-08,3.0939897754933554e-08
1925,1.8696901804560184e-08,1.6497267552040284e-08
1926,1.89484357093761e-08,1.89484357093761e-08
1927,1.6723836537835268e-08,2.2298449309232637e-08
1928,2.6279895593006586e-08,2.6279895593006586e-08
1929,2.2280811862174232e-08,2.6736975300423182e-08
1930,2.8359728787563654e-08,2.3107928015519974e-08
1931,1.3686427990933225e-08,2.8513390759599133e-08
1932,2.849479585620429e-08,1.6439305028370654e-08
1933,2.7529589274877253e-08,3.326492148403304e-08
1934,3.834105655187159e-08,3.834105655187159e-08
1935,2.5133395809007197e-08,2.5133395809007197e-08
1936,2.7886843056990074e-08,2.424942913137329e-08
1937,2.5182236740306507e-08,3.399602022113868e-08
1938,2.2040865133021725e-08,1.9447821131279852e-08
1939,4.129393715857077e-08,3.058810094103137e-08
1940,1.7750480196809804e-08,2.7893612752905028e-08
1941,2.066051862925633e-08,2.9515025090631752e-08
1942,1.2136847082899749e-08,3.034211815133858e-08
1943,3.193558839598154e-08,3.4838823381733164e-08
1944,3.213186161588055e-08,2.2492303131116387e-08
1945,1.5249527862692958e-08,4.7927088075994106e-08
1946,3.3410650246423756e-08,2.0881657292193267e-08
1947,3.5762614203349585e-08,2.7418003867296648e-08
1948,1.7395020535104777e-08,3.152847583010043e-08
1949,2.5524220959027843e-08,3.337782672474532e-08
1950,2.5524867552917385e-08,2.9779013033248702e-08
1951,1.5992101864981123e-08,2.0256663901818683e-08
1952,2.319856839960721e-08,3.690681538159879e-08
1953,2.5857186614075545e-08,3.016671712430252e-08
1954,1.9545073115523337e-08,2.6385848173049453e-08
1955,1.9709776921672528e-08,2.627970197011109e-08
1956,1.744228228517386e-08,3.314033847345854e-08
1957,2.297109880089465e-08,2.9155623693100097e-08
1958,4.3015667472445784e-08,3.060729980575161e-08
1959,2.40273188012452e-08,2.9452841943111707e-08
1960,2.5607082676515347e-08,4.429333344546649e-08
1961,2.431855783413539e-08,3.404598203360365e-08
1962,2.980719671086263e-08,2.7904608401740916e-08
1963,2.5217607557692645e-08,3.168366191630412e-08
1964,2.7377858202726202e-08,2.5552667537454e-08
1965,3.009623839034248e-08,3.83043037288644e-08
1966,2.437192847537517e-08,1.9940669560014612e-08
1967,1.7749208325312793e-08,3.5498416650625586e-08
1968,2.245707975134792e-08,3.4134760795723196e-08
1969,2.497966811176866e-08,2.2254612375149918e-08
1970,2.0234390163409444e-08,1.977451802304131e-08
1971,2.5178147566862208e-08,2.209510974182649e-08
1972,2.8215808356435446e-08,2.4111690422046195e-08
1973,1.543697081274331e-08,2.921997932503473e-08
1974,2.1377172032543967e-08,2.306484425673716e-08
1975,1.9990180177842376e-08,1.9419033492340532e-08
1976,2.2282755196556536e-08,2.171140245366132e-08
1977,2.056873604772136e-08,2.8208553715103335e-08
1978,1.9603952239322098e-08,2.198018833610149e-08
1979,2.63338808537128e-08,1.2289143924704149e-08
1980,2.615169236719339e-08,1.9329512213062117e-08
1981,3.415796712147312e-08,2.213942273954217e-08
1982,1.8622506203769262e-08,2.3588508923921836e-08
1983,1.9577479193344516e-08,2.652432762317858e-08
1984,1.797692661398287e-08,2.667543874679268e-08
1985,1.6242006850575308e-08,2.8874678648094232e-08
1986,2.038125046510686e-08,1.7983456501724504e-08
1987,1.4054879038383206e-08,2.749867533680117e-08
1988,1.4391728697660255e-08,2.1587593934668803e-08
1989,2.030605195102453e-08,4.006329135108899e-08
1990,1.5256222951620657e-08,2.669838927715773e-08
1991,2.1101275393675678e-08,2.2273567878983158e-08
1992,1.8733810946969243e-08,2.7549720726938176e-08
1993,2.3264671966671813e-08,2.4372512896775334e-08
1994,1.9517228722065738e-08,2.479215588380157e-08
1995,1.4098372247417501e-08,2.6027763055935793e-08
1996,2.882569738460461e-08,2.1886178203089912e-08
1997,2.109753616252874e-08,1.8220598363427598e-08
1998,2.7178336026167926e-08,2.3840646790063147e-08
1999,1.7366764026860437e-08,2.102292562256025e-08
2000,1.9439339027371716e-08,2.0322945104567225e-08
2001,2.190605918883648e-08,2.2344179839706158e-08
2002,1.8839251936242363e-08,2.9792305511477934e-08
2003,1.8751153518792307e-08,2.541822929913451e-08
2004,1.3214373595360485e-08,2.5547789661573006e-08
2005,1.8014997493764895e-08,2.432024714948966e-08
2006,2.0177660431386357e-08,2.0589450144825605e-08
