year,avaient_VERB ouvert_VERB,avaient_VERB couvert_VERB
1800,1.0061326349841693e-07,6.288328791015374e-08
1801,1.1191558257905854e-07,2.6193008650921e-08
1802,7.832440473976021e-08,2.0140561218795483e-08
1803,9.361627917314763e-08,7.216254971353919e-08
1804,8.651478111687538e-08,4.2021465418429216e-08
1805,1.6204403152642044e-07,7.107194477384837e-08
1806,1.4696512096179504e-07,1.2967511509032192e-07
1807,2.0213381901612593e-07,6.263301344233696e-08
1808,2.447359861434961e-07,4.985362878073829e-08
1809,1.7168632382436044e-07,1.0617443280125372e-07
1810,1.2168659679900884e-07,4.212228077449254e-08
1811,1.3036799373367103e-07,8.524060746140094e-08
1812,1.7870294755084615e-07,6.668020802180763e-08
1813,3.278345559465379e-07,4.888760685162197e-08
1814,3.366944554272777e-07,5.034683425719777e-08
1815,2.751168040049379e-07,1.6183341244868643e-07
1816,1.7613788827475219e-07,8.806894413737609e-08
1817,1.9149543106777855e-07,9.808302792180257e-08
1818,2.1458119192629965e-07,7.152706160695743e-08
1819,2.950049236005725e-07,8.073818946741085e-08
1820,3.9159388620646496e-07,9.967844505354151e-08
1821,3.086645961047907e-07,3.944595405869222e-08
1822,3.629272953276086e-07,1.233150754842427e-07
1823,3.607180758535833e-07,1.0080340473450633e-07
1824,3.1663384447710996e-07,1.19579794954916e-07
1825,3.416512015519402e-07,1.2327620879659662e-07
1826,3.558425589744729e-07,7.751026487312629e-08
1827,4.1109038306785806e-07,6.728609491801762e-08
1828,2.7241733846494753e-07,9.539193257523948e-08
1829,2.863440897726832e-07,1.3802812759422523e-07
1830,3.4963400707965775e-07,1.1689256496083544e-07
1831,2.5413666548956826e-07,1.091384405071949e-07
1832,4.086050751084258e-07,9.200379480489573e-08
1833,3.7299284372238617e-07,9.151066393542351e-08
1834,2.7256831458544184e-07,1.0828055962974759e-07
1835,3.312632657070935e-07,9.529490796467144e-08
1836,3.172194169565046e-07,1.1761312634916976e-07
1837,3.6250611401555943e-07,9.949783930096601e-08
1838,4.677311835621367e-07,1.0162580821315714e-07
1839,3.964166523928725e-07,1.2165166651811887e-07
1840,4.1084490476350766e-07,1.5159858435254137e-07
1841,4.0898893871599284e-07,1.4574645490483817e-07
1842,4.588453350606869e-07,1.683774542016181e-07
1843,3.798143950461963e-07,1.3231480977538013e-07
1844,4.4622004224947887e-07,1.2733461574043758e-07
1845,3.493222777706251e-07,1.0937246486264485e-07
1846,4.104005313365633e-07,8.840297027745692e-08
1847,4.1635686898189306e-07,1.1487566098367097e-07
1848,3.94215874166548e-07,9.654266364123032e-08
1849,4.1394309846509714e-07,1.61722709890455e-07
1850,4.2363336660855566e-07,1.2559642925680237e-07
1851,4.5533036541201e-07,1.0964046026629148e-07
1852,4.270917770554661e-07,9.049658444837405e-08
1853,3.4816363836398523e-07,1.1167512781184996e-07
1854,4.353966858161584e-07,1.1378504893855279e-07
1855,4.298618989651004e-07,9.021793090369101e-08
1856,3.9087780123736593e-07,1.0509694448046503e-07
1857,4.349424500560417e-07,1.1862066884305023e-07
1858,4.0128142586581816e-07,1.0178845855079999e-07
1859,5.280583650346671e-07,1.2475824462399032e-07
1860,4.1331969669045066e-07,1.0344435708020683e-07
1861,3.815214597580052e-07,9.196129013844256e-08
1862,4.865871119363874e-07,1.341841908697461e-07
1863,4.04564275413577e-07,8.440909482487768e-08
1864,3.447409255841194e-07,8.774352266982532e-08
1865,3.2994978482747683e-07,5.554076309977063e-08
1866,4.043324395297532e-07,7.784980482483661e-08
1867,3.22711969147349e-07,7.473329333151923e-08
1868,3.2800764415696904e-07,8.0025962745367e-08
1869,3.5893864946956455e-07,7.471784613244381e-08
1870,4.5757710154248343e-07,7.740965912717002e-08
1871,3.6324425423117646e-07,6.691341525311145e-08
1872,4.0275278934132075e-07,1.0461896948754656e-07
1873,4.064497147737711e-07,8.021245889722195e-08
1874,3.166542796861904e-07,7.109785116199419e-08
1875,3.7018281773271156e-07,7.724061390490533e-08
1876,2.696522471978824e-07,4.957732002708326e-08
1877,3.0800384820395266e-07,9.153527713579024e-08
1878,4.390417416288983e-07,8.575506171837333e-08
1879,3.3906755447787873e-07,8.430868803088742e-08
1880,3.1575802950101206e-07,7.573058269372268e-08
1881,2.9772607490485825e-07,1.01798612206494e-07
1882,3.214551043129177e-07,7.653692790654532e-08
1883,2.7994670404041244e-07,8.594300737740923e-08
1884,3.0697890451847343e-07,7.525934364593923e-08
1885,2.8360796022752766e-07,7.476937469164113e-08
1886,3.368708121342934e-07,5.420909587883216e-08
1887,2.8596690526683233e-07,3.982643903555072e-08
1888,2.8215734459990927e-07,7.101488108673948e-08
1889,3.470885872047802e-07,7.580815264418561e-08
1890,2.779059968816e-07,4.915789730830511e-08
1891,3.2381038295170583e-07,7.394095291601843e-08
1892,3.0715710863660206e-07,9.277398049789554e-08
1893,2.814396395933727e-07,4.9883173147691195e-08
1894,3.3587204484319955e-07,6.679631781025819e-08
1895,3.2319960041604645e-07,6.319545065025522e-08
1896,3.196189766185853e-07,3.538217541176891e-08
1897,2.9075300744807464e-07,5.4188436848789934e-08
1898,2.580209752522933e-07,7.751945929612702e-08
1899,2.642182437284646e-07,4.09040801230276e-08
1900,2.5591893404453003e-07,5.087231969014283e-08
1901,2.5764086331037106e-07,4.359216276839106e-08
1902,2.013216402474427e-07,6.334266089425e-08
1903,2.5165027750517766e-07,7.128290491209555e-08
1904,2.6496903160477814e-07,3.493506284257819e-08
1905,2.6113440299013746e-07,4.231822359201942e-08
1906,2.484641186129011e-07,3.600929332492342e-08
1907,2.401707774879469e-07,4.011417686911045e-08
1908,2.4998971070999687e-07,4.469363901193901e-08
1909,2.260904210515946e-07,4.950885212906542e-08
1910,2.656042852322571e-07,5.1303846504424655e-08
1911,2.5112166213148157e-07,5.001151848205154e-08
1912,2.510940930733341e-07,5.4177981212433224e-08
1913,2.7628576049210096e-07,4.666630815108874e-08
1914,2.4041310098255053e-07,5.089525245693949e-08
1915,3.4988863717444474e-07,2.0027295377644805e-08
1916,3.603887535064132e-07,5.273981784625903e-08
1917,3.6298865779826883e-07,3.5092558192673096e-08
1918,2.77970315210041e-07,4.5945505178224266e-08
1919,3.1214605655804917e-07,2.2098836538475553e-08
1920,2.7108589506497083e-07,3.710393414735336e-08
1921,2.5520159852021607e-07,2.4232791773215467e-08
1922,2.4642304197186604e-07,2.87739485571592e-08
1923,2.0170301695543458e-07,3.503262746562541e-08
1924,2.2302509705696139e-07,3.351822286390416e-08
1925,2.584571916486311e-07,5.719052609265418e-08
1926,2.5747579002199927e-07,4.0126099776216506e-08
1927,2.7984555117654963e-07,5.4631200896437804e-08
1928,2.559433198712213e-07,4.1133748851507335e-08
1929,2.406327723747381e-07,2.8965056131369238e-08
1930,2.7414404257797287e-07,4.516549623190258e-08
1931,2.395125022758293e-07,3.307553342324354e-08
1932,2.2576645619665214e-07,3.616647248350091e-08
1933,2.2253084352996666e-07,2.7529589274877253e-08
1934,1.9769606751651736e-07,2.875579241390369e-08
1935,2.07051314760065e-07,4.4282650435434334e-08
1936,2.1703239383441542e-07,4.364897421282876e-08
1937,2.4804504050734977e-07,3.021868266728234e-08
1938,2.1522255622130615e-07,3.8895642262559704e-08
1939,1.6517574863428308e-07,2.5999884911698246e-08
1940,1.7750480196809804e-07,3.296517903095264e-08
1941,2.597322179553885e-07,3.246652724442356e-08
1942,1.8812113466992741e-07,4.8547388331598995e-08
1943,3.2225909762928495e-07,4.645176332473966e-08
1944,2.69907644678824e-07,2.8918675454292497e-08
1945,3.049905785701412e-07,3.921307367704685e-08
1946,2.784220782814373e-07,3.3410650246423756e-08
1947,2.408015973287547e-07,2.8610090296865565e-08
1948,2.7288439241601736e-07,4.240036233227329e-08
1949,2.493520128155069e-07,3.337782672474532e-08
1950,1.8824589176347217e-07,3.93508372553697e-08
1951,2.0576504766722792e-07,4.584402901741669e-08
1952,2.2354984707817493e-07,3.690681538159879e-08
1953,2.2840514191102557e-07,2.9089333608567358e-08
1954,1.8372368515429116e-07,2.34540866728139e-08
1955,2.5434997041884344e-07,1.9709776921672528e-08
1956,2.2238910446503724e-07,2.616342520411763e-08
1957,2.1027389607297664e-07,3.3573144264664734e-08
1958,2.3989505848476256e-07,2.9780077070995503e-08
1959,1.8911825350187428e-07,2.2477168570844697e-08
1960,2.3046375474677916e-07,3.114374891310945e-08
1961,1.8204177365532814e-07,4.099414141478519e-08
1962,2.409943533621117e-07,3.170978146727066e-08
1963,2.489430528385128e-07,2.5217607557692645e-08
1964,1.9529538519691414e-07,3.8937397306426647e-08
1965,1.8659667944120883e-07,2.4624196015565758e-08
1966,2.4648883822919743e-07,2.547974453648294e-08
1967,2.696893659503985e-07,3.007504645324843e-08
1968,2.7756951226365345e-07,4.491415950269584e-08
1969,2.0937503109053068e-07,2.9067249940339934e-08
1970,2.0832224834066437e-07,2.115413444414571e-08
1971,1.9474526880003395e-07,2.0553589052951793e-08
1972,2.1905727010107512e-07,2.7702792948502974e-08
1973,2.0839910064296419e-07,2.1501493918663073e-08
1974,2.4414981680820347e-07,2.6440186928766707e-08
1975,2.1874969036161929e-07,1.4849848462006321e-08
1976,1.9425991126809095e-07,1.9997344224975677e-08
1977,1.992229101688281e-07,2.3507126911681553e-08
1978,2.01386043841012e-07,2.316830638449119e-08
1979,2.0364866770705703e-07,2.2822696621460636e-08
1980,1.8704145077208523e-07,2.3309118191150446e-08
1981,2.01785027797996e-07,1.3283654176632353e-08
1982,2.1415883111330913e-07,1.6760255405756652e-08
1983,2.039847117885074e-07,1.8314416649900522e-08
1984,2.516769654903328e-07,2.4355836458767044e-08
1985,1.882869611335991e-07,2.466378745680231e-08
1986,2.5236784040316707e-07,1.4386765556650971e-08
1987,2.2304482172330609e-07,2.3221103262471843e-08
1988,2.1467663202656695e-07,1.4991384134077634e-08
1989,2.3434282070411427e-07,2.908704743731505e-08
1990,2.3483686106828827e-07,2.5063794595325817e-08
1991,2.3211401867229142e-07,1.992898113201136e-08
1992,2.6062036795337917e-07,2.4243753671271406e-08
1993,2.381859189881652e-07,2.4372512896775334e-08
1994,2.4211914251281996e-07,2.6902124972139063e-08
1995,2.4021457534217916e-07,2.6027763055935793e-08
1996,2.1459131005485688e-07,1.868332333287981e-08
1997,2.4310114099534985e-07,1.8220598363427598e-08
1998,2.7607467245616135e-07,3.337690301918883e-08
1999,2.4359172812182806e-07,3.1991408633302854e-08
2000,2.319466574363105e-07,2.6066386382694873e-08
2001,2.3132798787628417e-07,2.1029816110740285e-08
2002,2.593683063878416e-07,2.059174164514843e-08
2003,2.7126668555865763e-07,2.0001230893740285e-08
2004,2.7618040121524245e-07,2.5107310008820605e-08
2005,3.0715571597283997e-07,2.477062288619436e-08
2006,2.5613275056457496e-07,2.0177660431386357e-08
2007,2.720240388498496e-07,2.5165221018141892e-08
2008,2.801395169171883e-07,2.4693150635357597e-08
2009,2.918133930052136e-07,2.813233557219519e-08
2010,3.2310742881236365e-07,2.8815136943194375e-08
2011,3.5257022545920336e-07,4.397567821001758e-08
2012,4.2042520931317995e-07,4.902123862393637e-08
2013,4.2032115743495524e-07,6.917029793385154e-08
2014,4.6275562226583133e-07,6.474681413237704e-08
2015,4.497431405070529e-07,5.78526169192628e-08
2016,4.5051646679894475e-07,6.56614815852663e-08
2017,3.9721501821077254e-07,4.477788095869073e-08
2018,4.1458355326540186e-07,5.3178215608795654e-08
2019,3.857093417991564e-07,6.02033125574053e-08
