year,sont_VERB en_PRON,sont_VERB quand_ADV
1800,2.402141614510356e-06,0.0
1801,2.2144996947304207e-06,0.0
1802,2.2490294213639572e-06,0.0
1803,2.999621717236778e-06,0.0
1804,2.3210681390217758e-06,0.0
1805,2.5870187680965273e-06,0.0
1806,2.207358518191427e-06,0.0
1807,2.109593670418519e-06,2.8469551160981155e-09
1808,2.6309119398604253e-06,0.0
1809,2.1438200406009855e-06,2.259030518203531e-09
1810,2.0382503702620625e-06,0.0
1811,1.8577439369060755e-06,2.5070767684098882e-09
1812,2.4991741183200133e-06,2.6672082320544632e-09
1813,2.593918944526763e-06,0.0
1814,2.6683822316186934e-06,3.1466771410748606e-09
1815,2.0094315917873473e-06,0.0
1816,2.178547546805021e-06,0.0
1817,2.2216583639433907e-06,0.0
1818,1.959841478882396e-06,0.0
1819,2.046402687305715e-06,0.0
1820,2.4231355082449113e-06,0.0
1821,2.7128954371846703e-06,0.0
1822,2.319927531857502e-06,0.0
1823,2.0397864788357367e-06,0.0
1824,2.138120432704227e-06,8.421112696055388e-10
1825,2.4179745929941987e-06,0.0
1826,2.270698437278895e-06,8.807984341885344e-10
1827,2.565167005030844e-06,0.0
1828,2.566409879278808e-06,9.172301251858528e-10
1829,2.299325863264201e-06,0.0
1830,2.5465878614738813e-06,0.0
1831,2.3870135912318347e-06,0.0
1832,2.217562011352925e-06,1.3529969367098715e-09
1833,2.5565068142441305e-06,1.1583628500844156e-09
1834,2.6454060666480927e-06,9.334530925997342e-10
1835,2.5268276289125424e-06,0.0
1836,2.8697603378091685e-06,3.3603750337896088e-09
1837,2.341330208821546e-06,6.2621018370734305e-09
1838,2.5526383087282056e-06,0.0
1839,2.332356075385178e-06,1.3982950353153e-09
1840,2.3128339119438124e-06,1.2739377330817092e-09
1841,2.419904699735298e-06,1.2841097074556274e-09
1842,2.4008881673864835e-06,1.341653010911159e-09
1843,2.428921803243611e-06,0.0
1844,2.1795077671526997e-06,1.6465684371524958e-09
1845,2.1249508854737087e-06,0.0
1846,2.3049170962963217e-06,5.854501328173001e-10
1847,2.1513568171371844e-06,0.0
1848,2.472296523947648e-06,0.0
1849,2.130047221271525e-06,0.0
1850,2.0597814085476784e-06,1.3577992064028876e-09
1851,1.928382211247026e-06,0.0
1852,2.224002399131564e-06,1.3021090872200602e-09
1853,2.1839354378272446e-06,1.1943863675867306e-09
1854,2.067354883728001e-06,5.195664454227256e-10
1855,2.095178874839121e-06,0.0
1856,2.2334393920964146e-06,0.0
1857,2.1107644663231895e-06,4.881509085841174e-10
1858,2.029896915445306e-06,0.0
1859,2.3103191253426303e-06,0.0
1860,2.3595382891983263e-06,1.373155145145688e-09
1861,2.263191047902069e-06,0.0
1862,2.3949846061910307e-06,1.3553959066214816e-09
1863,2.244582708144094e-06,0.0
1864,2.2012594946829722e-06,1.4384183844029508e-09
1865,2.2079806250019374e-06,0.0
1866,2.2230986296278843e-06,0.0
1867,2.2623806330557272e-06,0.0
1868,2.5983736975376814e-06,0.0
1869,2.1560737888393078e-06,4.883519144627257e-10
1870,2.2334119407219077e-06,1.1468097582678638e-09
1871,2.0318311975131564e-06,0.0
1872,2.2520292013439303e-06,1.2094678591978436e-09
1873,2.3381332425742585e-06,0.0
1874,2.4328608816404085e-06,5.974609140757536e-10
1875,2.391026136194796e-06,0.0
1876,2.324692765398595e-06,6.04601479992084e-10
1877,2.2753938253572414e-06,1.2369631985365004e-09
1878,2.3643031532571968e-06,6.039088673581716e-10
1879,2.3276529539373314e-06,0.0
1880,2.3117082807999623e-06,6.417846254436199e-10
