year,ait_VERB ouvert_VERB,ait_VERB couvert_VERB
1800,8.489244152087849e-08,5.345079756580162e-08
1801,1.4287095950749062e-07,3.095537337571841e-08
1802,1.1189200677108602e-07,2.0140561218795483e-08
1803,5.655983770225248e-08,3.90067853572873e-08
1804,1.1123329102247226e-07,3.707776485839531e-08
1805,1.5351540127994667e-07,4.264316544322355e-08
1806,1.2679343797117326e-07,5.187004603612877e-08
1807,7.971474502710407e-08,1.7081731584767113e-08
1808,1.1783584596969376e-07,2.4926814390369145e-08
1809,8.132509776714869e-08,3.6144488291256494e-08
1810,1.2168659679900884e-07,2.3401266702194334e-08
1811,1.1281845502253418e-07,7.521229861140455e-09
1812,1.3869482984318893e-07,2.400487453257938e-08
1813,7.189353823378042e-08,3.163315653864629e-08
1814,8.810695817373926e-08,2.5173417128598885e-08
1815,1.0249449644561537e-07,3.236668177919455e-08
1816,1.5064425440414198e-07,1.8540831092650478e-08
1817,1.1365175822675155e-07,1.0898113522728181e-08
1818,1.5259107044585107e-07,1.1921176934492905e-08
1819,1.397391713453544e-07,4.7614829412623294e-08
1820,1.0798498095709874e-07,2.0173018810965004e-08
1821,1.518669137112738e-07,3.8459806006585495e-08
1822,1.4136118409169285e-07,3.107940926838637e-08
1823,1.2353358158634364e-07,2.2730180404550993e-08
1824,1.3979047253087629e-07,5.052667617633233e-09
1825,8.365170600654892e-08,2.289415235168235e-08
1826,9.864942285275902e-08,1.0569580766173203e-08
1827,1.0323346089080587e-07,1.3825909306319772e-08
1828,9.539193257523948e-08,1.559291185060374e-08
1829,6.172686539684946e-08,4.115124596637543e-08
1830,1.033246732617954e-07,5.218418053232199e-08
1831,1.1849316905454543e-07,4.677361786775691e-08
1832,8.523880978827947e-08,1.8941957335982806e-08
1833,8.68772147555319e-08,1.9692167896323554e-08
1834,1.2041545005558874e-07,1.3068342852307069e-08
1835,1.0285799589837552e-07,2.193295500774184e-08
1836,1.1559690449303162e-07,1.9490174807401672e-08
1837,9.53231023004264e-08,1.87863058442872e-08
1838,7.32210807541378e-08,2.1461350030449466e-08
1839,9.438491588298348e-08,2.1673573158409454e-08
1840,9.490835850556323e-08,2.229391071750797e-08
1841,1.046549442662581e-07,2.8250413564023802e-08
1842,8.385331540239349e-08,2.2808102073668124e-08
1843,1.287706652419729e-07,2.5990408047960045e-08
1844,9.440325499099345e-08,1.6465683927435748e-08
1845,8.649353588907616e-08,1.2834524554250493e-08
1846,7.259581735752363e-08,9.367202125076801e-09
1847,7.981971350545791e-08,5.9325460100012606e-09
1848,1.0136979256003542e-07,2.333114323960217e-08
1849,6.200767188602185e-08,2.1786478399121734e-08
1850,8.078905011643656e-08,1.2220192857625989e-08
1851,7.803821233665076e-08,1.2253933867611977e-08
1852,1.1133032984389502e-07,1.4323200403509873e-08
1853,8.121827477225452e-08,2.20961471342207e-08
1854,1.0962852314833071e-07,1.7665259477439577e-08
1855,8.809515605889828e-08,2.3350523292720027e-08
1856,7.869327589560271e-08,9.318940286107136e-09
