year,faut_VERB oser_VERB,faut_VERB causer_VERB
1800,2.829747991484055e-08,0.0
1801,9.524730160137551e-08,9.524730337773235e-09
1802,3.8043282302169246e-08,8.951360541686881e-09
1803,5.070882025393075e-08,0.0
1804,1.1617699158250616e-07,0.0
1805,6.822906328807221e-08,5.685755422035754e-09
1806,1.2679343797117326e-07,5.76333825108577e-09
1807,3.701041606518629e-08,0.0
1808,1.8128591960930862e-08,1.3596443970698147e-08
1809,4.51806094758922e-08,6.7770917766551975e-09
1810,6.31834211617388e-08,0.0
1811,7.019814773912003e-08,0.0
1812,3.200649700829672e-08,0.0
1813,2.8757416004054903e-08,0.0
1814,5.664018942752591e-08,0.0
1815,3.236668177919455e-08,0.0
1816,8.57513455798653e-08,0.0
1817,6.383181272440197e-08,3.113746815941454e-09
1818,4.768470773797162e-08,3.5763532135746345e-09
1819,6.417651121637391e-08,1.1386155129855524e-08
1820,9.493184904840746e-08,3.5599443393152796e-09
1821,7.59334568556369e-08,1.97229765852569e-09
1822,7.017931125119503e-08,0.0
1823,6.917881023582595e-08,0.0
1824,5.810567671460376e-08,7.57900142644985e-09
1825,5.6354835464844655e-08,8.805443041381977e-10
1826,3.963592831723872e-08,0.0
1827,5.8068820862899884e-08,0.0
1828,2.935136400594729e-08,0.0
1829,8.830371456269859e-08,4.286587973467704e-09
1830,2.2961039292113128e-08,3.1310507520032616e-09
1831,7.483778574624012e-08,0.0
1832,6.764985016616265e-08,1.6235963684607668e-08
1833,5.560141858040879e-08,2.3167257001688313e-09
1834,7.934351486937885e-08,1.8669061851994684e-09
1835,5.899208588289184e-08,1.2100940693926532e-08
1836,8.736974876910608e-08,6.72075017860152e-09
1837,5.844628248041772e-08,3.478945576063097e-09
1838,5.996553653631054e-08,4.418513555037862e-09
1839,6.082583325905944e-08,6.9914749545318955e-09
1840,7.134051571711097e-08,4.458782232319436e-09
1841,7.57624718517036e-08,1.0272877659645019e-08
1842,1.0397810967788246e-07,6.708265054555795e-10
1843,8.683159080646874e-08,1.3585895075607368e-08
1844,7.135129465041246e-08,1.2074834465636286e-08
1845,1.0156014695894555e-07,5.022205318283568e-09
1846,6.908311434017378e-08,2.9272506640865004e-09
1847,8.737022483273904e-08,5.393223645455691e-10
1848,9.815170187721378e-08,1.6090443422100975e-09
1849,1.340706319297169e-07,8.379414939696517e-10
1850,7.332116069846961e-08,4.752297222410107e-09
1851,7.28786559989203e-08,1.2898877521649865e-09
1852,3.906327350478023e-08,6.510545436100301e-10
1853,5.733054564416307e-08,4.180352064508952e-09
1854,5.299577665596189e-08,1.0391328908454511e-09
1855,4.9354515141430966e-08,5.306937111981824e-09
1856,7.921099864915959e-08,3.1063134287023786e-09
1857,9.372497800086421e-08,4.393358121745905e-09
1858,5.3830436996804565e-08,5.3830437884982985e-09
1859,7.689181558134806e-08,1.2221216039165483e-08
1860,1.0069804545764782e-07,1.5562426014525954e-08
1861,9.85636390282707e-08,7.073945429425521e-09
1862,1.0029929597976661e-07,4.517986429419807e-09
1863,8.341017121438199e-08,5.9935452156878455e-09
1864,7.527722800659831e-08,6.233146443435089e-09
1865,1.1249358067288995e-07,1.3649848362717876e-08
1866,5.2548617901493344e-08,5.838735717134114e-09
1867,7.861554252031056e-08,1.261730986357179e-08
1868,5.236266531483125e-08,2.9639244392143382e-09
1869,8.204312251791634e-08,1.2208797528501236e-08
1870,8.25703025952862e-08,5.734048791339319e-10
1871,1.0090118252037428e-07,2.1242354542039266e-09
1872,5.6844989160254045e-08,7.256807155187062e-09
1873,5.566984029314881e-08,6.584604861359367e-09
1874,5.197910013521323e-08,2.3898436563030145e-09
1875,8.067353007845668e-08,2.8607636259891933e-09
1876,4.292670396921494e-08,3.627608879952504e-09
1877,5.751878973114799e-08,8.040260901509555e-09
1878,9.119023758330513e-08,9.662541877730746e-09
1879,5.864952257184086e-08,1.1607718342077078e-08
1880,4.813384535395926e-08,7.701415505323439e-09
1881,3.974329487732575e-08,1.1156012114099667e-08
1882,1.0648616211028639e-07,4.6587693702804245e-09
1883,6.888079440159345e-08,1.2638677659992936e-08
1884,6.799747609420592e-08,1.5183903911974994e-08
1885,6.445635847285303e-08,1.8692343672910283e-08
1886,4.065682190912412e-08,1.0325542199041138e-08
1887,3.9173546184656516e-08,5.876032105334161e-09
1888,7.418519487600861e-08,3.1703073499755874e-09
1889,4.009687515349469e-08,8.771191495338115e-09
1890,3.604912635069013e-08,8.520702365899524e-09
1891,5.099376210182527e-08,6.3742202627281586e-09
1892,5.7043461509920235e-08,1.191017329205124e-08
1893,4.741980674793922e-08,9.853466487186324e-09
1894,8.507078064212692e-08,1.2603078580752936e-08
1895,4.634333095054899e-08,3.611168697403855e-09
1896,6.840553368192559e-08,1.6511680911435178e-08
1897,6.5259193604561e-08,5.826713334045053e-09
1898,4.9227686815811467e-08,9.05336783318944e-09
1899,5.7486815308038786e-08,6.633094074004475e-09
1900,6.800279805929677e-08,6.22926377147337e-09
1901,6.147612907625444e-08,3.912117296778206e-09
1902,5.4995179965544594e-08,2.9461704187383475e-09
1903,6.588268774976314e-08,3.7801539676252105e-09
1904,7.148251768285263e-08,1.0211787859759625e-08
1905,4.799505859409692e-08,8.773290538499623e-09
1906,5.24706820215215e-08,1.0802787109298606e-08
1907,3.857132568896304e-08,2.4171363577352167e-08
1908,5.893667065492991e-08,2.0627833663411366e-08
1909,6.051082124258755e-08,1.265226234892225e-08
1910,4.756294202934441e-08,3.046165797382372e-08
1911,6.490856208074547e-08,1.0640748726586935e-08
1912,6.563870869058519e-08,2.135862686714063e-08
1913,5.88631863251976e-08,7.954484182448596e-09
1914,4.8216556081115414e-08,6.027069510139427e-09
1915,4.123266705846618e-08,1.295883844676382e-08
1916,9.00971883766033e-08,7.69122365795738e-09
1917,7.566833204464274e-08,2.7416060532914344e-08
1918,8.959373332118048e-08,4.020231614276781e-08
1919,7.918749389546065e-08,8.287063479883727e-09
1920,8.102288262534785e-08,2.1959472018551196e-08
1921,6.209653236055601e-08,2.120369302360814e-08
1922,8.705963949751094e-08,1.8444838545406128e-08
1923,7.749642350063368e-08,1.0615948120573648e-08
1924,8.121723737986031e-08,1.675911143195208e-08
1925,6.048998102414771e-08,1.6497267552040284e-08
1926,1.1591983906100722e-07,1.4489979882625903e-08
1927,9.030872405446644e-08,2.5643217327342427e-08
1928,5.5987602110008083e-08,1.7139061725401916e-08
1929,9.35794162160164e-08,2.4508894469477127e-08
1930,9.348207186121726e-08,1.7856125467119455e-08
1931,7.86969636124013e-08,1.9389105432310316e-08
1932,1.1397918342481717e-07,8.767629289252454e-09
1933,7.455930273181366e-08,1.3764794415394022e-08
1934,1.1861764193099589e-07,1.9170528275935794e-08
1935,1.029272453934027e-07,1.0771455727365264e-08
1936,6.66859278908305e-08,9.699771652549316e-09
1937,7.051026074123001e-08,2.0145789036973838e-08
