year,fût_VERB assez_ADV
1800,9.558259534969693e-07
1801,6.976865165597701e-07
1802,1.0540227322053397e-06
1803,7.099234835550305e-07
1804,6.945901418475842e-07
1805,8.18748787878576e-07
1806,9.278974744120205e-07
1807,8.370047908101697e-07
1808,8.656402883389092e-07
1809,9.442747455068456e-07
1810,9.898735697788652e-07
1811,6.894460966577753e-07
1812,7.654887781427533e-07
1813,7.649472877346852e-07
1814,5.506685170075798e-07
1815,7.120669920368528e-07
1816,7.369980608018523e-07
1817,7.815504545760632e-07
1818,7.975267521942442e-07
1819,9.409104677615687e-07
1820,9.410119332642353e-07
1821,8.342819342033181e-07
1822,8.551850214644219e-07
1823,7.688730647714692e-07
1824,8.075846835708944e-07
1825,9.650765377955395e-07
1826,9.133879643741238e-07
1827,9.917786201185663e-07
1828,8.355966656381497e-07
1829,8.813224781079043e-07
1830,9.142668204731308e-07
1831,5.36337495304906e-07
1832,6.616155019401049e-07
1833,8.374963158530591e-07
1834,5.955430992798938e-07
1835,8.576541858928977e-07
1836,7.742303864688438e-07
1837,6.2760176433585e-07
1838,7.852329417801229e-07
1839,8.277906431430893e-07
1840,6.88563318362867e-07
1841,6.574641702172812e-07
1842,7.405924407066777e-07
1843,6.190442718434497e-07
1844,6.685067432954384e-07
1845,6.97528491855337e-07
1846,6.902457130308903e-07
1847,5.738389745602035e-07
1848,4.86735928006965e-07
1849,6.552702416229295e-07
1850,5.845325858899741e-07
1851,6.481686227743921e-07
1852,6.367313289956655e-07
1853,5.500149313775182e-07
1854,6.759559596503095e-07
1855,5.535135301215632e-07
1856,6.683751507807756e-07
1857,7.024491424090229e-07
1858,5.706026513507823e-07
1859,5.830538611917291e-07
1860,5.954915991424059e-07
1861,5.145116688254348e-07
1862,5.51646110125148e-07
1863,5.564007778957603e-07
1864,5.187895908420614e-07
1865,5.41287079158792e-07
1866,5.434889658317843e-07
1867,5.275006174088048e-07
1868,5.310364485922037e-07
1869,4.795616064257047e-07
1870,5.814325731989811e-07
1871,4.917604883303284e-07
1872,4.16056934682274e-07
1873,4.776831588060304e-07
1874,4.958925501341582e-07
1875,4.39985427647116e-07
1876,4.431728939380264e-07
1877,4.323186431065551e-07
1878,4.511199165335711e-07
1879,4.3559489881772606e-07
1880,3.6774258660443593e-07
1881,4.2044220549541933e-07
1882,4.053129600833927e-07
1883,3.987502736890747e-07
1884,4.3175097630410164e-07
1885,3.3839586421891e-07
1886,3.63330002528528e-07
1887,3.6104952982896066e-07
1888,3.753643795789685e-07
1889,3.6337792153062765e-07
1890,3.264084398324485e-07
1891,3.212606998204137e-07
1892,2.7894878940060153e-07
1893,3.2762775958872226e-07
1894,3.4532436643530673e-07
1895,3.508852159939124e-07
1896,3.184395609423518e-07
1897,3.11729166924124e-07
1898,3.389354503724462e-07
1899,3.0954439012020885e-07
1900,2.953709099529078e-07
1901,2.5261098812734417e-07
1902,2.5828092020674376e-07
1903,2.937719898454816e-07
1904,2.8861737177976465e-07
1905,3.168705973166652e-07
1906,2.8498783422037377e-07
1907,2.525136153508356e-07
1908,2.951744875190343e-07
1909,2.722986778280756e-07
1910,2.8110233074585267e-07
1911,2.8304390298217186e-07
1912,3.198584579422459e-07
1913,2.6621009396876616e-07
1914,2.5313690343864437e-07
1915,2.568206127762096e-07
1916,1.801943767532066e-07
1917,2.544210531141289e-07
1918,2.77970315210041e-07
1919,2.57819749549526e-07
1920,2.6805699349097267e-07
1921,2.1127965510459035e-07
1922,2.486364394371776e-07
1923,2.2930447585167713e-07
1924,3.1197731686916086e-07
1925,2.2106337382865604e-07
1926,2.206935363346929e-07
1927,2.809604779940855e-07
1928,2.685119682155346e-07
1929,2.6402761932331487e-07
1930,2.7414404257797287e-07
1931,2.4977731527542346e-07
1932,2.0603928874152189e-07
1933,1.8926593270407466e-07
1934,2.036868664845315e-07
1935,2.3098787949038524e-07
1936,2.0733261862915242e-07
1937,1.775347726606924e-07
1938,2.1781559667033434e-07
1939,2.2023432677542587e-07
1940,1.749690170527174e-07
1941,2.1545969275393873e-07
1942,2.0632640485018783e-07
1943,1.945167582562135e-07
1944,2.1849666609341512e-07
1945,1.3506725338174874e-07
1946,2.0603233963356615e-07
1947,1.811972367704584e-07
1948,1.9678117268995265e-07
1949,1.7768785198768455e-07
1950,1.808011518278363e-07
1951,2.0789732957382512e-07
1952,1.4235484968594392e-07
1953,1.9285151608983142e-07
1954,1.3779275320757733e-07
1955,1.7644943284267356e-07
1956,1.5174786938132456e-07
1957,1.6344819186997483e-07
1958,1.8116213595931185e-07
1959,1.7904227433973574e-07
1960,1.7232875393347058e-07
1961,1.8690548131417017e-07
1962,1.572805246041753e-07
1963,1.8492912090550817e-07
1964,2.2754041140160552e-07
1965,1.58689260842948e-07
1966,1.556479958253476e-07
1967,2.0608803197319503e-07
1968,1.89986891996341e-07
1969,1.757660328394195e-07
1970,1.664738391582432e-07
1971,1.6905327981930895e-07
1972,1.5133933572997194e-07
1973,1.3617612637517595e-07
1974,1.1363654550677893e-07
1975,1.1879878769605057e-07
1976,1.1884135631134995e-07
1977,1.0401903693946224e-07
1978,1.3485141892033425e-07
1979,1.264026252556505e-07
1980,1.193881615790815e-07
1981,8.223214109648325e-08
1982,1.0863129062954613e-07
1983,8.841442422635737e-08
1984,8.988462951720066e-08
1985,7.158514137017846e-08
1986,9.531231626169756e-08
1987,8.860684630462856e-08
1988,7.855485506524928e-08
1989,1.03176695631646e-07
1990,8.281949703814462e-08
1991,6.975143662657501e-08
1992,9.422004865200506e-08
1993,8.364203551991523e-08
1994,9.758614538668553e-08
1995,8.133676487886987e-08
1996,8.167280896032025e-08
1997,6.808750185882673e-08
1998,5.864798779953162e-08
1999,7.129514045800533e-08
2000,6.273604924444953e-08
2001,7.535684432014023e-08
2002,7.360451803606338e-08
2003,6.000369268122085e-08
2004,6.871474056424631e-08
2005,9.052536853459969e-08
2006,7.782811906054121e-08
2007,7.909069665856805e-08
2008,7.663391698997657e-08
2009,8.725792355335216e-08
2010,1.0864724231396394e-07
2011,1.0974799380392142e-07
2012,1.4468074027718103e-07
2013,1.9384418692425243e-07
2014,1.7215289460636995e-07
2015,2.1766770430531324e-07
2016,2.4400387133027834e-07
2017,1.1269938937630286e-07
2018,1.6314869810685195e-07
2019,1.7168147792290256e-07
