year,avaient_VERB en_PRON
1800,1.2576657937302116e-08
1801,2.6193008650921e-08
1802,2.0140561218795483e-08
1803,9.751696339321825e-09
1804,7.4155526164076946e-09
1805,2.842877711017877e-09
1806,1.152667650217154e-08
1807,2.8469551160981155e-09
1808,1.3596443970698147e-08
1809,2.0331274441787173e-08
1810,1.4040760554223652e-08
1811,1.504245972228091e-08
1812,8.00162425207418e-09
1813,3.4508900625951355e-08
1814,1.2586708564299443e-08
1815,1.0788894222457657e-08
1816,1.1588019432906549e-08
1817,1.2454987263765815e-08
1818,3.337929754820834e-08
1819,1.2421260464634543e-08
1820,2.4919611263385377e-08
1821,3.648750634965836e-08
1822,3.308453244699194e-08
1823,4.0519015698237126e-08
1824,2.863178316658832e-08
1825,1.4088708866211164e-08
1826,3.082794464148719e-08
1827,3.2260455640198415e-08
1828,3.66892045633449e-08
1829,4.9724420136953995e-08
1830,1.7742621594152297e-08
1831,2.0268567268999504e-08
1832,1.488296597074168e-08
1833,5.09679658478035e-08
1834,2.333632664885954e-08
1835,2.3445572594482655e-08
1836,2.2850549896702432e-08
1837,2.0873672568200163e-08
1838,4.039783618736692e-08
1839,5.5931799636255164e-08
1840,4.7772665823231364e-08
1841,2.632424944692957e-08
1842,5.769107858100142e-08
1843,4.371114314949409e-08
1844,5.1043620885593555e-08
1845,5.859239493588575e-08
1846,3.6297908678761814e-08
1847,3.020205241455187e-08
1848,6.194820656446609e-08
1849,4.524883934209356e-08
1850,6.11009625117731e-08
1851,6.965393595237401e-08
1852,7.161600024119252e-08
1853,7.285756709052293e-08
1854,3.273268589509826e-08
1855,5.1477289986223695e-08
1856,4.659470320689252e-08
1857,5.27202992373077e-08
1858,3.52344677878591e-08
1859,4.277425702525761e-08
1860,5.813023662426531e-08
1861,5.2818794671338765e-08
1862,4.292087041335435e-08
1863,4.7948361725502764e-08
1864,3.8837296045812764e-08
1865,5.318734253023649e-08
1866,5.6441109563820646e-08
1867,3.8337212515671126e-08
1868,5.9278487896108345e-08
1869,2.783605879130846e-08
1870,9.23181886491875e-08
1871,6.797553453452565e-08
1872,7.317280648067026e-08
1873,6.644464889404844e-08
1874,7.05003913026303e-08
1875,5.8359578503086595e-08
1876,4.5949711591219966e-08
1877,5.690030846494665e-08
1878,6.884560832531861e-08
1879,5.376206146934237e-08
1880,6.161132404258751e-08
1881,8.018383823582553e-08
1882,7.187816208897857e-08
1883,5.371438049905919e-08
1884,7.063815843366683e-08
1885,7.283568237426152e-08
1886,6.001721430948237e-08
1887,5.549586035158427e-08
1888,5.960177773545183e-08
1889,6.954302023132186e-08
1890,5.964491833765351e-08
1891,5.991766727220238e-08
1892,5.202865338560514e-08
1893,5.850495554682311e-08
1894,5.797416235964192e-08
1895,5.1760085995056215e-08
1896,6.132910357337096e-08
1897,3.96216535136773e-08
1898,6.337357660868292e-08
1899,5.3617512207893014e-08
1900,5.7620688664883346e-08
1901,6.315274703183604e-08
1902,4.959386856739911e-08
1903,5.238213773850475e-08
1904,4.944655174199397e-08
1905,6.5541641447453e-08
1906,5.864370322683499e-08
1907,5.297128780057392e-08
1908,4.174680867663483e-08
1909,5.0609049395689e-08
1910,5.878565900729882e-08
1911,6.171634225893285e-08
1912,5.1052328586820295e-08
1913,5.090870303092743e-08
1914,4.68772043404897e-08
1915,6.715034572835066e-08
1916,8.130722051191697e-08
1917,6.031533672512523e-08
1918,8.040463228553563e-08
1919,4.880159565345821e-08
1920,4.316171953178127e-08
1921,3.256281289054641e-08
1922,4.795657915224183e-08
1923,2.9724654737606215e-08
1924,1.933743654092268e-08
1925,1.8696901804560184e-08
1926,1.7833821530643945e-08
1927,1.4493992672726108e-08
1928,1.7139061725401916e-08
1929,2.33948540540041e-08
1930,1.6805765667982087e-08
1931,3.649714130915527e-08
1932,1.6439305028370654e-08
1933,1.8353059516584835e-08
1934,1.7972370258689807e-08
1935,1.3165112555668657e-08
1936,1.6974599503782883e-08
1937,1.7627565185307503e-08
1938,3.630260181353151e-08
1939,3.5176316970364496e-08
1940,4.057252667166722e-08
1941,3.836953510472085e-08
1942,4.247896612241675e-08
1943,4.3548528338988035e-08
1944,5.462416652335378e-08
1945,1.3071024262956144e-08
1946,3.062643116891195e-08
1947,2.622591566137089e-08
1948,2.717971980814582e-08
1949,3.435953033203987e-08
1950,2.2334258886758107e-08
1951,2.0256663901818683e-08
1952,1.2653764258629963e-08
1953,3.016671712430252e-08
1954,3.713563856422297e-08
1955,2.7218263198847126e-08
1956,3.0523995775411095e-08
1957,3.534015036166238e-08
1958,2.7298403537656668e-08
1959,3.5653439312000046e-08
1960,3.114374891310945e-08
1961,2.987708569435199e-08
1962,3.297817485758969e-08
1963,4.008953169432061e-08
1964,3.1636634645337836e-08
1965,3.447387442179206e-08
1966,3.26805427164345e-08
1967,4.48660522067712e-08
1968,4.042274426296899e-08
1969,4.67801051229344e-08
1970,3.49503110896876e-08
1971,5.60085311462899e-08
1972,3.745007148836521e-08
1973,3.914374602231874e-08
1974,3.8816445169231883e-08
1975,3.4268879289811593e-08
1976,3.085304456362792e-08
1977,3.467301112891619e-08
1978,3.5643548557118265e-08
1979,5.208256226296726e-08
1980,4.2638628627855724e-08
1981,5.3134616706529414e-08
1982,6.083352133146036e-08
1983,4.673333720006667e-08
1984,5.799008562235031e-08
1985,6.135869057288801e-08
1986,6.354154891141661e-08
1987,5.438626970999394e-08
1988,5.81665702270584e-08
1989,4.225854155492925e-08
1990,5.2307051134903304e-08
1991,6.388997064732393e-08
1992,7.107828281505135e-08
1993,7.090185505376212e-08
1994,7.068401686183279e-08
1995,6.94073705176379e-08
1996,6.51247233918184e-08
1997,7.000546276003661e-08
1998,6.389293361053205e-08
1999,7.723640038648227e-08
2000,6.008522746014933e-08
2001,5.783199696907104e-08
2002,6.48420765969604e-08
2003,7.167107440864129e-08
2004,6.959569986975112e-08
2005,6.620511783239635e-08
2006,5.929761570655501e-08
2007,4.993099267380785e-08
2008,6.428734167229777e-08
2009,6.198650481792356e-08
2010,6.329882751288096e-08
2011,6.080115610984649e-08
2012,6.195740098746683e-08
2013,5.076207543197597e-08
2014,6.019937615064919e-08
2015,4.92079728076078e-08
2016,4.246247087280608e-08
2017,4.6790372465466135e-08
2018,4.336864023457565e-08
2019,4.5152482641697134e-08
