year,pourraient_VERB oser_VERB,pourraient_VERB causer_VERB
1800,0.0,5.345079756580162e-08
1801,0.0,4.0480102825313224e-08
1802,0.0,6.713520406265161e-08
1803,0.0,7.411289004721766e-08
1804,0.0,8.898663139689234e-08
1805,0.0,6.254330742194725e-08
1806,0.0,7.780506905419315e-08
1807,0.0,5.97860605466849e-08
1808,0.0,1.540930298915555e-07
1809,0.0,1.3780086760561971e-07
1810,0.0,1.3338723192646285e-07
1811,0.0,9.777599530025327e-08
1812,0.0,1.3069320914382843e-07
1813,0.0,1.2365688917270745e-07
1814,0.0,1.950939889638903e-07
1815,0.0,7.821948599939788e-08
1816,0.0,6.257530316133852e-08
1817,0.0,8.56280379935015e-08
1818,0.0,9.536941547594324e-08
1819,0.0,6.003609342997152e-08
1820,0.0,1.2341141086835705e-07
1821,0.0,8.678109963966563e-08
1822,1.5038423839541792e-08,7.519211919770896e-08
1823,9.882686891060644e-10,1.4626377264903567e-07
1824,0.0,7.242157096243318e-08
1825,0.0,1.0214314016820936e-07
1826,8.807984341885344e-10,9.688783109140786e-08
1827,0.0,1.852671829283281e-07
1828,0.0,1.201571393494305e-07
1829,5.143905745796928e-09,1.3459886361033568e-07
1830,0.0,1.4194097275321838e-07
1831,4.677361609140007e-09,1.5279381671007286e-07
1832,0.0,1.4747666909897816e-07
1833,0.0,1.158362863407092e-07
1834,0.0,1.4281832250162552e-07
1835,2.2689263801112247e-09,1.9890921976184472e-07
1836,0.0,1.196293482053079e-07
1837,2.0873671680021744e-09,1.3707045809496776e-07
1838,0.0,1.2624323630916479e-07
1839,3.4957374772659477e-09,1.0277468476260765e-07
1840,5.095750932326837e-09,1.3121558595230454e-07
1841,6.420548537278137e-10,1.5987166079867166e-07
1842,2.0124795163667386e-09,2.2539771293850208e-07
1843,1.1813822142769936e-09,1.6480281317399204e-07
1844,2.7442805805577564e-09,1.4874001408315962e-07
1845,2.2320911785556063e-09,1.400637188453402e-07
1846,0.0,1.5163158195719006e-07
1847,7.011190739092399e-09,1.2781940483819199e-07
1848,2.413566457803995e-09,1.0861049304367043e-07
1849,0.0,1.4999152142536332e-07
1850,2.0366988096043315e-09,8.554135177973876e-08
1851,0.0,1.289887734401418e-07
1852,0.0,1.3802356590986165e-07
1853,0.0,9.43565225952625e-08
1854,0.0,1.1326548587931029e-07
1855,0.0,1.0560805208115198e-07
1856,0.0,9.008309120872582e-08
1857,9.763018171682347e-10,9.079607110606958e-08
1858,0.0,7.58519789201273e-08
1859,0.0,6.721668910358858e-08
1860,4.57718396518203e-09,1.171759080875745e-07
1861,9.431927461278633e-10,7.687020797675359e-08
1862,0.0,1.0572087916216333e-07
1863,0.0,8.690640385111692e-08
1864,9.589455896019672e-10,7.671565072087105e-08
1865,2.3534221238463715e-09,8.84886759422443e-08
1866,3.8924903300596725e-09,5.498142741089396e-08
1867,9.7056229719783e-10,5.677789260971622e-08
1868,4.939874287401835e-09,5.77965266757019e-08
1869,7.325278605918584e-09,1.1818116263384582e-07
1870,1.7202146374017957e-09,8.945116292125022e-08
1871,1.0621177271019633e-09,7.434824311758348e-08
1872,1.2094678591978436e-09,4.535504416480762e-08
1873,5.986004469882289e-10,7.063485440994555e-08
1874,3.5847653734322193e-09,6.631815807622843e-08
1875,0.0,4.863298030954866e-08
1876,0.0,6.650616057868319e-08
1877,0.0,7.978412952525105e-08
1878,0.0,7.367687970827319e-08
1879,1.832797580370027e-09,6.475885072632082e-08
1880,6.417846254436199e-10,7.123809098175116e-08
1881,1.3945015142624584e-09,6.554157039317943e-08
1882,0.0,9.051323957010027e-08
1883,4.423537092179686e-09,7.520013411976834e-08
1884,6.601696966868076e-10,6.271611852071146e-08
1885,6.445635691854079e-10,1.0635299219075023e-07
1886,0.0,1.026100733270141e-07
1887,0.0,1.1295039570313747e-07
1888,4.4384300679212174e-09,6.721051448721482e-08
1889,1.2530273485467092e-09,6.202485280937253e-08
1890,7.209825181320184e-09,1.1142456912693888e-07
1891,1.9122659011827636e-09,5.991766727220238e-08
1892,6.268512375839919e-10,7.083419006903569e-08
1893,0.0,8.190693989718056e-08
1894,0.0,6.490585491292222e-08
1895,3.611168697403855e-09,4.995450098022047e-08
1896,0.0,7.017464298542109e-08
1897,0.0,9.206207352008278e-08
1898,5.6583548957434e-10,8.261198303216588e-08
1899,5.527578395003729e-10,6.356714976618605e-08
1900,4.671947717582725e-09,6.281174336209006e-08
1901,0.0,8.10367168924131e-08
1902,0.0,8.101968518303693e-08
1903,0.0,8.262337303222012e-08
1904,5.374625189347171e-10,7.578221783433037e-08
1905,4.1286072338664326e-09,8.515252147844876e-08
1906,1.0288369045596824e-09,6.635998062165527e-08
1907,0.0,7.457122563891971e-08
1908,4.911389073214423e-10,9.086069496788696e-08
1909,0.0,6.491160320365452e-08
1910,5.344150677544235e-10,6.19921465272455e-08
1911,2.128149656499545e-09,8.35298763490755e-08
1912,3.646594803896619e-09,8.543450746856251e-08
1913,3.71209285532359e-09,8.060544587351615e-08
1914,1.3393487430235496e-09,5.1564928327252346e-08
