year,furent_VERB assez_ADV
1800,7.168695219661458e-07
1801,8.429386184616305e-07
1802,4.811356575373793e-07
1803,8.405962148572144e-07
1804,7.736893508081266e-07
1805,6.282759841269581e-07
1806,4.870020688940713e-07
1807,7.914535444797366e-07
1808,7.79529443661886e-07
1809,8.674677474118653e-07
1810,9.71152644524409e-07
1811,1.0630005817802157e-06
1812,6.214594918674266e-07
1813,5.348879312805366e-07
1814,7.142957088035473e-07
1815,7.039753313620167e-07
1816,7.161395956245542e-07
1817,7.504129939661652e-07
1818,7.069258458614058e-07
1819,9.326296321887639e-07
1820,1.0228907285636524e-06
1821,6.321213845694729e-07
1822,8.461619813715515e-07
1823,9.082189080800163e-07
1824,9.044275088854192e-07
1825,9.844485475696274e-07
1826,1.3035817119089188e-06
1827,7.816247489245143e-07
1828,7.181911882980785e-07
1829,7.964480346345226e-07
1830,8.923494760892936e-07
1831,5.971431846774067e-07
1832,6.359085773510742e-07
1833,6.150906983748428e-07
1834,6.562175371982448e-07
1835,8.100067248051346e-07
1836,9.47625778735528e-07
1837,8.460795584142033e-07
1838,8.685534567121067e-07
1839,7.641682486791979e-07
1840,8.000329216883983e-07
1841,6.266455443437735e-07
1842,7.828545562915679e-07
1843,7.25368693110795e-07
1844,7.305275175895076e-07
1845,6.182892775541404e-07
1846,6.01842714331724e-07
1847,6.82242784932896e-07
1848,5.848876298841788e-07
1849,6.410252240129921e-07
1850,6.91119794282713e-07
1851,6.043123903509695e-07
1852,5.533963758352911e-07
1853,6.521349291688239e-07
1854,6.816711675128317e-07
1855,6.824720912845805e-07
1856,6.813181130382873e-07
1857,7.166055411289562e-07
1858,6.743485414517636e-07
1859,6.833696488683927e-07
1860,5.913721565775631e-07
1861,5.01306942624069e-07
1862,5.033036813983927e-07
1863,5.943599035163061e-07
1864,5.552295192501333e-07
1865,5.375216005631955e-07
1866,6.111209813752794e-07
1867,5.794257162961003e-07
1868,4.7669783498349716e-07
1869,5.606279955827631e-07
1870,5.281058861328347e-07
1871,5.023816811444703e-07
1872,5.968723826299538e-07
1873,5.650788352795644e-07
1874,5.974609393888386e-07
1875,6.356616495395429e-07
1876,5.024238021178462e-07
1877,5.393159767663747e-07
1878,6.238378773559816e-07
1879,5.541157861443935e-07
1880,5.44875149444124e-07
1881,4.859837758885988e-07
1882,4.9649173661237e-07
1883,5.523102117876988e-07
1884,5.400187887971697e-07
1885,5.929985036345897e-07
1886,5.950093964202097e-07
1887,4.988098680769326e-07
1888,5.059810632701556e-07
1889,4.780299605045002e-07
1890,4.856800615016255e-07
1891,5.156744009582326e-07
1892,4.6386992380575975e-07
1893,5.01910960792884e-07
1894,4.392173025280499e-07
1895,5.404716034718149e-07
1896,5.289634827931877e-07
1897,4.754598137424182e-07
1898,4.815260012946965e-07
1899,4.6376382556445606e-07
1900,4.7394314606208354e-07
1901,4.979566483598319e-07
1902,4.4978199298384425e-07
1903,5.31921671154123e-07
1904,4.971528255737212e-07
1905,5.01109695960622e-07
1906,4.953849952471501e-07
1907,4.947415277456457e-07
1908,5.643186113957199e-07
1909,5.368959818952135e-07
1910,5.269332632451551e-07
1911,5.059675913798856e-07
1912,5.516777150660346e-07
1913,5.759046644016053e-07
1914,6.087340125304763e-07
1915,5.289562068355735e-07
1916,4.55979687785657e-07
1917,4.715562624824088e-07
1918,4.755359839236917e-07
1919,5.036692982685054e-07
1920,4.573628018533782e-07
1921,4.967722588844481e-07
1922,4.456273074993078e-07
1923,4.6179374635357817e-07
1924,5.324241101334337e-07
1925,5.213136091697379e-07
1926,5.015762098992127e-07
1927,4.548883794086578e-07
1928,4.867493430538161e-07
1929,5.013183113078412e-07
1930,5.524895527742046e-07
1931,4.847276500186126e-07
1932,5.205779984862602e-07
1933,4.576794196964329e-07
1934,4.828576720683486e-07
1935,4.823218660021666e-07
1936,4.3770219804173394e-07
1937,4.583166912652814e-07
1938,4.978642209607642e-07
1939,4.190569882212003e-07
1940,5.172997248337197e-07
1941,4.102588491150527e-07
1942,5.036791321799683e-07
1943,3.8322704654092377e-07
1944,4.819779064746399e-07
1945,5.664110744874051e-07
1946,4.983755275134172e-07
1947,4.601456282671279e-07
1948,4.131317439259874e-07
1949,4.2900325070149847e-07
1950,4.6370175255106005e-07
1951,4.0939784184956807e-07
1952,4.6397136088671687e-07
1953,4.977508183401369e-07
1954,3.7721989087913244e-07
1955,3.8199422647267056e-07
1956,4.66581070668326e-07
1957,4.1613026269260445e-07
1958,4.2767499053297797e-07
1959,3.7668633012799546e-07
1960,3.453495764915715e-07
1961,3.8770727428527607e-07
1962,3.805173776072479e-07
1963,3.9184283195936587e-07
1964,3.7720604950663983e-07
1965,3.9562874576404283e-07
1966,3.8496568777190987e-07
1967,3.584353862606804e-07
1968,4.365656138816121e-07
1969,3.356358888595423e-07
1970,3.4674386029109883e-07
1971,3.447864571626269e-07
1972,3.6937058212060947e-07
1973,3.374080677076563e-07
1974,2.925297337696975e-07
1975,3.101333732047351e-07
1976,3.0510233273162157e-07
1977,2.685689253212331e-07
1978,3.4455430863999936e-07
1979,2.996210355377116e-07
1980,3.0984071486273024e-07
1981,2.5934753011824796e-07
1982,2.2719459025211108e-07
1983,2.740847264703916e-07
1984,2.0760450070156367e-07
1985,2.189663064200431e-07
1986,2.505694851606677e-07
1987,2.3587753616993723e-07
1988,2.4825732225508546e-07
1989,2.381844979026937e-07
1990,2.5172766981995665e-07
1991,2.2918328568266588e-07
1992,2.110308656710913e-07
1993,2.3320063746723463e-07
1994,2.5161401140394446e-07
1995,2.1418681228624337e-07
1996,2.1832796903709095e-07
1997,2.2823697065632587e-07
1998,2.0932087352321105e-07
1999,2.275960184761061e-07
2000,2.0543846801501786e-07
2001,2.3921415959193837e-07
2002,2.3045224395445985e-07
2003,2.0626268337764486e-07
