year,étant_VERB assez_ADV,etant_VERB assez_ADV
1934,6.026734808983747e-07,3.5944740517379614e-09
1935,5.505410740624939e-07,3.590485242455088e-09
1936,6.426098480005749e-07,0.0
1937,7.227301921375329e-07,3.777335333410292e-09
1938,5.523181130229204e-07,1.2965214457594243e-09
1939,6.239972663024673e-07,4.588215141154706e-09
1940,5.781585059594363e-07,1.01431314458722e-08
1941,5.135614742357575e-07,2.9515025978810172e-09
1942,6.007739443703031e-07,0.0
1943,6.125826530478662e-07,2.9032352077962287e-09
1944,6.554899982802453e-07,3.2131861615880553e-09
1945,5.31554974259052e-07,6.535512131478072e-09
1946,5.290019657877565e-07,5.568441707737293e-09
1947,5.102132831780182e-07,1.1920870957027319e-09
1948,5.435944103737711e-07,3.2615663503321457e-09
1949,5.772400868409022e-07,2.9451024952109606e-09
1950,6.083427024350385e-07,5.317680518146517e-09
1951,5.767818151980464e-07,6.396841278899501e-09
1952,6.896301556480466e-07,3.163441175679793e-09
1953,5.925605250922672e-07,5.386913803917537e-09
1954,6.342376082102419e-07,0.0
1955,5.603208137472393e-07,7.508486277174597e-09
1956,6.130962333372736e-07,4.36057079333807e-09
1957,5.990155500512628e-07,1.7670075402875796e-09
1958,5.666486799782433e-07,4.963346011965797e-09
1959,5.696799689758336e-07,5.425523585955716e-09
1960,6.034966872903169e-07,3.460416619915918e-09
1961,5.801712745778786e-07,2.779263708063695e-09
1962,5.295533469507063e-07,3.170978202238217e-09
1963,5.877642479390488e-07,2.5864212993553792e-09
1964,5.591166996055108e-07,4.258777885901566e-09
1965,5.25863356415357e-07,1.6416130677043839e-09
1966,5.328590191311378e-07,1.6617224263271169e-09
1967,5.009221126783814e-07,3.944268467392931e-09
1968,5.165128413864295e-07,6.737123636746389e-09
1969,4.355545684120443e-07,4.5417577476669635e-09
1970,4.4837568680122786e-07,3.2191074805787423e-09
1971,4.2032090163957037e-07,6.166077093361366e-09
1972,4.181069641617796e-07,5.130146973897354e-09
1973,4.261706578745361e-07,3.859242758696979e-09
1974,4.49483167130893e-07,2.812785782069227e-09
1975,4.4549545918926015e-07,2.2845920710778955e-09
1976,4.108025848381658e-07,4.570821388050206e-09
1977,4.0079652308122604e-07,2.9383909194713453e-09
1978,3.9920774952406646e-07,3.5643548113029055e-09
1979,3.376588608716702e-07,4.096381234219848e-09
1980,3.9170689092316024e-07,3.97960553399912e-09
1981,3.75737641888918e-07,3.795329717171114e-09
1982,3.7307088973648206e-07,4.966001942996456e-09
1983,3.416585911963921e-07,3.157658134966823e-09
1984,3.415615879021061e-07,2.8995042478108246e-09
1985,3.302541244920576e-07,1.2031116103372597e-09
1986,3.14111048282939e-07,5.3950369172106605e-09
1987,2.957635274469794e-07,7.3329800009958035e-09
1988,3.154187311338319e-07,4.1975875553212916e-09
1989,3.1940871281221916e-07,4.390497743145261e-09
1990,2.9204770157775783e-07,5.44865097484859e-10
1991,2.807641692470497e-07,1.1722930404189924e-09
1992,2.782521733024623e-07,2.754972139307199e-09
1993,2.957936828806851e-07,1.6617622278225497e-09
1994,3.249354847412178e-07,2.1099706426497278e-09
1995,2.684113269424415e-07,3.253470548525428e-09
1996,2.7918221690015343e-07,2.135236876199542e-09
1997,2.5173196149808064e-07,5.27438381858758e-09
1998,2.8418051556400314e-07,7.629006759657386e-09
1999,2.8426651965673955e-07,2.285100608734325e-09
2000,2.8319581701907737e-07,5.3016377954406835e-09
2001,2.8215004022058565e-07,1.7524847129024579e-09
2002,2.576158237843629e-07,1.752488598683044e-09
2003,2.650162969075609e-07,2.9168460979889232e-09
2004,2.7750184017349966e-07,1.3214374039449694e-09
2005,3.0850685561745195e-07,1.3511248786457486e-09
2006,2.754868262400123e-07,1.2353669753828456e-09
2007,2.708256943151355e-07,1.5977917877663117e-09
2008,2.9929802281003504e-07,3.405951742863067e-09
2009,2.9276702662173193e-07,1.907277002999308e-09
2010,2.85317099724125e-07,1.417137907022692e-09
2011,3.319207735330565e-07,1.91198598620268e-09
2012,3.237444445858273e-07,2.7234021704458655e-09
2013,3.151711212012742e-07,1.952387529424726e-09
2014,2.7847625005961163e-07,3.897801192920269e-09
2015,3.0943391493565287e-07,2.659890446787827e-09
2016,3.1070101158547914e-07,1.6570720351438695e-09
2017,2.523158286749094e-07,3.2702947017071438e-09
2018,2.7724951223717653e-07,1.5488800242380307e-09
2019,3.0050634336475923e-07,3.3162841361900064e-09
