year,était_VERB ouverte_ADJ,était_VERB couverte_ADJ,etait_VERB couverte_ADJ
1800,1.5720821977538435e-08,1.3834323908668011e-07,0.0
1801,7.143547975374531e-09,1.73826322225068e-07,0.0
1802,1.1189200677108602e-08,1.2531904758361634e-07,0.0
1803,5.851017448321727e-09,1.0921899473714802e-07,0.0
1804,1.4831105232815389e-08,2.3482583344502928e-07,0.0
1805,1.421438877713399e-08,1.3645812657614442e-07,0.0
1806,3.458002950651462e-08,9.221341201737232e-08,0.0
1807,8.540865792383556e-09,1.3095993267597805e-07,0.0
1808,1.3596443970698147e-08,1.0197332755979005e-07,0.0
1809,1.8072244145628247e-08,1.8975856619363185e-07,0.0
1810,1.6380887757350138e-08,1.708292529656319e-07,0.0
1811,1.0028307073639553e-08,2.3817229077849333e-07,2.5070767684098882e-09
1812,8.00162425207418e-09,1.3069320914382843e-07,0.0
1813,6.326631307729258e-08,9.777521370324394e-08,2.8757416448144113e-09
1814,2.5173417128598885e-08,1.9194730782601255e-07,0.0
1815,4.8550024445148665e-08,3.182723844474822e-07,0.0
1816,4.6352077731626196e-09,2.3871319854151807e-07,0.0
1817,3.113746815941454e-09,2.802372023325006e-07,3.113746815941454e-09
1818,2.2650237685439834e-08,2.5392108682353864e-07,0.0
1819,1.2421260464634543e-08,2.0184548077395448e-07,0.0
1820,2.7292907489595564e-08,1.9105034709809843e-07,5.933240565525466e-09
1821,3.155676253641104e-08,3.6290276739237015e-07,2.9584463767662328e-09
1822,5.413832582235045e-08,3.2081970857689157e-07,3.0076847679083585e-09
1823,1.3835761869529506e-08,3.1921078402774583e-07,2.9648061783404955e-09
1824,2.5263338088166165e-08,2.433701524751086e-07,0.0
1825,1.1447076175841175e-08,2.94101795361712e-07,8.805443041381977e-10
1826,2.554315514657901e-08,2.4310037360919523e-07,0.0
1827,4.2399455946195985e-08,2.571619290847593e-07,0.0
1828,4.219258542548232e-08,2.5040381501639786e-07,0.0
1829,1.971830476676928e-08,2.5548064286340377e-07,2.571952872898464e-09
1830,3.339787335576716e-08,3.2249823789243237e-07,0.0
1831,3.897801548191637e-08,2.650505166457151e-07,1.5591206103948707e-09
