year,ont_VERB assez_ADV,ont_VERB cassé_VERB
1800,2.4052858407230815e-06,3.772997558826319e-08
1801,1.9382825939828763e-06,4.7623650800687756e-08
1802,1.962585884029977e-06,6.713520406265161e-09
1803,1.928885467350483e-06,1.0531832117521844e-07
1804,1.5226602272377932e-06,2.9662210465630778e-08
1805,1.7085694707930088e-06,7.107194477384837e-08
1806,1.6973031051747967e-06,3.458002950651462e-08
1807,1.5715191921117366e-06,4.555128185756985e-08
1808,1.611178618077247e-06,6.798222074166915e-08
1809,1.7123451243605814e-06,6.325285539787728e-08
1810,1.394715582136996e-06,7.488405628919281e-08
1811,1.3463002233038424e-06,5.766276700569506e-08
1812,1.6483346598761273e-06,7.734903562095496e-08
1813,1.4580010656572995e-06,7.764502640839055e-08
1814,1.645712131903565e-06,1.5733386149463513e-08
1815,1.3216395018389449e-06,9.170560133497929e-08
1816,1.9143408280797303e-06,4.4034472068688046e-08
1817,1.5226221421471564e-06,6.694555310104988e-08
1818,1.6761175629653735e-06,4.410835785506606e-08
1819,1.5599032394675305e-06,4.6579724966022695e-08
1820,1.7538659449201077e-06,6.645229433388522e-08
1821,1.4555556617779075e-06,8.08642042215979e-08
1822,1.5078526303113904e-06,7.318699601910339e-08
1823,1.3074794651402044e-06,5.6331316500290995e-08
1824,1.4383260804606834e-06,5.221090049190025e-08
1825,1.2715059938273043e-06,6.692136622632461e-08
1826,1.3247208698885515e-06,5.460950447400137e-08
1827,1.1917934443772538e-06,1.0507691428074395e-07
1828,1.1740545460270368e-06,1.2841221064263664e-07
1829,1.2739739077005652e-06,1.354561760535944e-07
1830,1.346351837128168e-06,1.1480519646056564e-07
1831,1.2020819895042223e-06,7.483778574624012e-08
1832,1.263699118680961e-06,1.7588959622116818e-07
1833,1.2151226655987557e-06,5.6759780875381693e-08
1834,1.1266778301433078e-06,7.000897994657862e-08
1835,1.2872375236838707e-06,6.655517381659593e-08
1836,1.3024813370066113e-06,4.838939915430274e-08
1837,1.2503329571700306e-06,6.331680424409569e-08
1838,1.2580138673001784e-06,3.1560809077291196e-08
1839,1.189949102808896e-06,9.368577025270497e-08
1840,1.059279270521074e-06,5.286841542329057e-08
1841,1.1813809805971687e-06,8.218302127716015e-08
1842,1.247066506948613e-06,5.2995293486901573e-08
1843,1.2304095662329928e-06,1.1813822453632383e-07
1844,1.1509513342389255e-06,6.860701518007772e-08
1845,1.105443175219989e-06,8.202935219969731e-08
1846,1.2130526556575205e-06,7.025401771443285e-08
1847,9.200839485856704e-07,8.035902965275454e-08
1848,1.1335716862959089e-06,8.367030801537112e-08
1849,9.560912985762116e-07,3.603148357456121e-08
1850,1.1120375802420313e-06,6.042206734946376e-08
1851,1.0744764722403488e-06,7.932809609201286e-08
1852,1.130230657508946e-06,4.8829090104618444e-08
1853,1.2069274362147553e-06,4.359510086260343e-08
1854,1.2085115486115683e-06,4.676098086520142e-08
1855,1.0534270131756784e-06,4.6701046585440054e-08
1856,1.069607264980732e-06,6.057311452423164e-08
1857,1.125676021729305e-06,4.4421732070532016e-08
1858,1.0359912039348274e-06,3.229826006645453e-08
1859,1.006722641250235e-06,5.244938705573077e-08
1860,1.1113402251794469e-06,8.010071894659632e-08
1861,1.062035039467446e-06,5.8006353498285534e-08
1862,1.0653411663952284e-06,5.783022416494532e-08
1863,1.106807985706837e-06,2.946826249683454e-08
1864,1.0505249292691587e-06,7.3359338159662e-08
1865,1.0246800457025529e-06,5.17752880568878e-08
1866,1.0057221970782848e-06,4.4277076227672296e-08
