year,pourront_VERB oser_VERB,pourront_VERB causer_VERB
1800,0.0,0.0
1801,0.0,1.4287095950749062e-08
1802,0.0,2.9091921760482364e-08
1803,0.0,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,7.675770063997334e-08
1806,0.0,1.4408345627714425e-08
1807,0.0,2.2775640928784924e-08
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,2.8081521108447305e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,1.1502966579257645e-08
1814,0.0,9.440030979135372e-09
1815,0.0,5.3944472000466703e-08
1816,0.0,1.1588019432906549e-08
1817,0.0,2.9580593974287694e-08
1818,0.0,3.5763532135746345e-09
1819,0.0,1.7596784473994376e-08
1820,3.5599443393152796e-09,7.119888678630559e-09
1821,0.0,1.3806083387635226e-08
1822,0.0,6.015369535816717e-09
1823,0.0,1.7788837070042973e-08
1824,0.0,9.263223965660927e-09
1825,1.0566531649658373e-08,1.4088708866211164e-08
1826,0.0,4.403992281964975e-09
1827,0.0,8.295545583791863e-09
1828,0.0,2.109629271274116e-08
1829,0.0,1.457439946506156e-08
1830,0.0,2.0873671680021744e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,1.7588959622116818e-08
1833,0.0,6.950177322551099e-09
1834,0.0,1.4935249481595747e-08
1835,0.0,2.3445572594482655e-08
1836,0.0,1.1425274948351216e-08
1837,0.0,2.7831563720326358e-09
1838,0.0,8.2058102535143e-09
1839,6.9914751765765e-10,9.788065469251706e-09
1840,0.0,5.095750932326837e-09
1841,0.0,1.6693427085101575e-08
1842,0.0,7.379091560011375e-09
1843,0.0,8.860366662588604e-09
1844,0.0,1.1525978393933656e-08
1845,5.580227946389016e-10,2.7343116215661212e-08
1846,5.854501328173001e-10,8.781752214304106e-09
1847,2.1572894581822766e-09,1.4561703842730367e-08
1848,0.0,2.333114323960217e-08
1849,0.0,1.0893239199560867e-08
1850,0.0,4.752297222410107e-09
1851,1.2898877521649865e-09,5.159551008659946e-09
1852,0.0,7.812654523320361e-09
1853,0.0,2.09017620989016e-08
1854,0.0,2.182179059673217e-08
1855,5.306937111981824e-10,1.4328730202350926e-08
1856,2.0708756931497874e-09,1.2425253714809514e-08
1857,0.0,2.39193944651106e-08
1858,0.0,1.0766087576996597e-08
1859,0.0,3.666364989385329e-08
1860,0.0,2.334363813361051e-08
1861,0.0,1.226150558863992e-08
1862,4.517986262886353e-10,1.1746764450037972e-08
1863,0.0,1.6981710260211003e-08
1864,0.0,1.0068928801842958e-08
1865,4.706844358715045e-10,9.88437331983505e-09
1866,0.0,1.1190909532388105e-08
1867,0.0,1.9896527092555516e-08
1868,1.975949626142892e-09,5.9278488784286765e-09
1869,9.767038289254515e-10,2.4417595057002472e-08
1870,0.0,9.747882501187632e-09
1871,0.0,1.911811864374613e-08
1872,0.0,1.4513614310374123e-08
1873,0.0,6.584604861359367e-09
1874,0.0,1.8521287614703397e-08
1875,0.0,1.2015206607429718e-08
1876,1.209202959984168e-09,1.0882827083946722e-08
1877,0.0,1.7317484335421796e-08
1878,0.0,9.662541877730746e-09
1879,0.0,1.0996785704264767e-08
1880,0.0,1.0268554007097919e-08
1881,0.0,9.761510710859511e-09
1882,1.3310770263785798e-09,1.2645231528551903e-08
1883,0.0,1.516641390253426e-08
1884,0.0,8.582206056928499e-09
1885,0.0,1.2246707647989297e-08
1886,0.0,6.4534639854230136e-09
1887,0.0,1.1752064210668323e-08
