year,devrait_VERB oser_VERB,devrait_VERB causer_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,7.143547975374531e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,1.1702034896643454e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,4.518061036407062e-09,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,6.952811659743929e-09
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,2.070210003424222e-09
1820,0.0,2.1359666035891678e-08
1821,0.0,0.0
1822,0.0,5.012807946513931e-09
1823,0.0,4.941343334508019e-09
1824,0.0,2.5263338088166165e-09
1825,0.0,1.3208164340028361e-08
1826,0.0,3.5231937367541377e-09
1827,0.0,0.0
1828,0.0,9.172301251858528e-10
1829,0.0,1.714635211591542e-09
1830,1.0436835840010872e-09,2.0873671680021744e-09
1831,3.1182412207897414e-09,0.0
1832,0.0,2.705993873419743e-09
1833,0.0,0.0
1834,2.8003592777992026e-09,9.334530925997342e-10
1835,7.563087933704082e-10,7.563087933704082e-09
1836,2.688300027031687e-09,4.704525213838906e-09
1837,9.045257876039159e-09,6.262101948095733e-09
1838,4.418513555037862e-09,1.8936485712828244e-09
1839,1.0487212875887053e-08,5.5931801412612e-09
1840,2.5478754661634184e-09,5.732719632334238e-09
1841,1.2841097074556274e-09,8.988767952189392e-09
1842,1.341653010911159e-09,7.379091560011375e-09
1843,1.1813822142769936e-09,4.7255288571079745e-09
1844,6.586273748609983e-09,3.2931368743049916e-09
1845,0.0,5.580227835366713e-09
1846,1.7563503984519002e-09,2.3418005312692003e-09
1847,3.235934187273415e-09,4.853901280910122e-09
1848,1.6090443422100975e-09,8.04522137798358e-09
1849,0.0,1.1731181359664333e-08
1850,5.431196825611551e-09,6.788996032014438e-09
1851,9.029214709244116e-09,1.3543821175687754e-08
1852,4.557382027314816e-09,5.208436348880241e-09
1853,7.166318205520383e-09,1.7915795513800958e-09
1854,1.0391328908454511e-09,9.352196350675968e-09
1855,1.0613874223963649e-09,4.2455496895854594e-09
1856,2.5885946719483854e-09,6.73034605824796e-09
1857,4.393358121745905e-09,2.4407544874094356e-09
1858,2.936205500958522e-09,2.936205500958522e-09
1859,9.165912473463322e-09,3.055304009791371e-09
1860,8.696649622663699e-09,3.204028820036342e-09
1861,0.0,3.772770984511453e-09
1862,0.0,9.035972858839614e-09
1863,1.4983863039219614e-09,5.494082966350788e-09
1864,0.0,3.3563094525845827e-09
1865,0.0,1.2708479601997169e-08
1866,5.352174259343201e-09,1.0704348518686402e-08
1867,8.73506067478047e-09,1.0190904120577216e-08
1868,9.87974813071446e-10,1.4819621974027086e-08
1869,4.883519144627257e-10,5.860222973552709e-09
1870,0.0,8.027668307875047e-09
1871,0.0,3.18635318130589e-09
1872,0.0,1.2094678591978436e-09
1873,2.3944017879529156e-09,1.1972008939764578e-09
1874,0.0,1.5533982988813477e-08
1875,0.0,3.432916173551348e-09
1876,6.04601479992084e-09,6.650616057868319e-09
1877,3.710889595609501e-09,9.895705588292003e-09
1878,3.0195443923020093e-09,6.039088784604019e-09
1879,3.0546627449723474e-09,6.720257683667796e-09
1880,6.417846254436199e-10,3.8507077526617195e-09
1881,2.7890030285249168e-09,9.064259565150223e-09
1882,4.6587693702804245e-09,4.6587693702804245e-09
1883,2.5277355764075082e-09,3.791603475633565e-09
1884,3.300848483434038e-09,9.242375753615306e-09
1885,3.86738152613475e-09,3.2228177904158883e-09
1886,0.0,2.5813855497602844e-09
1887,0.0,6.528924512139156e-09
