year,devait_VERB ouvrir_VERB,devait_VERB couvrir_VERB
1800,4.087413785214267e-08,3.144164395507687e-08
1801,2.3811825400343878e-08,4.524246932646747e-08
1802,3.5805442166747525e-08,3.3567602031325805e-08
1803,9.751696339321825e-09,1.5602713787643552e-08
1804,6.921182915675672e-08,7.415552971679062e-08
1805,1.2224374756897305e-07,7.675770063997334e-08
1806,3.458002950651462e-08,8.645007198992971e-08
1807,1.992868590150465e-07,8.256169792275614e-08
1808,3.3991110370834576e-08,9.064295625194063e-08
1809,6.325285539787728e-08,1.3102376783535874e-07
1810,3.510190182964834e-08,5.148278958699848e-08
1811,3.5099073869560016e-08,1.6045291317823285e-07
1812,6.401299401659344e-08,5.067695596494559e-08
1813,6.901780125190271e-08,5.7514832008109806e-08
1814,1.1642705288750221e-07,3.1466772298927026e-08
1815,7.552225866902518e-08,7.821948599939788e-08
1816,5.5622493277951435e-08,3.9399267848239106e-08
1817,9.808302792180257e-08,1.120948880384276e-07
1818,8.464036227451288e-08,1.0133000927226021e-07
1819,9.419455437864599e-08,7.659777168100845e-08
1820,1.8155715508783032e-07,1.7206397728841694e-07
1821,6.7058117281249e-08,4.2404398215012407e-08
1822,9.624591257306747e-08,6.51665033046811e-08
1823,8.894418357385803e-08,8.499110748516614e-08
1824,1.0189546628680546e-07,9.936913158981042e-08
1825,9.245714949202011e-08,6.427973175959778e-08
1826,8.367585024871005e-08,1.3652375230321923e-07
1827,9.770309361556428e-08,1.1521591147811705e-07
1828,1.1190207516165174e-07,1.8161156845053483e-07
1829,1.4745862131348986e-07,1.0459275046059702e-07
1830,1.450720219509094e-07,1.2837307394875097e-07
1831,7.171954763407484e-08,9.510635834431014e-08
1832,7.306183391619925e-08,5.817886972181441e-08
1833,1.3205335847032984e-07,1.1236119945579048e-07
1834,1.0454674281845655e-07,8.58776871837108e-08
1835,8.546289365085613e-08,9.000074641107858e-08
1836,9.005805168271763e-08,9.812295331812493e-08
1837,1.3707045809496776e-07,1.0436836106464398e-07
1838,1.35711474058553e-07,1.4265485503983655e-07
1839,1.3913034990764572e-07,1.2025337525756186e-07
1840,1.4395496350516623e-07,1.1019561441116821e-07
1841,1.7271275964958477e-07,1.2712686725535605e-07
1842,1.542900918138912e-07,1.2209042665745073e-07
1843,1.0514301607145171e-07,9.037574244530333e-08
1844,1.7453625389407534e-07,1.201994876964818e-07
1845,1.757771741495162e-07,1.467600014848358e-07
1846,1.7563503718065476e-07,1.042101231973902e-07
1847,1.2620142797459266e-07,1.9739198364732147e-07
1848,1.713632258315556e-07,1.9147627483562246e-07
1849,1.516674075219271e-07,1.835091865132199e-07
1850,8.96147440698769e-08,1.1201843364005981e-07
1851,1.6962023607902665e-07,1.6897529064863193e-07
1852,1.6081047249372205e-07,8.984552835045179e-08
1853,1.0928635418849808e-07,1.009256465067665e-07
1854,1.4391990532658383e-07,1.2157855167060916e-07
1855,2.1599234401037393e-07,1.2312094099797832e-07
