year,aient_VERB ouvert_VERB,aient_VERB couvert_VERB
1800,1.5720821977538435e-08,9.432493897065797e-09
1801,1.1905912700171939e-08,0.0
1802,4.475680270843441e-09,6.713520406265161e-09
1803,3.705644502360883e-08,1.950339267864365e-08
1804,4.943701892301533e-09,3.213406074564773e-08
1805,5.685755422035754e-09,3.1271653710973624e-08
1806,1.729001475325731e-08,1.152667650217154e-08
1807,2.2775640928784924e-08,0.0
1808,1.5862518409903714e-08,9.064295980465431e-09
1809,1.581321384946932e-08,0.0
1810,4.680253518074551e-09,7.020380277111826e-09
1811,0.0,2.5070767684098882e-09
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,4.3136125782439194e-08,8.627225156487839e-09
1814,4.090680150170556e-08,6.293354282149721e-09
1815,2.1577788444915313e-08,5.394447111228828e-09
1816,6.952811659743929e-09,2.3176038865813098e-08
1817,2.80237220096069e-08,1.556873407970727e-09
1818,1.7881765401739358e-08,1.1921177378582115e-09
1819,1.449147024601416e-08,5.175524897538253e-09
1820,8.306536791735653e-09,9.493184904840746e-09
1821,1.0847637454958203e-08,1.97229765852569e-09
1822,2.90742860897808e-08,3.0076847679083585e-09
1823,2.174191138237802e-08,1.9765373782121287e-09
1824,3.705289586264371e-08,0.0
1825,1.7610886082763955e-09,0.0
1826,3.52319382557198e-08,3.5231937367541377e-09
1827,2.949527377893446e-08,5.530363722527909e-09
1828,1.4675682002973645e-08,1.3758452155343548e-08
1829,1.971830521085849e-08,1.2859763920403111e-08
1830,1.3567886369969528e-08,3.1310507520032616e-09
1831,1.2472964883158966e-08,7.795603274018958e-09
1832,2.570694235259907e-08,1.0823975493678972e-08
1833,3.59092489077284e-08,1.6217079235048004e-08
1834,1.213489042584115e-08,6.534171426153534e-09
1835,1.5882484660778573e-08,2.2689263801112247e-09
1836,1.344150035720304e-08,4.704525213838906e-09
1837,2.2265250976261086e-08,2.7831563720326358e-09
1838,2.019891809368346e-08,2.5248647617104325e-09
1839,2.027527834513876e-08,3.4957374772659477e-09
1840,1.4013314952876499e-08,5.095750932326837e-09
1841,2.1829865914924085e-08,5.778493683550323e-09
1842,2.0795621225033756e-08,5.366612043644636e-09
1843,1.594865928211675e-08,5.906910960362666e-09
1844,1.4270259640625227e-08,6.037417232818143e-09
1845,2.7343116215661212e-08,1.674068350610014e-08
1846,2.2247105491146613e-08,2.3418005312692003e-09
1847,1.1325769655456952e-08,2.1572894581822766e-09
1848,2.011305433313737e-08,8.04522137798358e-09
1849,1.75967720394965e-08,8.379414939696517e-10
1850,3.6660580349234806e-08,9.504594444820214e-09
1851,2.7087642351375507e-08,4.514607354622058e-09
1852,1.3021090872200602e-08,3.906327261660181e-09
1853,1.851298847554972e-08,8.957897534855874e-09
1854,2.7017454939937124e-08,1.6626126253527218e-08
1855,1.326734277995456e-08,7.429711956774554e-09
1856,3.727576114442854e-08,1.346069211649592e-08
1857,2.8312753030945714e-08,1.9526036343364694e-09
1858,2.0064071293290908e-08,9.787352039936081e-10
1859,2.7497735644033128e-08,3.055304009791371e-09
1860,2.5174511364411956e-08,1.8308735638683515e-09
1861,1.0846716413936974e-08,1.4147891747029462e-09
1862,2.1234535907410645e-08,0.0
1863,2.2475793670651e-08,3.496234635136375e-09
1864,1.582260189536555e-08,5.274200631788517e-09
1865,1.7415324293779122e-08,9.41368871743009e-10
1866,2.3841502994059738e-08,4.379051787850585e-09
1867,4.367530337390235e-09,6.308654931785895e-09
1868,1.8277534152844055e-08,6.421836395986702e-09
