year,fallait_VERB analyser_VERB,fallait_VERB canaliser_VERB
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,6.713520406265161e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,7.117387923472052e-08,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,0.0
1815,3.236668177919455e-08,0.0
1816,9.270415546325239e-09,0.0
1817,0.0,0.0
1818,1.4305412854298538e-08,0.0
1819,1.035105001712111e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,3.94459531705138e-09,0.0
1822,3.0076847679083585e-09,0.0
1823,0.0,0.0
1824,5.052667617633233e-09,0.0
1825,1.7610886082763955e-09,0.0
1826,0.0,0.0
1827,4.608636583469661e-09,0.0
1828,0.0,0.0
1829,1.2859763920403111e-08,0.0
1830,9.39315203396518e-09,0.0
1831,1.4032085715598441e-08,0.0
1832,1.2176972319366541e-08,0.0
1833,9.266902800675325e-09,0.0
1834,9.334531370086552e-09,0.0
1835,0.0,0.0
1836,4.704525213838906e-09,0.0
1837,1.0436836284100082e-08,0.0
1838,7.574594285131298e-09,0.0
1839,1.3982949909063791e-08,0.0
1840,5.095750932326837e-09,0.0
1841,5.1364388298225094e-09,0.0
1842,4.695785538189057e-09,0.0
1843,3.5441467538532834e-09,0.0
1844,6.037417232818143e-09,0.0
1845,6.138250796539069e-09,0.0
1846,5.269050973311096e-09,4.6836010625384006e-09
1847,8.089835468183537e-09,0.0
1848,1.689496542667257e-08,0.0
1849,5.865590679832167e-09,0.0
1850,5.431196825611551e-09,0.0
1851,1.483370937194195e-08,0.0
1852,8.463708844885787e-09,0.0
1853,3.762317035693741e-08,0.0
1854,4.1565315633818045e-09,0.0
1855,6.8990182455763716e-09,0.0
1856,7.248064815001953e-09,0.0
1857,4.393358121745905e-09,0.0
1858,1.8106600663259087e-08,0.0
1859,1.2730433596175317e-08,0.0
1860,7.781213007262977e-09,0.0
1861,6.13075279431996e-09,0.0
1862,1.355395884417021e-08,0.0
1863,8.490855130105501e-09,0.0
1864,3.3563094525845827e-09,0.0
1865,3.765475486972036e-09,0.0
1866,2.432806400776144e-09,0.0
1867,1.261730986357179e-08,0.0
1868,1.877152122631287e-08,0.0
1869,6.348574999037737e-09,0.0
1870,6.880858549607183e-09,0.0
1871,3.18635318130589e-09,0.0
1872,7.256807155187062e-09,0.0
1873,5.9860045809045914e-09,0.0
1874,5.974609140757536e-10,0.0
1875,8.010138330405425e-09,0.0
1876,1.1487427897804992e-08,0.0
1877,1.1132669008873108e-08,0.0
1878,7.2469061862534545e-09,0.0
1879,9.163987790827832e-09,0.0
1880,0.0,0.0
1881,3.4862537301449947e-09,0.0
1882,6.655385131892899e-09,0.0
1883,4.423537092179686e-09,0.0
1884,8.582206056928499e-09,0.0
